"","filter","2024_POS_Y-EV_1_CTRL_Run88.mzML","2024_POS_Y-EV_2_CTRL_Run117.mzML","2024_POS_Y-EV_3_CTRL_Run138.mzML","2024_POS_Y-p11_1_Run97.mzML","2024_POS_Y-p11_2_Run126.mzML","2024_POS_Y-p11_3_Run150.mzML"
"370/282.1196mz/2.01min",1791161.15,1744130.2,1838192.1,3773860.8,1974303.6,1628786,1688440.6
"373/158.0812mz/2.06min",9277671,10162038,11787009,12334134,7686545.5,8393304,8276725
"375/381.1519mz/2.1min",518963.205,570253.94,676393.75,656280.9,376578.9,467672.47,428046.56
"376/380.1484mz/2.1min",4240095.75,4683881,4665987.5,5659207,3202051.5,3814204,3670818.5
"377/99.5121mz/2.1min",301601.21,604648.75,176740.92,371107.56,371848.3,183087.1,232094.86
"378/244.1907mz/2.11min",533959.57,637374.56,597833.8,1110399.5,470085.34,454285.22,409521.28
"379/251.1502mz/2.12min",303687.3,259388.27,314678.3,686335.4,363144.88,266704.3,292696.3
"380/112.0756mz/2.12min",268792.7,293251.7,386460.12,334832.03,201675.86,244333.7,231140.83
"381/261.1444mz/2.14min",24597.4405,20329.219,22692.406,137899.05,29872.031,15453.207,26502.475
"382/247.1076mz/2.16min",35627.4805,18237.295,34988.438,124025.78,56469.01,21731.861,36266.523
"384/290.087mz/2.17min",491456.1,413871.28,455834.4,1289858.6,576183.9,472518,510394.2
"386/302.1961mz/2.18min",85299.9845,103122.414,132624.47,218273.6,67477.555,61859.27,44154.727
"387/220.1179mz/2.18min",614427.55,601485.4,646740.25,901207.75,544415,564690.75,627369.7
"389/184.1695mz/2.22min",2360365.4,3007995.8,2634294.8,4312386,2064254,2086436,1889232
"390/384.1148mz/2.22min",1154148.95,1070292.6,1264514.2,1272040.9,899926.7,1141828,1166469.9
"391/242.1862mz/2.24min",721248.48,654354.25,718636.9,1698891.1,829524.75,644663.3,723860.06
"392/443.177mz/2.24min",749443.6,666725.1,726268.7,1767865,902169.5,690654.25,772618.5
"393/205.0971mz/2.25min",3459619.6,3823960.2,4002189.8,4935510.5,2779066.2,2910435.5,3095279
"394/188.0705mz/2.26min",4495628.75,4925287.5,5213825.5,6598833.5,3680313,3820998.2,4065970
"395/200.1046mz/2.26min",6336059.5,6213858,6351282,6177002.5,6357002.5,6472958.5,6320837
"396/217.1248mz/2.26min",555997.88,568641.94,552631.5,524716.56,555422.7,564791.5,556573.06
"397/218.1281mz/2.26min",7683017,7671792,7707164,7364754,7694242,7761516.5,7559276.5
"398/199.1012mz/2.26min",477614.48,477690.3,477538.66,474440.6,473638.5,500723.06,489566.94
"399/434.213mz/2.27min",380072.815,338585.4,369913.38,929497.9,434025.3,343448.8,390232.25
"400/195.1227mz/2.28min",583682.85,664522.94,614242.9,666269.2,542187.44,549725.9,553122.8
"401/217.1046mz/2.29min",250794.495,260846.55,264020.44,276977.16,236042.11,218650.83,240742.44
"402/259.1764mz/2.28min",368989.45,411286.16,449519.7,410409.8,240418.53,326495.5,327569.1
"403/324.0747mz/2.3min",372097.06,506443.8,375136,1200357.5,369058.12,298301.03,299943.97
"404/231.1703mz/2.31min",151892.915,141845.4,156320.86,258546.95,197886.33,116830.81,147464.97
"405/244.2012mz/2.31min",983984.03,985130.06,982838,977072.94,1012187.7,996718.56,982055.6
"407/190.0497mz/2.33min",34715.3105,31263.107,32114.701,76573.625,47581.164,36153.508,33277.113
"408/247.1076mz/2.33min",278142.25,245302.19,272186.88,647664.8,344467.12,253067.25,284097.62
"409/292.1026mz/2.33min",1762564,1274810.6,1326961.2,4776365.5,2505730,1295139.8,2198166.8
"410/270.1924mz/2.33min",288962.51,274038.66,278203.4,577311.75,318757.72,257009.9,299721.62
"411/392.1484mz/2.35min",370147.36,392422.66,393768.16,538912.4,276930.75,331598.9,347872.06
"412/389.1705mz/2.35min",337535.435,298993.1,327365.4,798872,387465.8,307466.25,347705.47
"413/217.1051mz/2.36min",764612.655,829642.8,754708.25,1332923,774517.06,696871.75,727110.44
"414/239.1026mz/2.35min",112750.383,107900.4,126989.445,209011.16,116848.5,100071.234,108652.266
"415/216.1019mz/2.36min",5197367.5,5319719,5180499,9444457,5214236,4765457,4885974.5
"418/225.087mz/2.37min",1070410.47,1235119,1358229.1,1439884.2,741945.5,875042.06,905701.94
"419/244.2012mz/2.37min",1387742.25,1409882.8,1384458.9,1344592.8,1411260.6,1372003.9,1391025.6
"420/302.1961mz/2.37min",545522.09,746590,576012.06,697582.6,515032.12,408801.56,365163.78
"421/443.177mz/2.38min",254427.365,219987.25,250906.98,639751.75,314816.25,239126.42,257947.75
"422/140.1434mz/2.39min",476262.25,566729.56,537074.44,619012.6,415450.06,409203.6,409376.12
"423/224.0917mz/2.39min",447107.455,433195.53,431773.34,901718.44,519424.44,423746.16,461019.38
"424/261.1444mz/2.39min",395394.015,435759.53,444116.2,484809.75,279775.5,319840.9,355028.5
"426/229.1546mz/2.4min",441442.92,346424.8,410834.34,560279.7,418057,464828.84,656544.94
"427/434.213mz/2.4min",189085.375,168808.7,185383.75,466725.7,220410.06,180126.06,192787
"429/192.0689mz/2.42min",194406.86,208209.8,145930.72,777006.94,247498.31,160845.58,180603.92
"430/393.223mz/2.41min",515918.86,472914.12,508051.88,1223840.2,601027.9,210092.16,523785.84
"431/298.0968mz/2.44min",1570068.5,1746409.5,1738247.2,1977154,1296600.1,1401889.8,1339636.8
"432/190.0498mz/2.46min",326877.89,273063.94,299982.72,626873.6,410625.4,319784.53,333971.25
"434/261.1444mz/2.45min",595952.155,657495.06,669386.06,740211.8,431511.8,534409.25,516516.62
"435/114.0913mz/2.49min",1297706.75,1272100.5,1308511.4,2045529.2,1286902.1,1225129.6,1310778.4
"436/240.1059mz/2.51min",444976.53,462527.28,530153.06,590010.6,327696.97,390020,427425.78
"437/244.2012mz/2.52min",378251.03,367711,377230.28,384311.47,383132.47,379271.78,374662.5
"438/221.092mz/2.52min",309745.97,312195.84,379777.78,420990.6,238372.02,275334.3,307296.1
"440/239.1026mz/2.52min",3848316.7,4043102.2,4430746.5,4911474.5,2811846.2,3319205.2,3653531.2
"441/443.177mz/2.52min",141419.68,109542.266,181298.16,340580.72,149672.94,115471.5,133166.42
"443/184.1695mz/2.54min",296140.975,357550.3,338632.4,548757.06,253649.55,248466.38,248830.89
"444/434.213mz/2.54min",393630.7,347039.3,387763.5,864510.44,434386.94,376910.06,399497.9
"445/153.1022mz/2.57min",50494.541,28158.625,30918.777,184029.16,88098.836,49942.918,51046.164
"447/393.2231mz/2.57min",57210.6385,52984.406,58586.887,177356.66,73233.445,55724.24,55834.39
"448/443.177mz/2.57min",72175.135,41214.6,125748.13,154708.16,79471.48,58136.7,64878.79
"449/316.2117mz/2.59min",344375.265,341418.78,411806.38,395376.2,293303.97,347331.75,251320.52
"450/280.0927mz/2.6min",71776.575,68868.3,82408.72,101642.42,45826.855,74684.85,68024.37
"451/409.1352mz/2.6min",1433976.15,1464817.5,1627320.6,1796296,1068586.6,1403134.8,1386862.8
"452/231.1127mz/2.63min",674869.43,622686.8,660240.06,1479742.8,797289.94,642854.3,689498.8
"453/213.1597mz/2.67min",34683.16,40149.082,41514.22,38544.53,13270.064,30821.79,12796.793
"454/259.2202mz/2.67min",495169.575,474022.53,512803.66,515959.78,500326.75,480915.66,490012.4
"455/245.1859mz/2.67min",65521.095,48247.883,63738.02,136495.12,71136.48,58750.266,67304.17
"456/243.1338mz/2.7min",16716.5925,16864.453,11180.057,60531.594,20057.238,4695.3545,16568.732
"457/407.2386mz/2.7min",189315.31,165442.34,194947.48,438883.28,216561.44,166468.53,183683.14
"458/130.159mz/2.71min",522372.51,663148.06,553576.4,803681.94,483802.97,478712.56,491168.62
"460/190.0896mz/2.73min",110720.0425,116929.53,102603.164,400870,127912.125,78946.88,104510.555
"461/138.0549mz/2.73min",310499.96,330858.22,305869.62,448197.47,271879.34,315130.3,258639.6
"462/300.1077mz/2.72min",4600879.6,5295564,5358598.5,5115319,3337265,4086440.2,3285484.5
"463/301.1111mz/2.72min",649375.25,757457.8,755686.3,733219.7,465787.94,565530.8,453077.16
"464/229.1546mz/2.73min",31574.54,34142.855,29006.225,92024.66,35717.42,14908.603,16038.293
"465/217.1546mz/2.74min",407308.45,398831.94,408066.62,1036852.75,442458.25,364899.53,406550.28
"466/202.1801mz/2.74min",305108.955,326429.44,346868.5,462028.6,283788.47,250119.28,261752.83
"467/316.2117mz/2.75min",786895.725,811538.75,943442.75,1022684.4,680216.9,762252.7,650647.56
"468/259.1189mz/2.77min",904498.95,1019742.2,1049702.5,1124099.6,688774,789255.7,747451.25
"469/272.1128mz/2.77min",176113.9,188821.77,215710.1,320579.97,163406.03,154529.84,150004.36
"470/306.1182mz/2.77min",3852441,3497970.2,3774155.5,8868566,4498653,3523657.2,3930726.5
"471/231.1127mz/2.77min",322290.275,302784.8,296181.1,814743.6,432814.25,301492.53,341795.75
"472/260.1129mz/2.77min",263428.3,244305.44,258623.98,708528.4,326265.25,268232.62,244821.52
"473/288.1077mz/2.77min",209152.365,176658.17,204061.61,576398.56,249945.86,189206.6,214243.12
"474/188.0705mz/2.79min",146335.25,118014.445,162002.66,229332.73,162522.61,130667.84,108812.3
"477/259.2202mz/2.8min",248877.055,251980.88,255471.78,216753.3,248402.17,249351.94,230123.7
"479/169.076mz/2.81min",6354944.25,6773040,6563274,10466924,6146614.5,5744188.5,5481569
"480/170.0793mz/2.82min",694499.405,739799.56,745578.06,1114778.1,495014.6,649199.25,619216.6
