"","Filename","2024_POS_Y-EV_1_CTRL_Run88.mzML","2024_POS_Y-EV_2_CTRL_Run117.mzML","2024_POS_Y-EV_3_CTRL_Run138.mzML","2024_POS_Y-p11_1_Run97.mzML","2024_POS_Y-p11_2_Run126.mzML","2024_POS_Y-p11_3_Run150.mzML"
"1","Class","CTRL","CTRL","CTRL","EXP","EXP","EXP"
"2","370/282.1196mz/2.01min","1744130.2","1838192.1","3773860.8","1974303.6","1628786.0","1688440.6"
"3","373/158.0812mz/2.06min","10162038.0","11787009.0","12334134.0","7686545.5","8393304.0","8276725.0"
"4","375/381.1519mz/2.1min","570253.94","676393.75","656280.9","376578.9","467672.47","428046.56"
"5","376/380.1484mz/2.1min","4683881.0","4665987.5","5659207.0","3202051.5","3814204.0","3670818.5"
"6","377/99.5121mz/2.1min","604648.75","176740.92","371107.56","371848.3","183087.1","232094.86"
"7","378/244.1907mz/2.11min","637374.56","597833.8","1110399.5","470085.34","454285.22","409521.28"
"8","379/251.1502mz/2.12min","259388.27","314678.3","686335.4","363144.88","266704.3","292696.3"
"9","380/112.0756mz/2.12min","293251.7","386460.12","334832.03","201675.86","244333.7","231140.83"
"10","381/261.1444mz/2.14min","20329.219","22692.406","137899.05","29872.031","15453.207","26502.475"
"11","382/247.1076mz/2.16min","18237.295","34988.438","124025.78","56469.01","21731.861","36266.523"
"12","384/290.087mz/2.17min","413871.28","455834.4","1289858.6","576183.9","472518.0","510394.2"
"13","386/302.1961mz/2.18min","103122.414","132624.47","218273.6","67477.555","61859.27","44154.727"
"14","387/220.1179mz/2.18min","601485.4","646740.25","901207.75","544415.0","564690.75","627369.7"
"15","389/184.1695mz/2.22min","3007995.8","2634294.8","4312386.0","2064254.0","2086436.0","1889232.0"
"16","390/384.1148mz/2.22min","1070292.6","1264514.2","1272040.9","899926.7","1141828.0","1166469.9"
"17","391/242.1862mz/2.24min","654354.25","718636.9","1698891.1","829524.75","644663.3","723860.06"
"18","392/443.177mz/2.24min","666725.1","726268.7","1767865.0","902169.5","690654.25","772618.5"
