Filename,2024_POS_CC_1_Run20.mzML,2024_POS_CC_2_Run47.mzML,2024_POS_CC_3_Run61.mzML,2024_POS_CC-NaB_1_Run29.mzML,2024_POS_CC-NaB_2_Run50.mzML,2024_POS_CC-NaB_3_Run56.mzML
Class,CTRL,CTRL,CTRL,EXP,EXP,EXP
103/99.5121mz/2.1min,284606.53,646871.1,642649.8,540781.75,291377.62,291945.3
104/244.1907mz/2.1min,362358.0,378928.16,448430.34,381004.34,344923.53,375560.4
105/181.0971mz/2.12min,898039.1,811825.75,944581.0,988401.0,996221.4,1019009.0
106/245.0954mz/2.12min,4122480.2,3831443.2,4424619.0,4577829.5,4663369.5,4786656.0
107/184.1695mz/2.21min,1963623.9,2006927.0,2359434.5,2134971.2,1852114.8,2118754.0
108/217.1247mz/2.25min,490726.38,512937.16,524780.9,532120.3,511960.28,527572.9
109/218.1281mz/2.25min,6703308.0,7037200.0,7092236.5,7412760.0,7166185.5,7316413.5
110/199.1012mz/2.25min,442934.53,478102.5,489736.03,502175.47,482817.9,482796.22
111/200.1046mz/2.25min,5724253.5,6020740.5,5971879.5,6281107.0,6010011.0,6106682.5
113/195.1227mz/2.29min,662007.2,661755.6,609265.1,666496.06,606233.5,559981.0
115/244.2012mz/2.36min,2119867.8,1235168.4,1254858.4,2147822.5,1232838.0,2095142.9
116/244.2012mz/2.51min,317576.8,316261.53,321047.5,325065.34,329480.47,323452.7
117/184.1695mz/2.52min,189120.73,199355.02,262391.03,211392.34,197524.72,238893.69
118/316.2117mz/2.58min,518763.5,555945.0,515751.84,522767.8,540688.75,397545.84
119/261.1234mz/2.6min,3745073.2,3550931.0,3679835.0,3799929.2,3727608.2,3744845.8
120/259.2202mz/2.66min,444309.44,450825.1,453464.7,474518.9,437914.03,467538.44
121/130.159mz/2.69min,415925.8,421903.75,418963.97,432426.8,370467.62,381097.22
122/185.0855mz/2.7min,777895.7,524594.1,382658.53,507029.1,472245.53,347087.62
123/197.1285mz/2.71min,2253950.2,2233381.2,2507296.8,2413044.0,2468679.5,2456501.5
124/202.1801mz/2.73min,117968.21,137273.95,177111.53,127031.016,138448.56,180868.44
125/316.2117mz/2.74min,1072906.8,1166596.2,1235190.8,1116720.2,1161619.1,862161.9
126/214.1801mz/2.75min,77211.89,85959.45,88138.39,76220.8,79338.09,105473.32
127/185.1284mz/2.8min,77001.2,61179.35,73187.625,85703.23,84590.88,81727.055
128/259.2202mz/2.79min,201252.77,200408.77,200241.4,215122.06,203887.92,201204.7
129/272.1856mz/2.82min,1246104.6,1329863.4,1344371.1,1356015.2,1367964.6,1127752.4
130/120.0443mz/2.83min,583206.75,258310.25,378867.56,198453.9,191368.27,183274.67
131/138.0549mz/2.83min,601815.75,265142.75,393499.62,211397.14,196236.88,195533.58
132/181.0971mz/2.84min,85198.02,95668.05,72708.77,52398.348,50950.16,43490.277
133/185.1284mz/2.85min,55443.945,68127.84,79606.73,74258.42,89239.61,78047.8
134/183.0917mz/2.96min,757174.4,518081.8,571238.75,475617.03,517934.94,435304.2
135/244.2012mz/3.06min,39026.684,44383.53,44044.227,43418.617,35760.38,42478.0
136/211.1441mz/3.14min,2833066.5,2714042.2,2883836.8,2902422.0,2825441.8,2821109.2
137/211.144mz/3.24min,3156233.5,2982399.8,3417069.0,3362284.2,3385941.0,3381120.0
138/245.1284mz/3.26min,1398522.4,1330699.2,1425901.0,1368519.9,1402270.1,1415329.9
139/320.1703mz/3.29min,44587.94,36998.15,42043.977,39560.676,38641.02,44986.156
