filename	ATTRIBUTE_GROUP
Yeast_HE_D5-Ctrl_a_neg_20190515_Run37.mzML	CTRL
Yeast_HE_D5-Ctrl_b_neg_20190515_Run40.mzML	CTRL
Yeast_HE_D5-Ctrl_c_neg_20190515_Run43.mzML	CTRL
NEG_D5-211-C3-a_Run146.mzML	EXP
NEG_D5-211-C3-b_Run149.mzML	EXP
NEG_D5-211-C3-c_Run152.mzML	EXP
