"","Filename","POS_TJGI2pt1_EV_gpdA_CTRL_1_Run13.mzML","POS_TJGI2pt1_EV_gpdA_CTRL_2_Run143.mzML","POS_TJGI2pt1_EV_gpdA_CTRL_3_Run194.mzML","POS_TJGIp8_1_Run19.mzML","POS_TJGIp8_2_Run84.mzML","POS_TJGIp8_3_Run206.mzML"
"1","Class","CTRL","CTRL","CTRL","EXP","EXP","EXP"
"2","275/146.1176mz/2.07min","390600.94","258922.44","330650.62","312009.44","335462.28","300961.2"
"3","276/144.1019mz/2.09min","49199.188","15103.947","113513.625","94770.45","340955.16","66549.65"
"4","278/254.1385mz/2.08min","492422.66","234368.27","365766.44","589753.8","545135.6","331013.6"
"5","280/170.0812mz/2.1min","243944.94","232905.72","329703.4","220548.53","316250.84","266277.88"
"6","281/102.0914mz/2.13min","410428.34","638013.6","950261.06","543868.25","1069485.2","861287.7"
"7","282/232.1543mz/2.1min","1597093.2","1726145.9","1607168.4","507797.22","1381188.9","1288880.8"
"8","284/184.1696mz/2.16min","84380.1","114198.85","240853.03","114154.91","654497.8","931675.0"
"9","285/217.1047mz/2.2min","1846940.1","2563310.8","2898801.2","2225889.5","1678973.0","2025397.1"
"10","286/195.1227mz/2.21min","1317170.1","572778.3","580296.6","1195273.9","630017.1","494417.7"
"11","287/157.0835mz/2.21min","974588.06","870005.56","1089472.5","955386.75","915333.56","1095277.5"
"12","288/113.0597mz/2.22min","2503632.0","1780983.4","2031160.0","1322410.2","1685468.4","1771930.9"
"13","290/116.0528mz/2.26min","14489.091","145005.38","98870.98","0.0","179799.16","34161.934"
"14","291/144.1019mz/2.26min","27831.307","19991.281","12809.636","115762.516","144240.69","8970.332"
"15","292/231.1702mz/2.32min","385684.44","166889.03","454397.8","522617.84","467305.16","494246.06"
"16","293/146.06mz/2.34min","2204377.5","1482783.8","1723027.8","1225889.1","1563896.1","1414124.6"
"17","294/187.094mz/2.34min","200853.92","737196.5","323563.44","44913.18","254634.7","293151.94"
"18","295/146.1175mz/2.32min","124545.61","157340.03","227835.97","213180.92","243187.69","274109.6"
"19","296/157.0835mz/2.38min","923798.56","2504576.2","3144559.5","1007738.56","1520528.8","2490906.2"
"20","300/114.0914mz/2.4min","1993567.9","1236144.5","1077517.9","1486575.2","1409880.0","1234090.8"
"21","301/190.0499mz/2.41min","1661454.1","2473106.5","2694924.8","1347014.0","2267589.8","2567420.0"
"22","305/239.1488mz/2.44min","581280.1","188410.78","176440.69","421430.5","183421.97","129799.37"
"23","306/141.0546mz/2.45min","795470.8","1788941.6","2038452.1","1158092.1","2164530.5","2394230.5"
"24","307/201.1597mz/2.46min","409427.22","393281.3","348786.2","246282.5","701066.8","224800.28"
"25","308/386.1273mz/2.52min","52520.445","140264.05","46275.547","225773.92","109961.81","57158.367"
"26","309/102.0914mz/2.49min","8724145.0","4972333.5","5278792.5","3949849.0","10088891.0","3050673.5"
"27","310/103.0947mz/2.49min","460195.47","246678.53","268980.75","197094.19","518651.0","131312.88"
"28","311/231.1702mz/2.47min","53577.383","829159.0","407211.16","0.0","401740.94","496978.72"
"29","312/184.1696mz/2.47min","12037.457","136735.1","169272.45","35144.0","196433.38","203475.05"
"30","313/216.123mz/2.52min","277727.47","545191.0","510619.03","311196.03","473396.88","494597.56"
"31","314/246.1699mz/2.55min","1438341.0","1138450.0","1080934.9","841912.25","1034041.25","911634.75"
"32","315/245.1859mz/2.58min","109859.61","53720.004","27969.926","149997.88","101059.22","0.0"
