sample_name	filename	ATTRIBUTE_GROUP
NEG_TJGI2pt1_EV_gpdA_CTRL_1_Run14.mzML	NEG_TJGI2pt1_EV_gpdA_CTRL_1_Run14.mzML	CTRL
NEG_TJGI2pt1_EV_gpdA_CTRL_2_Run144.mzML	NEG_TJGI2pt1_EV_gpdA_CTRL_2_Run144.mzML	CTRL
NEG_TJGI2pt1_EV_gpdA_CTRL_3_Run195.mzML	NEG_TJGI2pt1_EV_gpdA_CTRL_3_Run195.mzML	CTRL
NEG_TJGIp8_1_Run20.mzML	NEG_TJGIp8_1_Run20.mzML	EXP
NEG_TJGIp8_2_Run85.mzML	NEG_TJGIp8_2_Run85.mzML	EXP
NEG_TJGIp8_3_Run207.mzML	NEG_TJGIp8_3_Run207.mzML	EXP
