row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,NEG_D5-211-C4-c_Run188.mzML Peak area,NEG_D5-211-C4-a_Run182.mzML Peak area,NEG_D5-211-C4-b_Run185.mzML Peak area,Yeast_HE_D5-Ctrl_b_neg_20190515_Run40.mzML Peak area,Yeast_HE_D5-Ctrl_a_neg_20190515_Run37.mzML Peak area,Yeast_HE_D5-Ctrl_c_neg_20190515_Run43.mzML Peak area,Unnamed: 19
203,385.1324046782572,6.273321599999999,,,,,,,,,,,0.0,0.0,0.0,622317.56,214629.77,215233.44,
53,385.1465150333377,3.6546627999999997,,,,,,,,,,,0.0,0.0,0.0,259329.77,311265.3,648033.3,
485,385.1931980620855,8.213125999999999,,,,5.0,,,,,,,405268.1,407357.06,456075.75,0.0,0.0,0.0,
245,385.2920843475997,7.1026343999999995,,,,,,,,,,,0.0,0.0,0.0,521795.2,316618.78,446131.72,
723,385.72381814053267,10.316651,,,,7.0,,,,,,,0.0,0.0,0.0,1423636.9,1612527.0,1569184.5,
189,388.62153844027534,6.103478,,,,,,,,,,,0.0,0.0,0.0,290964.75,101973.68,143797.67,
524,391.28394939630164,8.377631,,,,20.0,,,,,,,0.0,0.0,0.0,841100.75,953992.5,846391.3,
377,393.219548819756,7.769756299999999,,,,44.0,,,,,,,0.0,0.0,0.0,751194.7,614467.4,727603.44,
528,393.29712537407516,8.390148,,,,20.0,,,,,,,0.0,0.0,0.0,1391640.1,1295659.9,1666456.9,
571,394.3223043183876,8.749937,,,,,,,,,,,0.0,0.0,0.0,637982.5,528430.2,550920.1,
242,395.21895376463567,7.096205,,,,,,,,,,,0.0,0.0,0.0,292170.84,234889.4,298131.25,
401,395.330537245836,7.8036494,,,,,,,,,,,0.0,0.0,0.0,625791.75,323279.38,427536.22,
640,395.3305503399369,8.966849,,,,18.0,,,,,,,0.0,0.0,0.0,797982.8,736489.9,856263.4,
309,395.3305596027434,7.4696155,,,,17.0,,,,,,,0.0,0.0,0.0,694074.94,514446.0,659403.7,
480,395.3307140339405,8.204642999999999,,,,,,,,,,,0.0,0.0,0.0,273674.53,184385.89,233971.42,
473,397.1683627853751,7.936381,,,,,,,,,,,2724577.8,2577511.0,2714687.5,0.0,0.0,0.0,
147,399.1481684894695,5.725589299999999,,,,19.0,,,,,,,0.0,0.0,0.0,2931925.0,3258261.8,3253686.2,
487,399.18401805533637,8.213138,,,,5.0,,,,,,,1283166.2,1257083.9,1319017.4,0.0,0.0,0.0,
451,400.1472059455732,7.8772774000000005,,,,36.0,,,,,,,529857.2,555735.0,590482.2,0.0,0.0,0.0,
164,400.17970115688144,5.992368,,,,,,,,,,,0.0,0.0,0.0,288788.03,391462.44,393096.47,
200,401.28697455434866,6.2443085,,,,,,,,,,,0.0,0.0,0.0,1517338.9,1438889.8,1878982.4,
