"","filter","2024_NEG_CC-Media_1_Run18.mzML","2024_NEG_CC-Media_1_Run54.mzML","2024_NEG_CC-Media_1_Run74.mzML","2024_NEG_CC_1_Run21.mzML","2024_NEG_CC_2_Run48.mzML","2024_NEG_CC_3_Run62.mzML"
"77/405.0107mz/3.62min",18583951,19969106,18580204,18587698,18889106,17732686,17837680
"78/407.0044mz/3.62min",1271825.8,1365502.2,1275976.4,1267675.2,1335789.1,1193888.5,1229078
"79/406.0137mz/3.62min",3516707.6,3710374.8,3388360.8,3412423,3620992.2,3264432.2,3651887.2
"81/421.0055mz/3.86min",466274.47,449137.5,372050.88,549863.4,512986.97,480279,452269.94
"82/309.1014mz/4.02min",419625.42,454905.44,417382.06,421868.78,441297.62,404056.2,392178.34
"83/605.0258mz/4.07min",729528.5,743252.25,720408.1,679434.2,890392.4,670023.4,738648.9
"84/438.1768mz/4.15min",393249.68,737171.94,671623.44,783488.5,114875.92,75901.414,93676.086
"86/421.1867mz/4.15min",4034323.95,7143322,6908913,7291781.5,1159734.9,804098.2,977752.5
"87/603.01mz/4.17min",332970,354005.72,320513.6,323042.4,387478.75,308302.4,342897.6
"88/419.0263mz/4.18min",293454.545,321818.72,292426.53,285419.25,327468.75,294482.56,290100.75
"89/447.0213mz/4.21min",336045.72,346492.72,340966.06,304729.28,339719.78,316512.9,332371.66
"90/263.0383mz/4.27min",342223.95,370760.47,355409.88,336472.12,347975.78,334334.7,330672.06
"92/282.9837mz/4.4min",369939.125,372839.25,367039,356636.1,397801,375756.44,353557.5
"93/242.1762mz/4.42min",478111.31,454055.2,476184.34,423925.6,504428.47,480038.28,483300.25
"94/497.0371mz/4.44min",919061.15,920532.6,891098.1,855317.56,1045720.06,917589.7,1010404.8
"95/793.0186mz/4.49min",636074.63,552297.5,645969.56,824908.94,578193.4,626179.7,961622.25
"96/560.999mz/4.49min",84644.352,356648.84,52823.047,83135.234,86153.47,100456.695,68704.13
"99/341.0486mz/4.56min",737423.42,769819.6,731420.9,720233.25,816816.8,701846.44,743425.94
"100/404.0444mz/4.56min",449275.595,455578.47,430917.06,472300.03,483724.84,442972.72,416306.72
"101/422.9768mz/4.56min",774118.275,811658.5,781681.25,762188.4,861216.7,751914.5,766555.3
"103/653.0255mz/4.57min",636499.925,472876.2,648001.25,710117.7,551684.56,624998.6,842026.56
"106/497.0371mz/4.67min",1432835.3,1231582.6,1470514.6,1483060,1315325.6,1395156,1874843
"107/228.9699mz/4.74min",467375.24,482431.5,452592.47,477695.2,494201.06,455355.97,457055.28
"108/227.9666mz/4.74min",6028079.25,6235810,6008578.5,6047580,6061078,5891523,5632661
"109/229.9645mz/4.74min",5952031.5,6141723.5,5797708,5931467,6014812,5972596,5573851
"110/230.9678mz/4.74min",477564.02,502040.44,481220.8,478405.1,476722.94,474965.25,443309.94
"111/266.9888mz/4.76min",1515030.1,1636597.2,1497906.2,1466277.5,1691425.6,1532154,1368003.4
"112/268.9857mz/4.76min",505075.775,534256.3,494510.3,472073.7,568111.9,515641.25,455835
"113/637.0305mz/4.78min",4287869.75,3480199.5,4533580,4849526,4013649.8,4042159.5,5572367.5
