"MetaboAnalyst_ID","X2024_NEG_CC.Media_1_Run18.mzML","X2024_NEG_CC.Media_1_Run54.mzML","X2024_NEG_CC.Media_1_Run74.mzML","X2024_NEG_CC_1_Run21.mzML","X2024_NEG_CC_2_Run48.mzML","X2024_NEG_CC_3_Run62.mzML","shared_name"
"297/134.8947mz/7.71min",2.28599176902354,2.18491670947612,1.85806664799559,2.59823765710917,2.59039305932734,2.61075031745463,"297"
"299/161.9136mz/7.72min",1.77302901318331,1.58853230891834,1.82099813330157,1.8342305239094,1.84721307276182,2.11272351781477,"299"
"301/720.4824mz/7.8min",1.25891763484444,1.27503876229559,1.27222888086137,1.9968083075179,1.98255283854366,2.19881593121679,"301"
"302/100.9337mz/7.86min",1.85127557009797,2.35796049390688,2.0791497333025,2.03813132147593,2.10119911139076,2.58219685940586,"302"
"303/161.9136mz/7.83min",2.02027159620707,1.65418354511498,1.83086751547994,1.77848510593434,1.7254579709119,1.75777983471947,"303"
"304/116.9286mz/7.84min",3.29829640132483,3.19711801970515,3.18457766987368,2.64069296925225,2.59929375639543,2.61597133527648,"304"
"305/115.9208mz/7.84min",2.63909005590117,2.67956139246976,2.5458830631521,2.92983572092403,2.78511884615237,2.98918460578748,"305"
"307/355.1579mz/7.84min",1.47373408424557,0.992742337012725,0.882287625268478,2.93194565002426,2.68584619574225,2.8145013259661,"307"
"308/186.9706mz/7.84min",1.14818938050671,1.62961236868873,1.61735104067376,1.81427726864203,1.78062689166455,1.84411419073779,"308"
"310/144.9235mz/7.87min",2.54909639986019,2.44364337805863,2.444797600718,2.72580723867112,2.63990329933051,2.69816159969748,"310"
"313/134.8947mz/7.85min",2.40105474218955,2.71390604210411,2.12986109045099,2.33596864180807,2.3482770861017,2.40240197681569,"313"
"316/634.4455mz/7.92min",0.133720061919665,1.11949046855181,0.84598403562671,3.45481045766289,3.21444282697009,3.40010979092036,"316"
"320/685.5011mz/7.93min",1.51544503053385,1.53156616298879,1.52875628070894,2.35885461918459,2.23908030166878,2.27931568737753,"320"
"321/100.9337mz/7.97min",2.22584514589754,2.51244823558347,1.86188709964744,2.34667254742713,2.43882710957162,2.52614119831803,"321"
"331/381.1737mz/7.94min",2.32527216797267,2.3413933025897,2.33858341994445,3.29760350199447,3.04890746824581,3.18342154432502,"331"
"332/186.9706mz/7.95min",0.980437372167051,1.66818633061116,1.41406096764769,1.97988766534144,1.96752960301282,2.0110894061933,"332"
"333/115.9208mz/7.98min",2.48044094370946,2.73922172243268,2.27669191789096,2.93478283893493,2.86128868635231,2.96205857327971,"333"
"334/144.9235mz/7.99min",2.63995404921361,2.51446689688145,2.52012781696707,2.69591818112826,2.64828083303589,2.80844641200043,"334"
"338/134.8947mz/8.01min",2.39978971439874,1.93019370608223,2.18295115660803,2.640886311517,2.60597632853381,2.65882965229017,"338"
"339/161.9136mz/7.96min",2.00122038687979,1.82133323198172,1.66515889815791,1.85235751505191,1.78668480813869,1.88220247744773,"339"
"341/134.8947mz/8.07min",2.43126519251818,2.22441234292168,2.0271441906205,2.51154984834784,2.51432717799286,2.46562343811566,"341"
"342/742.5395mz/8.08min",1.35259186450748,2.90452080404107,2.85845684723966,1.36493486202804,2.07622710229654,1.39677111242508,"342"
"344/186.9706mz/8.11min",1.41958020405583,1.72911520420263,1.71471225845295,1.72000019617543,1.71007712726694,1.56706385197653,"344"
"345/100.9337mz/8.07min",2.47357969405535,2.80032501483919,2.04772376188763,2.09783990613939,2.00240880865061,2.3064129001919,"345"
"346/529.3859mz/8.07min",1.38282933649571,1.39895046708594,1.39614058512122,2.43106094898727,2.10646458250014,2.33199454611443,"346"
"350/660.4613mz/8.11min",2.12735901408078,2.14348014861868,2.14067026598681,3.05790496049491,2.85099431328751,3.01497363800339,"350"
