"MetaboAnalyst_ID","X2024_NEG_CC_1_Run21.mzML","X2024_NEG_CC_2_Run48.mzML","X2024_NEG_CC_3_Run62.mzML","X2024_NEG_CC.VPA_1_Run27.mzML","X2024_NEG_CC.VPA_2_Run36.mzML","X2024_NEG_CC.VPA_3_Run77.mzML","shared_name"
"39/328.9796mz/2.13min",2.4202281298531,2.3925626695678,2.32480587452152,2.31678758740705,2.3083109718793,2.39552303249447,"39"
"40/312.9847mz/2.36min",1.55745823533304,1.97928923367874,1.89086324851896,1.9604051213731,1.57505814135642,2.02264110043603,"40"
"41/312.9847mz/2.45min",2.01214606757675,2.0559974761661,2.03591277962286,2.07550796031643,2.00098908332147,2.09255301839096,"41"
"42/373.0055mz/2.71min",2.57098367521799,2.54618634866264,2.55040751600676,2.54286951952443,2.53114002288694,2.57025938176926,"42"
"43/370.9898mz/2.8min",2.18118996075986,2.13572794487636,2.15452691695527,2.14569842068985,2.11217646931974,2.18313213046497,"43"
"44/265.0176mz/2.84min",2.5069334491488,2.48232895574011,2.49672065814126,2.47125338213147,2.44968258253187,2.51471500301224,"44"
"46/265.0176mz/3.18min",2.75676415519976,2.74084040107485,2.75635301086558,2.74706031411725,2.70709878981566,2.77167660140191,"46"
"47/212.0353mz/3.29min",2.63707220225618,2.76400431072539,3.15896495940199,2.69934476468659,3.22016660832047,2.93961504330255,"47"
"49/421.0056mz/3.41min",2.72742740825972,2.68168960297896,2.69741179946152,2.67927947152685,2.67165459764051,2.71910804969546,"49"
"50/249.0227mz/3.49min",2.99972111227928,2.98556841622497,2.99855895256635,2.97242287507725,2.95867513940942,3.08688749112492,"50"
"51/582.981mz/3.53min",2.11367289026521,2.06402098242288,2.06596335857549,2.08799640379814,2.00499644006026,2.10334365438462,"51"
"54/213.0386mz/3.54min",2.65653785908822,2.58079429398986,2.45653005343006,2.46701654175503,2.55649069527013,2.69444162810698,"54"
