row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,Anid_HE_TJG15pt3_EV_alcA_CTRL_3_YT_neg_20210511_Run213.mzML Peak area,NEG_TJGIp4_3_Run183.mzML Peak area,Anid_HE_TJG15pt3_EV_alcA_CTRL_2_YT_neg_20210511_Run103.mzML Peak area,NEG_TJGIp4_2_Run88.mzML Peak area,NEG_TJGIp4_1_Run59.mzML Peak area,Anid_HE_TJG15pt3_EV_alcA_CTRL_1_YT_neg_20210511_Run47.mzML Peak area,
196,116.03540431028655,2.187161,,,,,,,,,,,0,0,0,49618.254,0,0,
284,116.0505591157564,2.7866914,,,,98,,,,,,,503076.97,571467.5,533882.6,582744.9,584678.2,579471.06,
359,116.05062155462254,3.1966922,,,,125,,,,,,,134629.98,360625.03,478284.97,364047.0,397440.56,455444.06,
213,116.07170269812697,2.3717825,,,,37,,,,,,,227124.1,288706.5,262732.8,331202.53,290129.2,237953.25,
97,116.07171989438821,0.46064958,,,,,,,,,,,662560.8,313318.16,587504.8,835069.0,302668.38,505221.12,
65,116.0717218635737,0.3856425,,,,13,,,,,,,1328648.2,3044096.0,880561.6,1255243.0,2191980.2,975983.7,
183,116.07173070659017,1.9662248,,,,75,,,,,,,445472.8,674844.44,549214.56,602382.1,654025.6,490891.47,
1590,116.9284532771501,7.6852894,,,,66,,,,,,,3.4801564E7,4.5489776E7,2.5893428E7,2.912582E7,2.385424E7,2.4697296E7,
1422,116.92847756152133,7.4445605,,,,73,,,,,,,1.8765894E7,2.1535536E7,1.1808816E7,1.9844108E7,1.1114792E7,1.0006987E7,
200,117.0193357765551,2.2381458,,,,,,,,,,,4761.6846,0,18134.8,547924.25,161033.7,0,
93,117.01933751289386,0.4325901,,,,178,,,,,,,6245758.0,2.0086362E7,7193896.0,9649742.0,7867246.5,6141807.5,
169,117.01934050499779,1.2578773,,,,,,,,,,,23089.621,23995.871,21494.697,10991.396,180165.6,3773.981,
121,117.01934190560796,0.64492995,,,,55,,,,,,,2.6499188E7,3.7056996E7,2.186307E7,2.2937738E7,3.1169518E7,2.6081314E7,
155,117.01935763775263,0.90154934,,,,,,,,,,,322305.3,207057.88,134086.98,223330.03,90848.01,233675.45,
168,117.0193646289665,1.1623725,,,,,,,,,,,92535.27,182004.55,47812.938,76624.35,26783.639,32973.492,
159,117.01936507033042,1.0298603,,,,106,,,,,,,340763.0,312979.0,289873.72,129568.836,103090.945,144944.92,
176,117.01937031631243,1.4841398,,,,,,,,,,,4326.837,124020.01,0,0,31711.535,8917.607,
174,117.0193892218534,1.4166694,,,,,,,,,,,0,93502.23,0,0,31711.535,0,
229,117.01939380046966,2.5079126,,,,,,,,,,,6212.1357,17589.588,4698.158,92193.89,16491.25,0,
184,117.05572657258625,2.029974,,,,,,,,,,,358505.22,465177.75,399097.06,213056.9,796698.8,484198.75,
178,117.05574866339087,1.7662188,,,,,,,,,,,586528.5,839643.6,617697.3,521208.94,1843189.4,667456.3,
1763,117.91900170898414,8.141733,,,,,,,,,,,916076.44,757137.44,595246.9,2993260.0,693595.9,704678.06,
1819,117.92855790731932,8.141836,,,,,,,,,,,2575524.0,2059222.2,1737578.2,2600193.8,1988209.5,8634210.0,
1635,117.92857773830129,7.69173,,,,66,,,,,,,5439434.0,4990389.0,5352075.5,3398412.2,4178420.2,2706657.0,
116,118.02264716999424,0.650091,,,,,,,,,,,1135171.5,493336.38,542735.1,430888.56,359448.3,668125.75,
95,118.0227608147798,0.46702698,,,,,,,,,,,264314.62,862589.75,212932.64,407036.56,585249.5,94513.99,
129,118.05092888295064,0.67175055,,,,,,,,,,,631948.3,599960.44,470282.38,1259136.5,1658266.4,788570.5,
22,118.05094739476051,0.36609712,,,,13,,,,,,,1.2966477E8,1.4465598E8,5.1751064E7,6.066027E7,5.96683E7,4.560421E7,
295,118.05096618845344,2.8446338,,,,,,,,,,,70652.54,35917.312,21806.055,49543.33,37394.203,308257.38,
225,118.05098218703924,2.4329696,,,,,,,,,,,43292.113,49930.51,260649.62,261975.19,314233.34,0,
825,118.05098370850077,5.5577774,,,,,,,,,,,120830.28,54583.254,179349.56,256901.22,245791.44,140912.69,
199,118.05099896056792,2.2428496,,,,,,,,,,,90557.43,118521.336,649110.5,1067187.4,865815.2,18882.148,
233,118.05099927111,2.5155625,,,,,,,,,,,63809.93,119841.91,70373.91,193238.7,203918.45,0,
157,118.05099966909575,0.8862063,,,,,,,,,,,430271.06,486146.22,686836.4,510317.44,166788.66,428901.53,
163,118.05102361712291,1.041673,,,,,,,,,,,520657.44,63828.926,61320.633,129817.18,638679.8,268483.0,
1980,118.89959733140836,10.156539,,,,,,,,,,,126743.71,127911.09,186322.97,277169.72,435167.62,1564533.4,
1571,118.92676995091388,7.682949,,,,66,,,,,,,1354146.5,1120154.8,624544.1,805263.25,388556.28,416048.5,
62,119.03484408256304,0.38340017,,,,13,,,,,,,1418112.4,2362069.8,1006244.4,1189558.8,2543627.8,958086.44,
28,119.05417005240518,0.36532596,,,,,,,,,,,5723089.5,3632237.0,1048855.0,919832.1,2663360.8,1449508.4,
345,120.04546231217775,3.054064,,,,137,,,,,,,452741.12,556649.0,490137.9,492165.97,529820.1,564099.25,
99,122.02468941716386,0.53091127,,,,,,,,,,,4932402.0,3982595.2,2307491.2,2714404.0,2681928.8,2713289.5,
888,122.02470727383322,5.7939363,,,,173,,,,,,,257946.08,248704.5,218883.02,255983.53,228615.12,202420.11,
142,125.03562916508581,0.79219556,,,,,,,,,,,1389203.8,2122607.0,437350.72,281350.12,282448.5,344859.94,
408,125.09717364232797,3.4491634,,,,67,,,,,,,864458.7,1104532.6,984737.7,1084950.6,652446.56,1250062.8,
235,126.00190540640567,2.503728,,,,63,,,,,,,656017.5,651888.7,498238.84,739492.25,702628.44,526087.6,
70,128.0352627711417,0.3879095,,,,13,,,,,,,9211090.0,1.7285796E7,4504108.0,7238113.0,8005207.0,4412549.0,
113,128.03531112959664,0.61039025,,,,55,,,,,,,7772335.5,1.5296129E7,4957267.0,8575579.0,8054929.5,5043209.5,
204,128.0353514174052,2.2093337,,,,,,,,,,,10085.252,167342.73,76845.91,316980.75,140337.95,0,
175,128.03536548086498,1.4223258,,,,,,,,,,,142852.66,178941.52,151913.06,161369.12,12241.73,0,
160,128.03537921814407,1.0367209,,,,,,,,,,,64485.008,61231.562,324764.28,267915.84,165229.47,9533.174,
131,130.05093666475588,0.7237832,,,,81,,,,,,,4354453.0,8656326.0,3716562.0,5698229.0,5811244.5,4524649.0,
577,130.05095023253298,4.548427,,,,150,,,,,,,24231.443,45787.832,30584.926,47794.406,45240.047,30418.488,
973,130.08726465958173,6.0945554,,,,,,,,,,,13391.57,42221.51,122780.03,173637.14,226571.16,155435.53,
122,130.08726902852936,0.7488354,,,,57,,,,,,,9426162.0,1.5117628E7,5655065.0,1.2577268E7,7800812.5,6990702.5,
325,130.08729027107756,2.976711,,,,38,,,,,,,1397472.9,1681424.1,1438083.1,1693262.1,1844855.5,1686441.1,
308,130.08729866652294,2.9149656,,,,104,,,,,,,1174779.0,1386468.1,1059819.4,1477839.1,1452720.1,1443396.0,
156,130.08732222817687,0.87455636,,,,,,,,,,,203850.45,380635.4,121646.09,895861.94,249979.58,171675.81,
254,130.08732951663563,2.6561425,,,,170,,,,,,,2596846.0,3091886.2,2402479.8,3263963.0,3372772.8,2964133.0,
453,130.0873363790134,3.7396924,,,,,,,,,,,60799.613,185408.69,180735.4,157846.06,108236.4,92081.375,
385,130.0873780419099,3.356372,,,,,,,,,,,91241.06,209463.56,206066.44,224407.5,126506.12,105596.37,
283,131.07132497700195,2.7813356,,,,98,,,,,,,2581735.0,2614587.2,2287156.5,1783592.5,3149727.5,2635607.2,
243,131.07134283661472,2.614302,,,,,,,,,,,33981.957,47380.97,63421.98,31325.479,64718.984,48298.773,
1981,132.03016569201134,10.154385,,,,,,,,,,,59171.72,0,48978.59,61084.01,0,32876.33,
1984,132.90013689727556,10.18022,,,,,,,,,,,179583.56,175957.9,205815.08,324583.84,410001.38,834777.3,
1638,132.92338047199993,7.7096076,,,,,,,,,,,816447.44,654254.9,607966.94,1613676.2,526603.56,1004804.1,
1791,132.92338322886317,8.140928,,,,49,,,,,,,5036373.5,4456323.0,449738.97,2365229.8,646322.1,1308345.8,
56,133.01417541257902,0.38187656,,,,13,,,,,,,2.1070608E7,1.7554894E7,6962417.0,1.8198418E7,1.6119613E7,1.2551164E7,
88,133.0505050132206,0.4578208,,,,,,,,,,,663011.8,1054305.9,434241.1,549063.2,1290894.4,508770.94,
103,133.05054374589255,0.5656954,,,,,,,,,,,848361.2,1008264.56,225091.28,643111.94,895692.06,483725.03,
114,133.05054697901903,0.61202216,,,,55,,,,,,,1440463.8,3179861.0,1888189.5,2820434.5,2460483.8,2460585.8,
43,134.01755128136105,0.38115466,,,,,,,,,,,881926.1,276351.16,282298.4,742022.0,379273.28,513775.75,
68,134.0471701430304,0.41000652,,,,,,,,,,,83698.92,118240.48,374128.44,171583.6,284571.62,277004.12,
151,134.04720033209827,0.882365,,,,48,,,,,,,2720068.2,5765415.0,1981824.6,2396318.2,2879893.8,1703892.2,
165,134.04725977168047,1.0529448,,,,,,,,,,,90352.84,93610.734,196498.23,352782.88,149088.89,152750.3,
1987,134.89459716578335,10.181084,,,,112,,,,,,,3805628.5,3641442.8,4752129.5,6501242.5,9263681.0,1.6043654E7,
1490,134.894601823068,7.56275,,,,,,,,,,,2464123.8,2992933.2,2386688.8,1911435.2,3234403.0,3745632.5,
1667,134.89460271689214,7.788336,,,,17,,,,,,,5606497.0,4765352.0,9241190.0,9810642.0,9813022.0,6931130.5,
1470,134.89461024186875,7.4672523,,,,140,,,,,,,8984110.0,1801083.0,2044358.2,4148531.8,6398111.5,7643731.5,
2031,134.89461035114485,10.268775,,,,31,,,,,,,1451355.4,937827.75,895116.75,1707642.5,1011807.8,880143.7,
1385,134.8946195424932,7.430184,,,,147,,,,,,,1278182.6,4598972.0,8891684.0,5187961.5,3077361.8,9904193.0,
1983,135.97085998609666,10.161038,,,,,,,,,,,851320.8,2763412.8,551695.9,539445.1,488515.12,451683.78,
342,136.0403607574975,3.0504625,,,,137,,,,,,,132560.6,166306.97,137920.12,147408.58,152133.8,156666.95,
220,136.04036606416432,2.4112504,,,,169,,,,,,,399410.94,474838.06,462486.0,554119.7,531565.6,472529.47,
144,138.0196260970388,0.8149495,,,,,,,,,,,253472.06,584404.94,150572.56,398874.2,458527.4,232919.2,
381,138.01971158063688,3.3251812,,,,,,,,,,,935043.1,1037138.56,885026.25,1345980.6,852671.56,1110769.4,
490,141.092149996415,3.948785,,,,,,,,,,,258584.31,560974.2,384088.78,652007.8,381698.34,426432.84,
475,141.0921619102177,3.8352892,,,,41,,,,,,,266442.44,509996.7,310088.8,535051.4,360568.12,404515.22,
80,144.03013984453472,0.40642777,,,,,,,,,,,380360.03,837614.5,360202.47,314763.66,371231.6,489760.8,
123,144.0301862792373,0.6925869,,,,,,,,,,,360396.16,1129240.8,363873.78,526055.3,174042.92,503619.28,
209,144.0454655786049,2.3512414,,,,,,,,,,,914013.1,888150.0,1529922.9,1030267.4,996317.1,1134322.8,
146,144.04550778580474,0.81670153,,,,,,,,,,,3222.982,20230.598,134635.94,15129.311,0,3509.4343,
371,144.04551108506777,3.274191,,,,145,,,,,,,411905.53,504633.47,671242.5,499904.8,522386.8,619315.8,
428,144.0455119211632,3.5526686,,,,,,,,,,,22764.494,285729.88,152102.0,472420.47,84974.83,108295.12,
145,144.0665751929716,0.8373713,,,,48,,,,,,,2285624.2,3764482.0,1367193.9,2052104.2,2823823.0,1767067.9,
192,144.06662878635856,2.144638,,,,44,,,,,,,4786195.0,5100172.5,4937351.0,5679834.0,4748745.5,5394218.5,
1992,144.92332703298385,10.206844,,,,,,,,,,,2028443.0,1903743.1,1370930.8,2290920.0,1984158.0,1407476.2,
1644,144.9233541443505,7.708727,,,,42,,,,,,,1025327.2,3452926.8,6305928.0,3088440.5,7295608.0,4638454.0,
1826,144.92335592333967,8.146087,,,,49,,,,,,,3.5548064E7,3.1318218E7,2622921.2,2.1780652E7,3811207.0,2.2139138E7,
1854,144.92336134610855,8.292707,,,,,,,,,,,6127212.5,4110251.0,4835214.0,5841760.5,2.3226298E7,4701295.5,
193,145.05059626602505,2.144638,,,,44,,,,,,,1365864.5,1779122.9,947109.44,2014698.6,2102616.8,1459906.6,
410,145.08703425193204,3.4663146,,,,,,,,,,,244313.97,281974.6,264706.3,375585.7,409892.22,312352.28,
57,146.04580007224646,0.3818984,,,,13,,,,,,,2.701015E7,5.2781268E7,1.923711E7,1.8794186E7,2.3657864E7,1.8979756E7,
1153,146.04582072670215,6.574056,,,,61,,,,,,,114036.51,102952.62,71131.98,106891.83,91937.38,83563.516,
2058,146.9611728844349,10.575466,,,,,,,,,,,1767816.4,1718891.1,706658.94,762345.4,726408.1,610429.06,
75,147.02980536485703,0.392524,,,,13,,,,,,,1165531.8,1913909.4,616247.3,902164.0,1110554.0,914566.75,
1982,150.8894312914782,10.154709,,,,,,,,,,,196027.66,206468.5,274514.84,406083.97,1771078.1,2559470.0,
73,151.02601888633595,0.3901539,,,,13,,,,,,,1277824.6,2004242.2,1712049.8,1346213.0,1726635.8,1555524.9,
115,151.0260576918968,0.6265339,,,,55,,,,,,,2222008.8,3808670.8,1858820.4,2510272.2,2643263.5,2237127.8,
511,151.02614033757584,4.075915,,,,128,,,,,,,148572.16,212774.11,197108.16,257023.02,239756.17,215534.12,
439,151.0261813953414,3.6301136,,,,,,,,,,,55784.07,109545.48,84923.49,142911.05,80688.945,112703.67,
275,151.0400522635836,2.765565,,,,,,,,,,,289071.16,414732.75,361607.84,424283.66,525477.6,379430.2,
207,151.04007721179582,2.277397,,,,,,,,,,,118775.25,115683.64,114893.83,118499.945,144949.66,112174.46,
2034,153.86849712501086,10.299873,,,,,,,,,,,886027.9,675003.75,367751.7,468676.6,102798.62,71983.52,
8,154.0621273327473,0.35176775,,,,,,,,,,,368514.12,226205.19,95064.84,291863.62,230585.02,170585.28,
60,155.0097605285981,0.38038906,,,,13,,,,,,,270516.62,1347017.9,452237.0,1624066.1,1444375.8,857380.6,
445,155.10780828708525,3.6913786,,,,7,,,,,,,1439179.2,1657979.4,1399144.2,2003314.4,2058215.0,1977831.8,
556,155.10780857192307,4.3936667,,,,,,,,,,,0,22227.875,0,25356.34,0,10620.56,
195,156.06664888008046,2.1174839,,,,,,,,,,,254973.14,266381.62,212364.72,292978.53,321059.28,182484.94,
177,156.06668713252836,1.500702,,,,,,,,,,,529156.7,1461878.9,502266.62,634927.44,1095549.0,633738.0,
419,156.06668933314643,3.5075836,,,,,,,,,,,38687.24,61825.316,55934.93,50571.453,45784.89,47411.84,
477,156.06669608059235,3.8415563,,,,,,,,,,,129001.92,150964.88,124895.945,114409.516,137881.45,153856.88,
182,156.06669878791857,1.9613756,,,,75,,,,,,,2208720.2,1771968.5,2073524.9,2756218.8,1881789.9,2373655.0,
399,156.06670598168043,3.4238548,,,,29,,,,,,,59039.203,88773.76,69837.29,72112.1,67350.414,68771.9,
427,156.10299377209188,3.5508783,,,,132,,,,,,,493141.16,697604.44,517615.88,614557.4,870760.56,721300.06,
39,157.03658388553006,0.37288737,,,,13,,,,,,,1608280.9,1410769.0,590480.6,843172.3,846485.94,153503.52,
1483,158.08215465398908,7.5662827,,,,,,,,,,,216933.92,242979.62,196948.02,283175.12,208012.22,228795.88,
263,158.08222752605093,2.7277956,,,,39,,,,,,,9436480.0,9589888.0,8738520.0,1.1028184E7,8324480.5,1.0356726E7,
287,158.08222768756323,2.8117847,,,,93,,,,,,,1.4843354E7,1.4986698E7,1.3992656E7,1.5087323E7,1.3215311E7,1.6140113E7,
212,158.08223838583595,2.3708892,,,,37,,,,,,,1912167.6,2017511.4,1765233.9,2478217.8,2247775.5,1828318.2,
180,158.08224149305758,1.9466314,,,,,,,,,,,5716461.5,4553680.0,6179436.0,6293994.0,6090098.5,7291374.0,
173,158.08224314948245,1.3915888,,,,,,,,,,,1305649.4,4437837.0,1507923.4,1475979.0,5108065.5,1869600.0,
302,159.06620783053972,2.8682315,,,,,,,,,,,274901.0,366961.66,272527.34,379408.84,376464.25,359835.75,
179,159.08551781020614,1.947586,,,,,,,,,,,146889.14,231971.47,156225.27,179307.45,437821.53,229939.1,
510,159.1026668006373,4.0713053,,,,128,,,,,,,530114.7,967397.6,607989.5,762427.3,1086903.4,814895.4,
353,159.10268031127939,3.153903,,,,,,,,,,,23788.766,50840.074,44134.027,48252.75,17935.207,57385.95,
461,159.10268191091376,3.7897081,,,,,,,,,,,72790.49,121487.71,152849.64,243438.75,114927.79,143360.23,
358,160.04045635278175,3.1948636,,,,125,,,,,,,940915.6,1257207.4,1587384.2,1210964.4,1326546.6,1481933.2,
71,160.06142753485486,0.3879095,,,,13,,,,,,,4190333.0,6198183.0,1945896.5,2638791.0,3639757.5,1682205.9,
117,160.06146521485718,0.63431466,,,,55,,,,,,,2813109.8,5868566.0,2076312.1,3443008.5,4231809.0,3025843.8,
2044,160.84197711227077,10.418262,,,,,,,,,,,1420206.0,473191.78,396914.53,162239.47,224170.61,245467.34,
2054,160.84201127152494,10.461826,,,,9,,,,,,,984430.0,666255.6,1035470.6,1245087.2,1980674.4,1994411.2,
2,160.842020217423,0.14599203,,,,,,,,,,,0,16645.197,4221.782,161858.69,298056.0,368205.94,
137,161.04549348952432,0.7623562,,,,57,,,,,,,3029013.8,4157329.2,1765836.8,3131809.8,3915417.8,2629866.0,
2041,162.83900058601233,10.356377,,,,,,,,,,,1345470.9,335972.03,75804.38,181037.05,0,0,
2053,162.83905215067742,10.459091,,,,9,,,,,,,976841.3,647354.4,983754.06,1156507.1,2064812.4,1825163.9,
84,163.06111886876624,0.39687884,,,,13,,,,,,,2030743.2,2561612.2,418917.97,1391952.9,990123.06,626121.75,
343,164.03536493524163,3.0531542,,,,137,,,,,,,2127112.2,2553617.0,2246296.0,2332002.2,2410499.0,2494853.0,
376,164.0354032950839,3.2862177,,,,,,,,,,,145517.1,186007.84,119252.94,185444.77,202434.83,176618.58,
336,165.05563811810077,3.0230618,,,,111,,,,,,,458807.0,695871.8,654854.56,703530.94,804786.8,707749.1,
507,165.05568498931805,4.045538,,,,,,,,,,,706354.5,660664.7,514503.47,782873.0,790135.7,775749.44,
549,165.1284235102543,4.3367343,,,,18,,,,,,,285262.94,360936.78,324009.2,425366.22,306275.9,396584.75,
691,165.1284872262477,5.1111774,,,,144,,,,,,,22311.404,92936.77,28631.475,74822.32,56028.35,51711.5,
312,167.03497760143503,2.9263852,,,,,,,,,,,104944.2,175646.7,51169.57,153731.28,151636.7,111170.18,
569,167.03500117115195,4.5036016,,,,,,,,,,,279383.28,367848.56,121346.08,301277.5,403250.66,275955.1,
272,168.03015047564978,2.7625144,,,,30,,,,,,,479714.5,467368.4,297372.06,518312.25,460993.9,413154.28,
433,168.03042293574546,3.5921447,,,,,,,,,,,0,0,0,55110.223,0,0,
25,168.03349850469516,0.36686277,,,,13,,,,,,,2399185.5,3448598.5,3683361.2,3867697.5,3894453.0,3655440.8,
67,168.06649063385407,0.38263556,,,,13,,,,,,,965948.5,2494233.0,181366.0,711840.6,799407.4,577553.44,
118,168.0665492138248,0.6340432,,,,,,,,,,,565002.7,1651940.9,200679.83,623386.2,611176.44,386843.25,
23,169.06176014751748,0.3661096,,,,13,,,,,,,929304.7,1047763.7,888407.8,793929.9,922629.6,898553.6,
236,169.9917703788642,2.5046484,,,,63,,,,,,,489161.56,502542.8,355276.5,598626.4,557184.1,414287.28,
13,171.0063147339482,0.3690996,,,,,,,,,,,808951.0,86961.85,239924.81,808343.25,533361.3,281691.28,
153,171.06631559098616,0.93008906,,,,,,,,,,,60061.617,436625.9,66283.766,111526.24,194103.53,113890.984,
364,171.06639140968795,3.233817,,,,,,,,,,,220412.53,586577.56,231234.52,551844.7,387414.25,309607.75,
500,171.10272634611,4.0055966,,,,,,,,,,,238132.98,304723.44,291535.16,323843.3,253025.81,386347.72,
458,171.10273918348003,3.7541034,,,,136,,,,,,,5694943.0,7579569.5,6747277.0,7464883.0,4110344.8,7444214.0,
318,171.1027466991222,2.9529305,,,,38,,,,,,,1185213.0,1769202.0,1939913.2,1859525.1,1261563.5,2545849.0,
143,172.04041862965525,0.81212074,,,,48,,,,,,,1555904.1,1612427.8,1835987.5,1240918.4,1359383.9,1366565.5,
286,172.09790125722884,2.797471,,,,,,,,,,,247923.86,268052.94,253183.5,265741.12,295046.12,274846.53,
