"","filter","Yeast_HE_D5-Ctrl_a_pos_20190515_Run37.mzML","Yeast_HE_D5-Ctrl_b_pos_20190515_Run40.mzML","Yeast_HE_D5-Ctrl_c_pos_20190515_Run43.mzML","POS_D5-227-C3-a_Run274.mzML","POS_D5-227-C3-b_Run277.mzML","POS_D5-227-C3-c_Run280.mzML"
"38/138.0551mz/2.11min",12733.904,3749.0325,7292.825,9383.593,149662.1,178017.95,16084.215
"39/217.1048mz/2.24min",1059397.05,873157.44,1119584.6,874888.25,1026339.5,1504943.8,1092454.6
"40/140.0683mz/2.46min",75361.3675,43240.918,86922.38,86683.18,116857.16,64039.555,54247.55
"41/316.2116mz/2.52min",176591.465,378905,172567.9,192132.47,30506.629,180615.03,147145.19
"42/140.0683mz/2.66min",57273.077,38055.438,29201.422,96202.87,72971.42,41574.734,117258.64
"43/316.2116mz/2.67min",257733.1,483951.94,316461.5,108783.01,36904.562,365952.47,199004.7
"44/89.0598mz/2.74min",431994.3,1227202.5,457790.88,361792.6,297977.25,590428.9,406197.72
"45/272.1855mz/2.75min",301965.64,457010.9,316054.78,286595.44,96813.5,545248.56,287876.5
"46/217.1072mz/2.8min",314905.05,302399.5,251867.11,562677.25,286985.34,343921.38,327410.6
"47/257.0995mz/2.8min",859063.475,635531,551323.1,1194898,857233.75,945464,860893.2
"48/120.0445mz/2.83min",2967639.75,2561646,2504766,2225040,5495697,3373633.5,3788563
"49/138.0551mz/2.84min",848182.1,729429,699165.94,635383.44,1584802.9,966935.2,1088954.4
"50/171.0993mz/2.86min",1711244.39,498830.28,483364.94,267178.84,3044938.8,2923658.5,3133109
"51/183.0918mz/2.88min",213600.04,117735.86,237163.77,77984.47,536107.4,190036.31,409976.2
"53/345.1519mz/3.13min",221811.055,252543.84,184725.34,539637.94,288631.78,191078.27,169314.64
"54/172.1333mz/3.19min",1177496.1,1050209.2,1000862.06,1013033.6,1304783,1333331.2,1363228
"55/194.1154mz/3.19min",6764952.5,5550690,5608868.5,5752086.5,7777818.5,7827011.5,8537174
"56/212.1259mz/3.2min",713730.15,559439.1,544050.7,556927.3,875725.5,868021.2,906974.06
"57/217.1072mz/3.35min",86244.3425,87067.195,85421.49,84089.23,548841.3,75033.69,105323.74
"58/239.0891mz/3.35min",857186.23,585025.5,621064.56,785703.9,4610681,928668.56,1139497.1
"59/219.0571mz/3.52min",527937.54,472468.16,704063.7,571939.8,483935.28,690032.25,437673.16
"60/233.0727mz/3.56min",112920.949,111962.734,61915.23,174515.22,125419.484,85440.67,113879.164
"61/255.0546mz/3.56min",132253.95,103437.08,40652.473,154486.44,168768.94,112831.92,151675.98
"62/194.1153mz/3.61min",331984.02,398448.2,245068.44,265519.84,617578,447898.88,137854.31
"63/201.0597mz/3.65min",268571.8,183206.77,150574.69,383144.03,258930.94,278212.66,292876.25
"64/217.1072mz/3.66min",162587.25,123977.27,96024.46,165238.33,164127.44,161047.06,184605.64
"65/385.1467mz/3.66min",463383.47,311265.3,259329.77,648033.3,440732.6,486034.34,493328.7
"66/345.1542mz/3.66min",82181.0175,50080.805,46512.25,134678.56,79215.91,85146.125,91358.53
"67/140.0683mz/3.75min",91896.635,70989.58,104845.33,104798.42,12399.139,80919.14,102874.13
"68/322.0967mz/3.77min",77546.943,60915.984,55392.29,106577.98,88039.266,85448.086,69645.8
"69/302.1304mz/3.8min",820535.27,955356.5,634986.25,1293005.6,876445.94,737092.56,764624.6
"70/324.1123mz/3.8min",2412131.8,2224620.2,1698226.6,3029360.2,2789279.5,2395638.8,2428624.8
"71/468.2439mz/3.85min",202307.61,326846.06,266037.78,521222.72,135501.92,138577.44,127416.7
"72/217.1073mz/3.85min",88534.55,77007.41,56348.49,150358.2,88610.19,98023.766,88458.91
"73/451.2172mz/3.85min",610825.53,556432.06,477445.4,979511.1,622532.06,685786.75,599119
"74/473.1993mz/3.85min",2213811.6,2087157.5,1775188.2,3451053.8,2255077,2433961,2172546.2
"75/245.0859mz/3.85min",620417.155,520364.78,465661.06,900811.2,617138.75,689507.7,623695.56
"76/433.2066mz/3.85min",153344.46,140299.77,108370.22,256059.61,155504.89,171598.17,151184.03
"77/300.1148mz/3.9min",843696.75,959815.4,733447.1,1374672.9,887482.25,799911.25,787305.4
"78/322.0966mz/3.9min",915718.1,789315.5,610660.44,1131831,1025717,933642.2,897794
"79/203.0621mz/3.91min",147059.335,159196.42,175056.88,221874,124513.445,134922.25,121999.305
"80/561.2516mz/4.0min",253893.665,252184.88,131366.05,417414.56,255602.45,270212.06,250624.5
"81/222.1465mz/4.06min",691843.2,555436.4,555364,546055.1,832544.56,830348.8,828250
"82/325.1256mz/4.24min",891596.1,856377.1,824488.94,809217.3,1016238.4,926815.1,966662.1
"83/233.0727mz/4.37min",453123.985,430908.72,316282.84,681919.6,485255.66,366071.8,475339.25
"84/255.0545mz/4.36min",625500.7,429370.25,324965.4,696547.7,725520.6,554453.7,719616.3
"85/266.1727mz/4.37min",95684.385,88478.78,83416.31,90807.68,100561.09,101501.555,448373.1
"86/226.1802mz/4.38min",132950.965,138396.81,117282.11,127039.375,130745.31,135156.62,565732.94
"87/244.1908mz/4.37min",52220.0775,51615.07,45961.19,52564.145,51876.01,53871.707,279488.75
"88/236.1621mz/4.45min",94048.965,82167.91,66461.484,77752.49,112399.64,105930.02,136219.58
"90/689.2989mz/4.5min",555440.175,553162.1,431136.62,874201.06,557718.25,596500.7,529070.25
"91/450.2336mz/4.54min",1921981.85,2713164.2,2280884.2,3885283.5,1369283.5,1563079.5,1184016.6
"92/455.1887mz/4.54min",37365195,36426240,33078956,46258470,38304150,41658188,35472470
"93/433.2068mz/4.55min",5929130.25,5378270,4720300,8173895.5,6283646,7070955.5,5574614.5
"95/236.0806mz/4.55min",2647799.25,2251770.5,2062183.1,3239293.5,2787060.5,3058554.5,2508538
"96/244.0668mz/4.55min",358382.59,392515.88,343792.88,535368.5,335602.22,372972.3,290910.62
"97/230.9846mz/4.69min",792081.56,722326.3,755746.25,758790.56,853142.7,825372.56,895043.3
"98/211.9707mz/4.69min",4284994.15,3885960.8,4098365.8,4073209,4630446,4471622.5,4740480.5
"100/229.9813mz/4.69min",9657535.5,8713632,9201769,9118387,10356070,10113302,10770813
"101/231.9791mz/4.69min",9452726.5,8553489,9007000,8944106,10153581,9898453,10570108
"102/232.9824mz/4.69min",792538.58,706129.5,762901.06,750166.3,847629.9,822176.1,886933.5
"103/469.1091mz/4.69min",418404.73,407673.62,341365.66,429135.84,509384.38,406603.75,494851.56
"104/447.1271mz/4.69min",488341.82,489896.84,396407.16,514181.6,497774.28,405142.5,486786.8
"105/247.0883mz/4.7min",451655.16,456514.1,474250.84,599881.7,446796.22,441109.78,446107.88
"106/269.0702mz/4.71min",546846.72,414863.53,436035.22,552757.1,546722.44,546971,558046.2
"108/568.2964mz/4.73min",503375.325,768481.94,756033,653115.9,353634.75,282139.97,305602.62
"109/573.2518mz/4.73min",4555715.75,4522530,4588901.5,4186200.5,4982107,4274476.5,4758989.5
"111/228.1959mz/4.82min",230403.11,216914.27,135601.77,210690.34,252704.97,243891.95,256804.02
"112/250.1778mz/4.82min",622067.65,560718.4,393789.3,574866.4,674021.56,669268.9,699783.75
"113/455.1885mz/4.79min",267788.205,384089.88,102958.77,215696.75,319879.66,211158.23,533846
"114/270.1465mz/4.85min",592917.85,496937.72,353035.2,666895.4,669120.56,518940.3,682790.25
