"","PC1","PC2","PC3","PC4","PC5","PC6"
"Yeast_HE_D5-Ctrl_a_pos_20190515_Run37.mzML",-2.8826,2.3903,0.22465,-0.21554,-0.050785,1.9594e-15
"Yeast_HE_D5-Ctrl_b_pos_20190515_Run40.mzML",-1.4268,-1.8145,0.21509,-0.15631,1.0917,1.968e-15
"Yeast_HE_D5-Ctrl_c_pos_20190515_Run43.mzML",-1.3716,-1.6763,-0.29071,0.49963,-1.0602,1.8926e-15
"POS_D5-227-C3-a_Run274.mzML",1.5926,0.65451,-1.8463,0.093348,0.24744,2.0331e-15
"POS_D5-227-C3-b_Run277.mzML",1.9869,-0.19701,0.61536,-1.3693,-0.3687,1.9585e-15
"POS_D5-227-C3-c_Run280.mzML",2.1015,0.64298,1.0819,1.1482,0.14061,1.818e-15
