"MetaboAnalyst_ID","X2024_NEG_Y.EV_1_CTRL_Run89.mzML","X2024_NEG_Y.EV_2_CTRL_Run118.mzML","X2024_NEG_Y.EV_3_CTRL_Run139.mzML","X2024_NEG_Y.p10_1_Run104.mzML","X2024_NEG_Y.p10_2_Run130.mzML","X2024_NEG_Y.p10_3_Run145.mzML","shared_name"
"179/338.0883mz/2.98min",2.32351577687971,2.32426088961063,2.72161210851591,2.41809477175875,2.51486615868442,2.35968547687783,"179"
"183/310.0569mz/3.0min",2.4827559166293,2.47097079213525,2.83920855712469,2.50668468735015,1.93161458764191,2.44180154016113,"183"
"184/229.1557mz/3.07min",1.74424573746895,1.72194054641478,2.1010802763963,1.80330001214881,1.88212231101759,1.76605031669041,"184"
"186/165.0557mz/3.13min",2.43459145253754,2.42932588083984,2.6624195398121,2.43734658753292,2.58109753004819,2.35662140931454,"186"
"187/189.0768mz/3.13min",1.94500789588454,1.94748648649361,2.22223581243082,1.55796860988997,1.23264658867728,1.80489210560635,"187"
"191/164.0353mz/3.14min",2.4069442587904,2.4321225166523,2.72582204086787,2.27924633642826,2.05205584266194,2.32354070134392,"191"
"192/265.0176mz/3.17min",2.7265526577498,2.66769868905284,2.6235611996225,2.6809175666294,2.66546506566558,2.70793153013422,"192"
"193/224.0928mz/3.24min",1.86776963118311,1.80526927593928,2.25817706313606,1.95246394823709,2.05042217248924,1.90875287823149,"193"
"194/286.0933mz/3.24min",2.048839153658,2.03562763012458,2.43131405547849,2.13212633708042,2.22312982713873,2.08342966627955,"194"
"195/403.172mz/3.27min",2.65189337562152,2.64032505786031,3.01559870689438,2.71466482950372,2.84424858763394,2.65233711598575,"195"
"199/421.0056mz/3.4min",2.70639038401121,2.64075718624707,2.63226405023095,2.689070493418,2.67147031494018,2.68276177072961,"199"
"202/320.0777mz/3.4min",1.93345510743568,1.91099219545127,2.30771229321608,2.01539882228053,2.11274436973991,1.97925287407153,"202"
"204/249.0227mz/3.48min",3.0252867609586,3.01735308937504,3.00241131349571,2.98266091089922,3.0197741947121,2.96507566347126,"204"
"205/279.9958mz/3.52min",3.50159149287516,3.45393713809643,3.44655048569901,3.49163860938067,3.47540296411503,3.50571258609575,"205"
"207/582.981mz/3.52min",2.05875965847543,2.03276267349022,1.99262861178793,2.01398550066093,2.03954442838533,2.04978586269605,"207"
"208/560.9991mz/3.52min",2.77295629770844,2.75319408362908,2.72156469644209,2.77449206812451,2.78430155525317,2.7495346191201,"208"
"210/417.1877mz/3.55min",2.03148676390668,1.97616160259024,2.40516577775637,2.0933879843779,2.23500390147876,2.03781032133313,"210"
"211/405.0107mz/3.6min",3.49719797972362,3.47146303585505,3.40397075149419,3.45035878933339,3.46956606342023,3.47424787948661,"211"
"212/407.0044mz/3.6min",2.326175004071,2.30323846712302,2.25315813708865,2.26327383701918,2.30378485735675,2.28777176842548,"212"
"214/406.0138mz/3.6min",2.8039594876528,2.72913021399626,2.6873515115603,2.71083919777259,2.73303346134,2.73831265509047,"214"
"216/421.0056mz/3.84min",1.8908588097294,1.82723893977051,1.90796129327846,1.81670182322794,1.90390323998231,1.98675683806638,"216"
"217/309.1014mz/3.99min",1.82243710861009,1.82014165170907,1.81555743577443,1.80602708877636,1.82191747678276,1.81327437586099,"217"
"222/497.0371mz/4.41min",2.16639964745064,2.12158371262266,2.10569435316102,2.11716252906532,2.13672835152456,2.13182612044766,"222"
"223/242.1762mz/4.42min",1.90308436992923,1.838972050688,1.88302069244235,1.87631733083348,1.86747747431565,1.87792384552204,"223"
"226/793.0186mz/4.43min",2.15587385882732,2.16750395902323,2.22787967780375,2.16974033216173,2.17805909555215,2.2150654537543,"226"
"228/422.9768mz/4.52min",2.10481836874249,2.06709999305251,2.05129664553558,2.06620188221936,2.05729280382318,2.06887721807352,"228"
"230/653.0255mz/4.54min",2.08701963593542,2.08722329575615,2.13159109903688,2.08012733317146,2.09385410389257,2.11139763453653,"230"
"231/341.0486mz/4.56min",2.07195268678188,2.0509895616571,2.02632005146292,2.05452529664064,2.08300119879737,2.05412195250319,"231"
"233/404.0444mz/4.56min",1.86351063720575,1.84493688496444,1.78600338768788,1.85554676876195,1.89292184248906,1.85601277577907,"233"
"234/497.0371mz/4.67min",2.40315601149145,2.37512006627421,2.37330245881742,2.37650176170568,2.37116622707224,2.39699458976732,"234"
"236/637.0305mz/4.74min",2.93030972266755,2.94881149683921,2.97186918412565,2.95906140990913,2.92197469568609,2.93571369106995,"236"
"239/229.9645mz/4.74min",2.9940299175291,2.98718337167163,2.98468415044128,2.99219496682817,2.99150311392602,2.99500721841811,"239"
"240/230.9678mz/4.74min",1.87566460373688,1.86913801489854,1.89206253551926,1.89017348405501,1.88848782998313,1.90624202722301,"240"
"241/228.9699mz/4.74min",1.90935446169805,1.89515400131218,1.88875618089599,1.8908492069451,1.90607587633413,1.9110134291733,"241"
"243/268.9857mz/4.76min",1.83192446267074,1.85815096861507,1.87031804352529,1.883816401187,1.88486007838175,1.8859127181944,"243"
"244/266.9888mz/4.76min",2.34621744187437,2.36024539158505,2.36540914340083,2.37768228790643,2.36027409205829,2.37848375460065,"244"
"245/909.0177mz/4.92min",1.46681212440329,2.00222161397653,1.65641129120923,1.84645947480128,1.78792876461136,1.71090114763396,"245"
"246/426.9678mz/4.92min",3.15373958223161,3.30076566582434,3.17394636010328,3.09920251258273,3.15371263181591,3.11725375929393,"246"
"247/481.0421mz/4.92min",2.89219032249669,2.83728147168955,2.91967701476332,2.86484452173396,2.86481956198552,2.85333544905643,"247"
"248/544.0379mz/4.92min",2.50366722039589,2.45656930866774,2.51480657468035,2.45531244701823,2.45119952313581,2.45198245613953,"248"
"258/214.88mz/5.49min",2.23328607144411,1.37616989238631,-0.0932564961558655,2.14240796941235,2.1384406559688,-0.77209351559955,"258"
"259/241.8989mz/5.49min",2.46550894261132,2.04771752523645,0.592395206635144,2.34691276714516,2.17284173198543,0.449450692863327,"259"
"264/450.2625mz/5.74min",2.44475362765638,2.35030151917046,2.2510400620313,2.19592984258586,2.38952471697842,2.19543359815165,"264"
"265/538.3152mz/5.79min",2.65756435116448,2.57155781770876,2.38831280263755,2.29685216124905,2.33629780643962,2.30544655931227,"265"
"267/569.2734mz/5.81min",2.02484111224007,1.81730230876735,1.63785439941961,1.63676237448486,1.9943968137524,1.66847086835901,"267"
