"","filter","2024_NEG_Y-EV_1_CTRL_Run89.mzML","2024_NEG_Y-EV_2_CTRL_Run118.mzML","2024_NEG_Y-EV_3_CTRL_Run139.mzML","2024_NEG_Y-p10_1_Run104.mzML","2024_NEG_Y-p10_2_Run130.mzML","2024_NEG_Y-p10_3_Run145.mzML"
"132/175.0611mz/2.03min",22700.9835,33782.637,47234.715,59266.492,11619.33,2323.866,2323.866
"134/156.0666mz/2.06min",1253393.1,1941036.9,2403060,2666349.5,565749.3,250227.64,287153.5
"135/378.1338mz/2.1min",1347088.2,1795059.2,1754215.5,2076771.2,939960.9,250825.8,426132.3
"136/328.9796mz/2.11min",1296976.05,1287814.6,1309428.2,1167734.8,1500483.8,1219356.5,1306137.5
"138/117.0558mz/2.12min",2939190.1,2737682,3140698.2,5628634,2507972.2,3574398,2048397.6
"139/288.0725mz/2.16min",534848.43,422992.06,359066.75,1185276.6,584753.7,789507.3,484943.16
"140/218.1033mz/2.18min",237455.01,110960.44,124719.82,185921.55,450248.66,644040.44,288988.47
"141/382.1002mz/2.22min",448735.285,398466.06,451457.47,446013.1,678359.94,706918.94,319823
"142/322.0603mz/2.29min",594959.38,700599.56,390128.78,1830993.4,1302629.8,64588.395,489319.2
"143/229.1557mz/2.31min",25157.114,25157.114,25157.114,25157.114,25157.114,1205156.8,125785.57
"144/290.0882mz/2.33min",3071917.85,2449404.8,2665860.8,6628149.5,3247564.5,3911776.2,2896271.2
"145/272.0776mz/2.32min",126533.187,101462.875,107388.11,341064.5,136815.14,183868.1,116251.234
"146/223.0724mz/2.37min",235735.46,315993.7,362429.84,352128.34,138768.97,27753.794,155477.22
"147/190.0547mz/2.41min",244493.195,214606.98,147239.72,1032941.6,402188.62,228417.86,260568.53
"148/175.0611mz/2.43min",171932.605,150813.27,202875.27,370098.16,148289.78,193051.94,131625.56
"149/129.0557mz/2.44min",1563149.2,821257.75,1109955.6,7938902.5,1757962,1368336.4,2223998.5
"150/342.0874mz/2.44min",16529.727,11200.791,14088.302,18971.152,61364.38,423850.34,12592.242
"152/237.0881mz/2.52min",836021.72,961308,972926,1005261.06,609584.6,31424.39,710735.44
"153/229.1557mz/2.52min",18432.788,18432.788,18432.788,18432.788,18432.788,92163.94,18432.788
"154/175.0612mz/2.52min",3328376.35,3410724.2,4025306.2,7878366.5,2563229.8,2934443.2,3246028.5
"155/176.0645mz/2.52min",232093.025,236457.88,277225.12,564928.94,181180.72,196377.5,227728.17
"156/292.0463mz/2.54min",83824.002,81182.52,86465.484,194920.5,88640.29,13184.7968,65923.984
"157/407.1206mz/2.6min",917605.05,1015384.1,1109963.1,1189438.8,819826,224387.78,805715.3
"158/373.0055mz/2.7min",1880964,1937484.5,1870944.9,1873511.6,1876484.1,1900406.5,1885443.9
"159/178.0509mz/2.71min",1022986.25,1336737.8,1310032.2,1272146.6,773825.9,9280.092,723803.94
