row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,NEG_D5-Ctrl-a-P-EAMeOH_Run29.mzML Peak area,NEG_D5-211-C2-c_Run125.mzML Peak area,NEG_D5-211-C2-b_Run122.mzML Peak area,NEG_D5-Ctrl-c-P-EAMeOH_Run35.mzML Peak area,NEG_D5-211-C2-a_Run119.mzML Peak area,NEG_D5-Ctrl-b-P-EAMeOH_Run32.mzML Peak area,
78,85.02931258504644,0.5808294,,,,9,,,,,,,467717.88,607646.75,576590.94,615630.0,607269.75,510947.5,
46,85.02931514364754,0.38643634,,,,29,,,,,,,737629.56,799186.75,901955.1,789013.9,860836.6,837560.75,
73,89.02424929245166,0.40299094,,,,,,,,,,,81900.39,86004.57,83973.93,390513.44,43613.707,212671.12,
14,96.96008675963724,0.35103902,,,,6,,,,,,,9.256983E7,6.1630284E7,9.041519E7,1.1072339E8,9.497388E7,8.390231E7,
24,96.96933980532481,0.35877395,,,,6,,,,,,,1.4136222E7,1.8455258E7,1.7097416E7,1.7415444E7,1.820542E7,1.4160202E7,
12,98.95577331046725,0.3492918,,,,6,,,,,,,4049379.0,2655974.0,3945686.5,4852921.0,4185051.8,3691021.8,
400,99.92577996932295,8.8017645,,,,36,,,,,,,5.5844468E7,7.251947E7,7.273648E7,5.0850188E7,7.2095384E7,5.2549636E7,
401,100.93359915797726,8.803422,,,,36,,,,,,,6.454678E7,5.9062316E7,5.9247604E7,5.937885E7,5.6512828E7,6.021454E7,
368,101.98084674561916,8.701455,,,,14,,,,,,,1184664.1,3590127.2,3344555.0,1505512.8,3814603.5,1691019.5,
417,101.98085448324849,8.949859,,,,4,,,,,,,6077206.0,3702825.0,3796849.0,6359520.0,3474957.5,6455545.0,
489,101.98087392662917,10.014069,,,,30,,,,,,,797763.75,1219691.8,1310188.6,924293.7,1264519.9,863306.3,
471,101.980884845656,9.610896,,,,27,,,,,,,594244.44,2715729.8,1447303.5,985750.3,2432575.0,1001319.2,
431,102.95680543174365,8.962074,,,,4,,,,,,,1540077.9,1758162.8,1966434.8,1706891.0,1853375.1,1626869.9,
498,102.95681261890529,10.179261,,,,,,,,,,,720023.6,952697.94,1472009.5,689183.7,940562.7,667270.6,
58,111.00871622666284,0.3976591,,,,29,,,,,,,5621319.0,5872792.5,6040636.0,5371768.0,5388801.5,5787456.5,
