Filename,Yeast_HE_D5-Ctrl_a_neg_20190515_Run37.mzML,Yeast_HE_D5-Ctrl_b_neg_20190515_Run40.mzML,Yeast_HE_D5-Ctrl_c_neg_20190515_Run43.mzML,NEG_D5-227-C2-a_Run248.mzML,NEG_D5-227-C2-b_Run251.mzML,NEG_D5-227-C2-c_Run254.mzML
Class,CTRL,CTRL,CTRL,EXP,EXP,EXP
30/217.1047mz/2.24min,873157.44,1119584.6,874888.25,0.0,0.0,0.0
31/140.0683mz/2.44min,43240.918,86922.38,86683.18,0.0,0.0,0.0
32/316.2115mz/2.52min,378905.0,172567.9,192132.47,0.0,0.0,0.0
33/121.0294mz/2.66min,0.0,0.0,0.0,767294.8,720415.06,859847.4
34/316.2116mz/2.68min,483951.94,316461.5,108783.01,0.0,0.0,0.0
35/89.0598mz/2.75min,1227202.5,462431.1,361792.6,0.0,0.0,0.0
36/272.1855mz/2.75min,457010.9,316054.78,286595.44,0.0,0.0,0.0
37/217.1071mz/2.8min,302399.5,251867.11,562677.25,0.0,0.0,0.0
38/257.0995mz/2.8min,635531.0,551323.1,1194898.0,0.0,0.0,0.0
39/120.0445mz/2.83min,2561646.0,2504766.0,2225040.0,0.0,0.0,0.0
40/138.0551mz/2.83min,729429.0,699165.94,635383.44,0.0,0.0,0.0
41/131.0712mz/2.9min,0.0,0.0,0.0,116009.9,933890.2,674920.94
43/172.0979mz/3.03min,0.0,0.0,0.0,592831.2,617411.94,722649.5
44/165.0556mz/3.1min,0.0,0.0,0.0,677903.75,647364.3,1132730.0
45/345.1518mz/3.13min,252543.84,184725.34,539637.94,0.0,0.0,0.0
46/172.1333mz/3.19min,1050209.2,1000862.06,1013033.6,0.0,0.0,0.0
47/194.1153mz/3.19min,5550690.0,5608868.5,5752086.5,0.0,0.0,0.0
49/239.089mz/3.35min,585025.5,621064.56,785703.9,0.0,0.0,0.0
50/219.0571mz/3.52min,472468.16,704063.7,571939.8,0.0,0.0,0.0
51/217.0422mz/3.52min,0.0,0.0,0.0,555026.06,797769.3,515350.38
52/233.0726mz/3.55min,111962.734,61915.23,174515.22,0.0,0.0,0.0
53/255.0545mz/3.55min,103437.08,40652.473,154486.44,0.0,0.0,0.0
54/201.0596mz/3.65min,183206.77,150574.69,383144.03,0.0,0.0,0.0
55/217.1071mz/3.66min,123977.27,96024.46,165238.33,0.0,0.0,0.0
56/385.1465mz/3.65min,311265.3,259329.77,648033.3,0.0,0.0,0.0
57/361.1503mz/3.65min,0.0,0.0,0.0,602297.1,584530.1,763117.1
58/345.1541mz/3.66min,50080.805,46512.25,134678.56,0.0,0.0,0.0
59/140.0683mz/3.74min,70989.58,104845.33,104798.42,0.0,0.0,0.0
60/322.0966mz/3.77min,60915.984,55392.29,106577.98,0.0,0.0,0.0
61/302.1304mz/3.8min,955356.5,634986.25,1293005.6,0.0,0.0,0.0
62/324.1123mz/3.8min,2224620.2,1698226.6,3029360.2,0.0,0.0,0.0
63/217.1072mz/3.85min,77007.41,56348.49,150358.2,0.0,0.0,0.0
64/468.2438mz/3.85min,326846.06,266037.78,521222.72,0.0,0.0,0.0
65/245.0858mz/3.85min,520364.78,465661.06,900811.2,0.0,0.0,0.0
66/433.2065mz/3.85min,140299.77,108370.22,256059.61,0.0,0.0,0.0
67/451.2171mz/3.85min,556432.06,477445.4,979511.1,0.0,0.0,0.0
68/473.1992mz/3.85min,2087157.5,1775188.2,3451053.8,0.0,0.0,0.0
69/449.2027mz/3.85min,0.0,0.0,0.0,978547.5,1031412.56,1322133.9
70/300.1147mz/3.9min,959815.4,733447.1,1374672.9,0.0,0.0,0.0
71/322.0965mz/3.9min,789315.5,610660.44,1131831.0,0.0,0.0,0.0
72/203.0621mz/3.91min,159196.42,175056.88,221874.0,0.0,0.0,0.0
73/561.2514mz/4.0min,252184.88,131366.05,417414.56,0.0,0.0,0.0
74/222.1464mz/4.05min,555436.4,555364.0,540602.9,0.0,0.0,0.0
75/325.1255mz/4.24min,856377.1,824488.94,809217.3,0.0,0.0,0.0
76/233.0726mz/4.36min,430908.72,316282.84,681919.6,0.0,0.0,0.0
77/255.0544mz/4.36min,429370.25,324965.4,696547.7,0.0,0.0,0.0
78/266.1726mz/4.37min,88478.78,83416.31,90807.68,0.0,0.0,0.0
79/226.1801mz/4.37min,138396.81,117282.11,127039.375,0.0,0.0,0.0
81/236.162mz/4.45min,82167.91,66461.484,77752.49,0.0,0.0,0.0
83/689.2987mz/4.5min,553162.1,431136.62,874201.06,0.0,0.0,0.0
84/433.2067mz/4.54min,5378270.0,4720300.0,8173895.5,0.0,0.0,0.0
85/450.2335mz/4.54min,2713164.2,2280884.2,3885283.5,0.0,0.0,0.0
86/455.1886mz/4.54min,36426240.0,33078956.0,46258470.0,0.0,0.0,0.0
87/236.0805mz/4.54min,2251770.5,2062183.1,3239293.5,0.0,0.0,0.0
89/244.0667mz/4.55min,392515.88,343792.88,535368.5,0.0,0.0,0.0
90/469.109mz/4.69min,404024.0,341365.66,429135.84,0.0,0.0,0.0
91/227.9665mz/4.69min,0.0,0.0,0.0,2112767.8,2075203.8,2114174.0
93/295.9538mz/4.69min,0.0,0.0,0.0,498217.1,475658.84,484826.97
95/211.9707mz/4.69min,3885960.8,4098365.8,4073209.0,0.0,0.0,0.0
97/229.9813mz/4.69min,8713632.0,9201769.0,9118387.0,0.0,0.0,0.0
98/231.9791mz/4.69min,8553489.0,9007000.0,8944106.0,0.0,0.0,0.0
99/232.9823mz/4.69min,706129.5,762901.06,750166.3,0.0,0.0,0.0
100/230.9845mz/4.69min,722326.3,755746.25,758790.56,0.0,0.0,0.0
101/447.127mz/4.69min,489896.84,396407.16,514181.6,0.0,0.0,0.0
102/247.0883mz/4.7min,456514.1,474250.84,599881.7,0.0,0.0,0.0
103/269.0701mz/4.71min,416761.0,436035.22,552757.1,0.0,0.0,0.0
104/568.2963mz/4.73min,768481.94,756033.0,653115.9,0.0,0.0,0.0
105/573.2517mz/4.73min,4522530.0,4588901.5,4186200.5,0.0,0.0,0.0
106/228.1959mz/4.82min,216914.27,135601.77,210690.34,0.0,0.0,0.0
107/250.1777mz/4.82min,560718.4,393789.3,574866.4,0.0,0.0,0.0
108/270.1464mz/4.85min,496937.72,353035.2,666895.4,0.0,0.0,0.0
110/448.2032mz/4.9min,95138.88,83090.31,121074.984,0.0,0.0,0.0
111/426.9677mz/5.09min,0.0,0.0,0.0,6073543.5,6951932.5,7635005.5
112/494.9552mz/5.09min,0.0,0.0,0.0,320100.28,375645.12,415047.6
114/344.1301mz/5.23min,716908.6,616682.4,1003180.8,0.0,0.0,0.0
115/649.3063mz/5.23min,1071198.9,881551.06,1451975.6,0.0,0.0,0.0
116/666.333mz/5.23min,998123.44,802883.44,1186714.6,0.0,0.0,0.0
117/671.2884mz/5.24min,10904982.0,9207097.0,13314125.0,0.0,0.0,0.0
118/318.3mz/5.24min,2385896.0,2681978.2,2260510.0,0.0,0.0,0.0
120/203.062mz/5.28min,368459.94,289328.8,399944.6,0.0,0.0,0.0
121/298.2739mz/5.3min,593503.06,598996.5,555201.94,0.0,0.0,0.0
122/256.2998mz/5.42min,11307937.0,11312143.0,11063268.0,0.0,0.0,0.0
123/264.092mz/5.43min,458984.72,398626.7,472174.56,0.0,0.0,0.0
124/284.6053mz/5.43min,601384.6,552727.4,640882.44,0.0,0.0,0.0
125/448.2033mz/5.43min,7044495.5,6236443.5,7188043.0,0.0,0.0,0.0
126/470.1853mz/5.43min,12976840.0,11808889.0,13135237.0,0.0,0.0,0.0
127/917.3813mz/5.43min,682053.44,563541.94,722467.9,0.0,0.0,0.0
128/304.2997mz/5.46min,420237.8,1600779.4,781189.0,0.0,0.0,0.0
129/284.2946mz/5.48min,122752.555,143970.66,93965.07,0.0,0.0,0.0
130/302.3052mz/5.48min,4338535.0,4959930.0,3558313.5,0.0,0.0,0.0
131/303.3085mz/5.48min,842388.94,950029.44,679248.75,0.0,0.0,0.0
133/322.2713mz/5.58min,458712.03,531342.1,355391.0,0.0,0.0,0.0
134/437.193mz/5.58min,2009082.9,2349523.8,2140853.8,0.0,0.0,0.0
135/300.2896mz/5.58min,23287200.0,25048578.0,17675370.0,0.0,0.0,0.0
136/344.3157mz/5.61min,1565503.1,1719950.9,1235153.4,0.0,0.0,0.0
137/195.1016mz/5.61min,763165.75,753661.0,792258.3,0.0,0.0,0.0
139/347.3347mz/5.65min,972210.75,1045634.9,693086.06,0.0,0.0,0.0
140/346.3313mz/5.66min,4567720.0,4998122.5,4014102.8,0.0,0.0,0.0
141/105.0335mz/5.68min,1846915.0,2467678.5,2597630.5,0.0,0.0,0.0
142/118.0651mz/5.68min,832281.06,1088992.5,1140044.9,0.0,0.0,0.0
143/225.091mz/5.68min,1899133.2,2506728.2,2575933.2,0.0,0.0,0.0
144/279.0991mz/5.68min,15139993.0,19929360.0,20734506.0,0.0,0.0,0.0
145/320.1255mz/5.68min,1905326.9,2570896.2,2744408.2,0.0,0.0,0.0
146/535.2088mz/5.68min,541581.44,869413.3,919714.56,0.0,0.0,0.0
148/211.0754mz/5.68min,1131671.8,1541299.8,1620104.2,0.0,0.0,0.0
149/887.3878mz/5.68min,1196454.2,1040328.06,1421480.6,0.0,0.0,0.0
150/377.1662mz/5.72min,1376944.8,1170561.6,1339226.5,0.0,0.0,0.0
151/399.1482mz/5.73min,3258261.8,2931925.0,3253686.2,0.0,0.0,0.0
152/284.2946mz/5.75min,577704.06,687102.5,558324.5,0.0,0.0,0.0
153/344.3157mz/5.77min,676021.5,770903.5,717970.06,0.0,0.0,0.0
154/314.3051mz/5.79min,476036.06,518330.34,406002.38,0.0,0.0,0.0
155/402.3574mz/5.81min,139989.27,311782.38,359235.12,0.0,0.0,0.0
156/517.2518mz/5.81min,538624.25,740317.6,575078.3,0.0,0.0,0.0
157/339.1118mz/5.83min,547895.56,725215.44,619556.4,0.0,0.0,0.0
158/147.0805mz/5.83min,233216.47,295731.25,255060.53,0.0,0.0,0.0
159/631.3266mz/5.88min,1050586.8,821282.8,1042287.9,0.0,0.0,0.0
160/332.331mz/5.88min,179873.08,678632.56,343547.97,0.0,0.0,0.0
161/330.3364mz/5.89min,1416246.5,1549509.8,1088510.6,0.0,0.0,0.0
162/371.1167mz/5.91min,120014.67,84054.51,121271.25,0.0,0.0,0.0
