"","Filename","POS_TJGI2pt1_EV_gpdA_CTRL_1_Run13.mzML","POS_TJGI2pt1_EV_gpdA_CTRL_2_Run143.mzML","POS_TJGI2pt1_EV_gpdA_CTRL_3_Run194.mzML","POS_TJGIp10_1_Run22.mzML","POS_TJGIp10_2_Run132.mzML","POS_TJGIp10_3_Run209.mzML"
"1","Class","CTRL","CTRL","CTRL","EXP","EXP","EXP"
"84","397/261.1097mz/3.08min","277666.9","928071.8","943931.0","221070.6","161524.16","783009.6"
"85","398/245.1358mz/3.08min","9619871.0","27615982.0","29707324.0","6978667.0","13563946.0","16181541.0"
"86","399/268.2116mz/3.08min","104349.625","498661.44","442106.28","91012.64","328948.56","245180.6"
"87","400/147.1016mz/3.08min","837494.56","825812.9","850057.1","438015.8","375010.94","348774.78"
"88","401/103.0754mz/3.09min","1985031.4","1977390.1","2013739.2","1083398.8","937394.94","867985.06"
"89","402/223.154mz/3.09min","8144471.5","6878766.5","6982858.0","4259126.5","3289417.8","2975613.8"
"90","403/240.1806mz/3.09min","24648038.0","13498619.0","12559696.0","12686885.0","6899472.5","5617494.0"
"91","406/271.115mz/3.1min","293022.4","573502.6","513225.88","438795.44","792480.2","698844.9"
"92","407/186.1125mz/3.09min","294238.56","457625.22","424271.75","385873.88","540075.8","444349.44"
"93","410/434.1911mz/3.11min","87119.43","308808.47","282015.53","483560.28","582239.8","167967.06"
"94","411/225.5817mz/3.11min","98175.75","252727.9","269075.12","213969.02","432077.6","286482.03"
"95","412/412.2092mz/3.1min","990968.3","1444257.4","1360155.8","1891345.1","2211110.0","1296983.9"
"96","414/109.1012mz/3.14min","722184.4","555626.56","648579.4","667207.94","550188.0","497272.28"
"97","416/194.1152mz/3.14min","1266361.2","796221.2","1111965.1","639177.3","633069.1","697728.7"
"98","419/172.1332mz/3.15min","1526660.6","482393.53","765657.7","765271.1","442741.0","399911.06"
"99","423/269.0896mz/3.21min","171044.14","311951.06","287119.0","307175.06","356979.25","275258.6"
"100","425/247.1077mz/3.2min","1016043.75","1403087.2","1328729.1","1617532.5","1596884.0","1253684.8"
