"","filter","POS_TJGI2pt1_EV_gpdA_CTRL_1_Run13.mzML","POS_TJGI2pt1_EV_gpdA_CTRL_2_Run143.mzML","POS_TJGI2pt1_EV_gpdA_CTRL_3_Run194.mzML","POS_TJGIp10_1_Run22.mzML","POS_TJGIp10_2_Run132.mzML","POS_TJGIp10_3_Run209.mzML"
"275/144.1019mz/2.08min",39296.4015,49199.188,15103.947,113513.625,38145.83,12717.105,40446.973
"277/146.1176mz/2.07min",299858,390600.94,258922.44,330650.62,345139.53,268177.78,269065.38
"278/254.1386mz/2.08min",385969.09,492422.66,234368.27,367548.34,560274.8,380056.88,391881.3
"280/170.0812mz/2.1min",255222.72,243944.94,232905.72,329703.4,244080.5,266364.94,297536.62
"281/217.1047mz/2.15min",321642.16,196940.28,436816.16,152408.9,1004301.75,814934,206468.16
"282/379.3357mz/2.09min",858.46826,858.46826,858.46826,4292.3413,858.46826,31309.83,858.46826
"283/102.0914mz/2.13min",680600.3,410428.34,638013.6,950261.06,500247.44,792596.3,723187
"284/232.1543mz/2.1min",1595256,1597093.2,1726145.9,1607168.4,1593418.8,1358492.2,1110284.9
"285/144.1019mz/2.13min",48403.47,49199.188,15103.947,48353.78,49353.92,22194.082,48453.16
"286/184.1696mz/2.15min",134548.67,84380.1,114198.85,240853.03,149627.25,753851.5,119470.09
"287/195.1228mz/2.21min",676790.95,1317170.1,572778.3,580296.6,1473650,773285.3,496584.47
"288/217.1047mz/2.21min",2463514.8,1846940.1,2563310.8,2898801.2,1701844.9,2690790.8,2363718.8
"289/157.0835mz/2.21min",1032030.28,974588.06,870005.56,1089472.5,1169926.2,1175331.1,934574.75
"290/113.0597mz/2.22min",1715966.1,2503632,1780983.4,2031160,1600132,1650948.8,1453377.5
"293/116.0528mz/2.26min",72565.697,14489.091,145005.38,98870.98,15646.527,165253.1,46260.414
"297/146.0601mz/2.34min",1552921,2204377.5,1482783.8,1723027.8,1623058.2,1386238.8,1341954.8
"298/231.1702mz/2.33min",450972.8,385684.44,146836.38,454397.8,708140.3,447547.8,457624.88
"299/187.094mz/2.34min",142653.253,200853.92,737196.5,323563.44,40076.66,84452.586,56563.5
"300/146.1175mz/2.32min",223820.925,124545.61,157340.03,227835.97,219805.88,284898.25,253554.33
"301/157.0835mz/2.37min",2078407.35,923798.56,2504576.2,3144559.5,982500.3,1781068.9,2375745.8
"302/135.1016mz/2.38min",643758.55,1016350.2,607675.2,681281.2,679841.9,501141.12,503811.1
"305/114.0914mz/2.4min",1249210.55,1993567.9,1236144.5,1077517.9,1778580.5,1262276.6,1001946.5
"306/190.0499mz/2.41min",2358258.25,1661454.1,2473106.5,2694924.8,1876981.6,2652991,2243410
"308/793.23mz/2.48min",390444.295,354684.53,426204.06,763245.94,313340.5,893663,169972.9
"310/239.1488mz/2.44min",182425.735,581280.1,188410.78,176440.69,461093.88,175139.36,117894.69
"311/141.0546mz/2.45min",1767232.05,795470.8,1788941.6,2038452.1,1247972,2229375.8,1745522.5
"312/201.1598mz/2.46min",371033.75,409427.22,393281.3,348786.2,238841.81,431467.44,242530.88
"313/386.1273mz/2.54min",110273.595,52520.445,135071.12,46275.547,189538.55,85476.07,262077.28
"314/184.1696mz/2.46min",138316.49,16349.375,136735.1,169272.45,56944.227,189516.33,139897.88
"315/102.0914mz/2.49min",5125563,8724145,4972333.5,5278792.5,3301480.8,6570561,3776070.5
"316/231.1702mz/2.47min",392050.55,53577.383,829159,407211.16,64971.945,444889.6,376889.94
"317/216.123mz/2.52min",447773.69,277727.47,545191,510619.03,407285.47,484343.88,411203.5
"319/246.1699mz/2.55min",1109692.45,1438341,1138450,1080934.9,1208346.1,1069549.8,902927.4
"320/130.1591mz/2.53min",596972.64,3744633,596972.64,596972.64,2984863.2,596972.64,596972.64
"321/245.1859mz/2.59min",57846.807,109859.61,53720.004,27969.926,202475.86,61973.61,5593.9852
"323/225.1097mz/2.54min",525462.66,606725.6,444199.72,291695.22,1415817,734626.5,417941.12
"325/167.1067mz/2.56min",127671.48,266073.72,93345.26,87482.92,558089.75,161997.7,41344.574
"326/793.23mz/2.57min",1740661.85,1574340.8,1778483.9,1933804,2123026.2,1214283.5,1702839.8
"327/771.2481mz/2.57min",1140063.65,1069498.8,1085545.5,1194581.8,1773736,1459154.2,1081982.1
"328/405.1008mz/2.57min",1199909.3,307666.97,1128920.8,1275793.8,825478.8,1317265.8,1270897.8
"329/386.1274mz/2.58min",419020.32,135564.78,405028.8,712930.1,797543.5,281495.72,433011.84
"330/202.1802mz/2.61min",33239.5524,165587.67,55399.254,11079.8508,146831.3,11079.8508,11079.8508
"333/183.1017mz/2.62min",292523.795,601416.9,286962.56,271634.84,1074761,298085.03,201920.4
"335/231.1203mz/2.61min",130703.4375,96936.07,402516.62,450779.06,90761.48,122905.625,138501.25
"337/283.175mz/2.62min",126476.22,291131.97,126411.66,126540.78,251633.47,101880.36,75378.93
"338/245.1859mz/2.65min",201623.36,459128.06,172183.3,202329.83,671479.4,192161.33,200916.89
"339/316.2117mz/2.67min",851060.35,877010.6,794296.56,752257.75,915388.44,941511,825110.1
"341/130.1591mz/2.65min",2926869.5,190852.89,2956908,3751335.8,580121.25,3409734.5,2896831
"342/202.1802mz/2.67min",134103.705,20726.107,132051.69,136155.72,4145.2214,176420.72,143599.16
"345/114.0914mz/2.73min",281816.86,295603.5,246469.36,268298.75,295334.97,296879.78,175845.52
"346/138.055mz/2.73min",1101389.3,610954.8,1080526.8,1130845.6,953345.6,1363724.8,1122251.8
"347/120.0445mz/2.73min",4203984,2459863,4159609,4328539,3839942.8,5090683.5,4248359
"348/245.186mz/2.76min",696512.175,212761.66,700329.1,692695.25,324183.6,753480.2,719643
"349/344.2277mz/2.78min",136057.375,389971.7,135761.78,134993.17,354847.75,136352.97,93420.484
"352/349.1831mz/2.78min",108864.84,64193.684,139148.44,110693.625,107036.055,93660.3,160463.98
"355/317.1706mz/2.85min",1016113.15,387205.53,972389.8,930216.6,2809756.5,2066806.9,1059836.5
"356/339.1525mz/2.85min",1086368.25,243144.8,1079069.4,971326.75,2058811.6,2177334.5,1093667.1
"358/428.2042mz/2.88min",217749.58,117402.266,217620.47,217878.69,336335.84,323314.94,193162.44
"359/233.5793mz/2.95min",122664.345,50584.85,156292.66,119811.04,128721.01,70008.266,125517.65
"360/215.1255mz/2.89min",579629.17,639027.9,615154.44,544103.9,753503.56,537403.2,385106.38
"361/251.1026mz/2.91min",369204.275,167954.45,412783.3,401839.8,318950.44,429545.72,336568.75
"362/388.2539mz/2.92min",148349.39,412532.97,95153.94,147756.88,397001.28,148941.9,103816.33
"363/393.2093mz/2.92min",107694.087,86437.19,35876.863,148759.61,62884.688,128950.984,164537.52
"364/215.1755mz/2.89min",445464.935,790865.06,724120.6,408882.25,292951.03,482047.62,317166.84
"368/170.1176mz/2.95min",692865.6,1143707.8,1003220.3,825454.5,560276.7,235836.14,279381.66
"370/210.1102mz/2.95min",768874.45,1148078.8,1186969.5,918378.4,619370.5,275252.16,309605.3
"371/450.1861mz/2.97min",151598.01,103759.04,147925.05,151173.33,474391.12,417245.66,152022.69
"372/428.2043mz/2.97min",1343514.85,879721.4,1344760.9,1221208,2361804.5,2254768.2,1342268.8
"376/155.0703mz/2.98min",1347849,620197.94,1316972.9,1543103.5,800162.06,1817363.1,1378725.1
"377/434.1912mz/2.99min",110147.38,45307.266,116989.43,103305.33,137160.31,199915,99899.89
"379/412.2093mz/3.0min",206072.64,160273.88,200099.64,181809.34,337364.88,359961.94,212045.64
"382/298.1859mz/3.03min",156127.4425,183997.58,93594.32,81382.84,744394.3,298496.78,128257.305
"383/303.1413mz/3.02min",507628.565,133668.62,368192.66,384830.38,706316.56,1114726.8,630426.75
"384/281.1594mz/3.02min",148935.46,120092.92,106042.24,108479.87,551574.75,332886.16,177778
"386/231.1703mz/3.0min",418879.575,156534.17,412004.12,425755.03,356516.62,454770.88,427265.06
"388/432.2801mz/3.04min",124456.428,359834.03,127074.02,90355.734,362943.9,121838.836,95313.51
"391/210.0737mz/3.05min",588755.6,318936.38,568650.6,608860.6,435877.03,734925.75,732392.5
"392/114.055mz/3.06min",375424.69,372128.5,341927.53,378720.88,382031.9,441345.38,240619.61
"393/142.0863mz/3.06min",596310.725,604984.9,509180.75,562535.3,597529.25,676208.8,595092.2
"394/219.1129mz/3.06min",502956.125,352725.3,559658.94,642998.25,396138.72,497064.03,508848.22
"395/188.0918mz/3.06min",896167.37,932429.5,776665.44,844840,898741.8,1030238,893592.94
"396/249.1595mz/3.08min",287907.455,459464.97,307187.94,260448.42,268626.97,366650.9,237644.25
"397/261.1097mz/3.08min",530338.25,277666.9,928071.8,943931,221070.6,161524.16,783009.6
"398/245.1358mz/3.08min",14872743.5,9619871,27615982,29707324,6978667,13563946,16181541
"399/268.2116mz/3.08min",287064.58,104349.625,498661.44,442106.28,91012.64,328948.56,245180.6
"400/147.1016mz/3.08min",631914.35,837494.56,825812.9,850057.1,438015.8,375010.94,348774.78
"401/103.0754mz/3.09min",1530394.45,1985031.4,1977390.1,2013739.2,1083398.8,937394.94,867985.06
"402/223.154mz/3.09min",5568946.5,8144471.5,6878766.5,6982858,4259126.5,3289417.8,2975613.8
"403/240.1806mz/3.09min",12623290.5,24648038,13498619,12559696,12686885,6899472.5,5617494
"406/271.115mz/3.1min",543364.24,293022.4,573502.6,513225.88,438795.44,792480.2,698844.9
"407/186.1125mz/3.09min",434310.595,294238.56,457625.22,424271.75,385873.88,540075.8,444349.44
"410/434.1911mz/3.11min",295412,87119.43,308808.47,282015.53,483560.28,582239.8,167967.06
"411/225.5817mz/3.11min",260901.51,98175.75,252727.9,269075.12,213969.02,432077.6,286482.03
"412/412.2092mz/3.1min",1402206.6,990968.3,1444257.4,1360155.8,1891345.1,2211110,1296983.9
"414/109.1012mz/3.14min",602102.98,722184.4,555626.56,648579.4,667207.94,550188,497272.28
"416/194.1152mz/3.14min",746974.95,1266361.2,796221.2,1111965.1,639177.3,633069.1,697728.7
"419/172.1332mz/3.15min",623832.315,1526660.6,482393.53,765657.7,765271.1,442741,399911.06
"423/269.0896mz/3.21min",297147.03,171044.14,311951.06,287119,307175.06,356979.25,275258.6
"425/247.1077mz/3.2min",1365908.15,1016043.75,1403087.2,1328729.1,1617532.5,1596884,1253684.8
"427/251.1026mz/3.21min",352818.58,228594.64,358240.1,354817.1,271543.72,365259.72,350820.06
"430/182.0813mz/3.24min",1030808.7,650780.56,1104357.8,1121868.5,826659.25,1152896.8,957259.6
"433/284.2067mz/3.27min",4349474.75,10578400,6193035,5825764.5,2873185,1371077.6,1069418.9
"434/245.1372mz/3.29min",1072347.8,752860.8,1530362,565731.25,1704905.6,1391834.8,324203.2
"435/147.1016mz/3.27min",102060.86,168259.2,243612.02,249738.9,31048.45,35862.52,34978.266
"436/267.1801mz/3.27min",721979.48,1146126.4,1455278.6,1505080,297832.56,274163.56,253201.34
"437/103.0754mz/3.27min",152476.27,243595.92,341012.1,348278.88,60405.816,61356.62,49589.395
"438/289.162mz/3.27min",1979557,2389022.5,8008495.5,9561840,926605.3,1570091.5,1476463
"439/285.1309mz/3.29min",192190.74,114972.98,115287.766,702592.25,262064.66,237451.31,146930.17
"440/146.0601mz/3.27min",366601.05,392434.8,342876.88,386974.22,340148.25,402176.12,346227.88
"441/227.1278mz/3.29min",101659.265,429087.06,79600.82,68105.99,150931.17,120174.02,83144.51
"442/215.1254mz/3.28min",214719.18,61642.508,294998.66,333013.56,102204.98,233594.56,195843.8
"443/200.0974mz/3.3min",257513.14,164366.97,498894.22,583003.25,92561.69,166378.4,348647.88
"444/179.0703mz/3.3min",86826.913,74835.836,71389.79,98817.99,100959.266,64981.473,112839.94
"445/245.1859mz/3.27min",450819.295,248104.22,422889.12,478749.47,415183.5,501906.12,489823.94
"446/87.0441mz/3.3min",1364461.75,2501364,1678397.4,1744242,1050526.1,627910.56,1008855.5
"447/177.1122mz/3.3min",505074.52,1097636.2,573954.1,582042.5,436194.94,214770.83,330664.16
"448/199.0942mz/3.3min",3180818.5,2144506.8,5972365,7008861,1334701.1,2165322,4196315
"449/453.3431mz/3.32min",12574.3132,125037.195,12574.3132,12574.3132,62871.566,12574.3132,12574.3132
"451/267.1569mz/3.33min",50607.73,34221.695,57392.84,54045.84,132984.4,47169.62,39755.566
"452/245.1382mz/3.35min",1335358.75,1470129,1817354.6,1193309.5,404625.16,2746095.5,1200588.5
"453/448.1971mz/3.35min",357780.815,161016.28,158646.98,418328.06,319590.88,395970.75,419561.5
"454/147.0805mz/3.36min",360777.98,198937.72,375875.8,345680.16,434889.8,466188.8,267060.47
"456/165.0911mz/3.36min",128898.32,215334.06,91231.98,134709.86,131725.03,115128.016,126071.61
"458/227.1278mz/3.36min",880285.22,772191.75,784784.44,766933.94,1627971.1,1333463,975786
"459/285.1307mz/3.36min",1842422.9,1314347.8,1620793.2,1560354.9,2585891,2735966,2064052.6
"461/440.3116mz/3.38min",45234.2555,185736.1,142265.66,59036.23,31432.281,6286.4562,6286.4562
"464/265.1413mz/3.4min",118760.8975,98382.516,150580.12,169865.3,96603.01,119078.35,118443.445
"467/462.6739mz/3.42min",771190.2,337960.47,808599.4,808913,520519.72,842122.7,733781
"468/946.323mz/3.43min",312286.61,300704.25,317430.75,307142.47,419034.06,395655.2,297740.03
"472/125.0961mz/3.45min",191491.8,160574.69,172326.6,177306,205677.6,291180,231637.95
"473/155.0598mz/3.45min",285535.345,205837.4,291792.44,279278.25,115339.35,397182.03,374370.5
"474/105.0699mz/3.45min",556200.125,334054.03,554116.75,562311.5,516582.56,576565.3,558283.5
"475/164.1071mz/3.45min",1852879.4,1218127.2,1857517.8,1914666.8,1729379.8,1897722.1,1848241
"476/273.1671mz/3.45min",522076.2,668929.5,544900.06,427806.4,820005.8,499252.34,428298.38
"477/267.1567mz/3.48min",196658.85,239041.02,161550.77,187829.42,205488.28,355302.25,162759.34
"478/230.1176mz/3.46min",288104.4,352051.84,321131.3,282917.1,293291.7,255649.61,247620.78
"480/228.2322mz/3.46min",2299.4385,256864.25,766.4795,766.4795,218189.02,3832.3975,766.4795
"482/207.0629mz/3.49min",816810.7,171686.88,809820.1,883909.2,326997,824746.5,823801.3
"483/185.0809mz/3.48min",1202977.1,1139599.5,1223288.6,1182665.6,1531736,1391404.5,1119803.6
"484/269.1359mz/3.51min",366545.14,360662.34,329812.47,350354.16,1208762.4,423204.62,372427.94
"486/229.1429mz/3.54min",494860.91,508894.6,480827.22,475961.9,2203318.8,2403211,442676.16
"487/455.205mz/3.51min",210120.09,89669.11,178599.3,176930.89,302031.3,265237.28,241640.88
"489/931.3852mz/3.51min",313309.25,94550.625,277593.84,162004.84,499166.62,400413.44,349024.66
"490/877.377mz/3.52min",434950.28,357610.12,472788,381700.44,597354.4,440700.72,429199.84
"491/439.1919mz/3.52min",926490.45,347447.6,1064453,918483.3,758015.4,934497.6,1030711.5
"492/899.359mz/3.52min",1641812.55,1077664.9,1792621.1,1641518.9,1696378.4,1614207.1,1642106.2
"494/179.0703mz/3.53min",534547.93,452340.25,509075.88,687321.75,537190.06,531905.8,712344.56
"495/185.1148mz/3.53min",695753.62,333462.22,703486.3,688020.94,384584.88,704649.25,707411.2
"496/163.1329mz/3.54min",158590.415,395944.34,152160.44,124824.17,310066.8,165020.39,122757.664
"498/267.157mz/3.54min",680410.52,413028.9,670489.6,694031.2,800327.7,690331.44,497296.7
"499/231.1702mz/3.54min",102793.412,733578.94,102793.412,102793.412,513967.06,102793.412,102793.412
"500/245.1361mz/3.56min",29023.248,15530.326,102796.85,225320.52,42516.17,15142.516,7857.935
"501/468.2356mz/3.59min",97020.04,123896.65,80868.07,65353.285,125544.58,110582.04,83458.04
"502/186.1489mz/3.58min",120118.1,447544.22,106979.67,133256.53,282337.56,71573.78,62727.438
"506/938.3568mz/3.6min",193730.15,100872.88,221694.33,176488.86,445745.88,119903.5,210971.44
"507/469.6817mz/3.6min",627945.6,111369.84,683915.5,571975.7,547525.25,850754.25,691731.7
"508/960.3386mz/3.6min",821412.45,146332.86,835839.6,724097.4,806985.3,1018895.7,841295.4
"509/229.1434mz/3.6min",3281472.85,3477090.5,3085855.2,2580493.8,4590080.5,4619781.5,2808960.5
"510/269.1359mz/3.61min",2590937.25,2488001.5,2438870.2,2399549.5,2698811.8,3131419.8,2693873
"511/185.1174mz/3.62min",95231.555,50530.617,117075.38,100252.31,142491.92,90210.8,73162.76
"512/207.0992mz/3.62min",583726.625,165246.81,730313,703473.8,344234.47,589385.25,578068
"513/167.1067mz/3.62min",682178.02,386247.94,719101.4,662354.1,855824.44,702001.94,551669.94
"514/251.164mz/3.62min",2009.28372,73735,669.76124,669.76124,518188.28,3348.8062,669.76124
"516/458.2534mz/3.69min",125831.1925,125949.195,69572.98,114150.62,315679.2,125713.19,171107.4
"517/906.3304mz/3.64min",288414.08,298142.72,332903.62,278685.44,403803.8,174442.97,274307.53
"518/453.6686mz/3.64min",723952.9,307041.66,888870.4,850574.9,535549.9,680875.2,767030.6
"519/928.3123mz/3.64min",1454463.95,999082.5,1772899.4,1647962,1422244.2,1423936.9,1484991
"520/158.1541mz/3.64min",230186.475,43457.778,243084.06,317136.56,43457.778,267374.03,217288.89
"521/159.1169mz/3.65min",267385.495,175806.83,403252.47,420848.94,358964.16,151622.34,145668.31
"523/177.1274mz/3.65min",1675804.2,1161418,1949836.5,2210381.8,1752765.6,1598842.8,1276112.1
"526/151.0467mz/3.66min",301311.33,223005.38,375889.72,400289.5,243783.22,184344.7,358839.44
"529/142.0414mz/3.67min",324694.485,183232.42,456218,501676.2,193170.97,167635.03,461397.44
"530/468.2355mz/3.67min",584697.47,294481.1,607303.5,562091.44,842386.25,816744.75,557695.06
"531/163.0753mz/3.67min",3754550.35,4226938.5,4041869.2,3575648.5,3933452.2,3409858.8,3456669.2
"533/150.0571mz/3.68min",353651.2,150161.69,435836.7,436584.22,215556.22,352021.7,355280.7
"534/461.2967mz/3.74min",258462,628549.1,114994.45,53624.47,1070541.1,230971.3,285952.7
"535/162.0666mz/3.68min",166826.215,66275.2,215037.12,210327.16,89276.41,169322.03,164330.4
"536/161.565mz/3.68min",969025.47,464539.12,1190850.6,1218922.8,597971.3,1008745.44,929305.5
"537/162.0994mz/3.68min",1754228.65,1434094.1,1998962.5,1896994.6,1707950.4,1800506.9,1450046.9
"538/161.0962mz/3.68min",15197962,12557463,17309730,16291437,14730326,15665598,12635011
"540/294.1333mz/3.69min",699171.52,642691.44,509388.03,612502.4,1027519.8,955425.8,755651.6
"541/179.1066mz/3.69min",614999.27,539089.06,647763.6,593730.1,658794,636268.44,479135.5
"545/116.0528mz/3.69min",707339.5,1471848.9,787424.4,943821.56,419356.53,627254.6,561911.75
"546/198.1489mz/3.7min",216324.94,600278.7,276483.94,360183.34,156165.94,61975.016,70148.16
"547/231.1702mz/3.68min",288733.585,12753.0304,272062.2,305404.97,63765.152,378581.53,350315.1
"548/218.028mz/3.7min",1230078.85,698190,1525410.4,2141472,262946,1120180.9,1339976.8
"550/88.0216mz/3.69min",189030.21,415053.3,212226.08,243793.14,112717.766,165834.34,142498.03
"552/374.2646mz/3.75min",85159.695,273068.56,82029.55,16405.91,420754.72,16405.91,88289.84
"554/149.0598mz/3.72min",552707.18,873878.2,567265.56,526388.25,709944.56,491162.47,538148.8
