sample_name	filename	ATTRIBUTE_GROUP
NEG_TJGI15pt3_EV_alcA-Control_1_Run32.mzML	NEG_TJGI15pt3_EV_alcA-Control_1_Run32.mzML	CTRL
NEG_TJGI15pt3_EV_alcA-Control_2_Run115.mzML	NEG_TJGI15pt3_EV_alcA-Control_2_Run115.mzML	CTRL
NEG_TJGI15pt3_EV_alcA-Control_3_Run204.mzML	NEG_TJGI15pt3_EV_alcA-Control_3_Run204.mzML	CTRL
NEG_TJGIp1_1_Run35.mzML	NEG_TJGIp1_1_Run35.mzML	EXP
NEG_TJGIp1_2_Run100.mzML	NEG_TJGIp1_2_Run100.mzML	EXP
NEG_TJGIp1_3_Run186.mzML	NEG_TJGIp1_3_Run186.mzML	EXP
