"","filter","POS_TJGI15pt3_EV_alcA-Control_1_Run31.mzML","POS_TJGI15pt3_EV_alcA-Control_2_Run114.mzML","POS_TJGI15pt3_EV_alcA-Control_3_Run203.mzML","POS_TJGIp1_1_Run34.mzML","POS_TJGIp1_2_Run99.mzML","POS_TJGIp1_3_Run185.mzML"
"235/254.1385mz/2.09min",314536.73,286896.9,349850.28,457142.88,296280.84,332792.62,287757.03
"236/232.1543mz/2.1min",3532632.6,2754381,2901140.5,3614448,4852277.5,3760525,3450817.2
"237/242.0998mz/2.11min",789538.03,677451.94,679867.8,832747.56,1217413.6,952291.56,746328.5
"238/220.118mz/2.11min",2719070.15,2242184.8,2411842.5,2951196.8,3186765.2,2923871.8,2514268.5
"239/184.1697mz/2.16min",480513.7,712975.9,356551.06,556374.6,735705.2,404652.8,199260.95
"240/102.0914mz/2.14min",335101.43,537449.56,148235.6,496745.84,118573.164,684496,173457.02
"243/185.0785mz/2.16min",1330556.4,1107766.2,1033045.75,1262392.4,1466540.2,1451806.4,1398720.4
"244/195.1228mz/2.21min",340949.15,463643.88,305555.2,170739.58,520585.44,376343.1,222738.2
"245/205.0973mz/2.2min",1198971.6,876230.3,1074487.6,1723674,1141502.4,1288450.4,1256440.8
"246/188.0706mz/2.2min",1647247.3,1326572.4,1438303.2,2124009,1718116.2,1646846.6,1647648
"247/171.1129mz/2.2min",950770.1,528298.44,970361.6,1228321.2,664668.3,1166104.4,931178.6
"249/217.1047mz/2.21min",996761.405,554829.8,959562.75,1301841.9,1033960.06,909262.4,1123607.4
"250/113.0597mz/2.21min",795482.025,893760.75,697203.3,1426653.4,1102874.9,201929.27,398508.6
"251/245.1495mz/2.25min",137221.33,122205.57,126782.38,200704.08,199060.14,147660.28,105340.02
"252/231.1703mz/2.26min",975752.75,793100.2,1004926.06,1261099.6,571052.94,1069925.6,946579.44
"254/218.1388mz/2.31min",81608.95,48757.566,70590.52,117688.516,68651.664,92627.38,97166.43
"255/220.1193mz/2.3min",107788.1175,112269.79,101928.87,124975.46,124767.62,103306.445,73721.74
"256/152.0707mz/2.34min",247241.43,196566.61,177837.22,283627.88,270427.75,290874.1,224055.11
"257/146.1176mz/2.34min",792840.92,455557.75,729743.5,909392.75,780021.4,889426.2,805660.44
"258/146.0601mz/2.35min",1377572.05,1554936.9,1747175.2,2389945,1200207.2,1138085.5,1054712.9
"259/147.0634mz/2.35min",106531.205,123318.22,132523.7,160374.4,89744.19,59974.164,67429.875
"260/116.0706mz/2.35min",443243.175,299333.34,343098.7,413963.75,497956.03,643947.8,472522.6
"261/229.1548mz/2.36min",5670528,4147545.2,4032922,5123532,7003067,6658493,6217524
"262/418.197mz/2.38min",305255.19,427989.28,235525.22,238514.33,570326.25,325890.44,284619.94
"264/114.0914mz/2.4min",970236.25,939661.3,955204.2,985268.3,1696222.6,1040456.7,823275.8
"265/162.055mz/2.4min",211685.355,214215.27,318521.78,369851.12,178257.38,209155.44,199541.17
