"","Filename","POS_TJGI15pt3_EV_alcA-Control_1_Run31.mzML","POS_TJGI15pt3_EV_alcA-Control_2_Run114.mzML","POS_TJGI15pt3_EV_alcA-Control_3_Run203.mzML","POS_TJGIp1_1_Run34.mzML","POS_TJGIp1_2_Run99.mzML","POS_TJGIp1_3_Run185.mzML"
"1","Class","CTRL","CTRL","CTRL","EXP","EXP","EXP"
"70","332/428.2042mz/2.89min","211048.27","236080.45","279174.9","292778.72","298424.6","263892.03"
"71","334/215.1255mz/2.89min","78902.56","57758.773","86159.54","121426.68","77062.65","69104.36"
"72","335/230.1176mz/2.89min","95924.98","81024.336","105934.67","146127.14","105791.57","106227.195"
"73","336/279.1702mz/2.92min","377790.5","431435.4","574831.5","455831.72","434331.88","451044.34"
"74","337/86.0965mz/2.91min","87635.8","179674.0","292852.06","35635.445","490220.0","228826.92"
"75","338/246.17mz/2.93min","240021.83","212303.0","249596.8","230106.42","171600.84","187962.77"
"76","339/283.1651mz/2.95min","142144.17","175081.83","174663.06","181051.47","171355.72","152795.27"
"77","341/170.1176mz/2.95min","750451.94","557789.2","680004.7","721382.3","584944.94","504322.8"
"78","343/210.1102mz/2.95min","904892.6","706316.8","764984.4","782864.2","673594.06","639201.44"
"79","344/245.1496mz/2.96min","246249.69","263647.28","346118.72","287722.94","209524.2","211104.94"
"80","345/428.2042mz/2.97min","317894.88","394780.6","420011.75","533996.75","476469.75","460276.44"
"81","346/120.0808mz/2.98min","81635.09","191292.38","163887.17","96341.89","211818.4","141682.19"
"82","347/215.1391mz/2.98min","664894.3","675793.2","931492.75","820232.0","774909.4","706934.3"
"83","348/114.1278mz/3.0min","320039.28","293490.0","279717.56","642644.4","432870.8","327496.66"
"84","350/158.154mz/3.01min","189229.38","178150.61","222035.4","393951.44","281989.97","233336.69"
"85","351/412.2093mz/3.01min","227448.27","196639.39","146660.52","334794.66","284568.84","260256.42"
"86","352/120.0656mz/3.0min","375955.56","212665.36","343337.8","151193.45","218240.78","195460.92"
"87","353/104.107mz/2.97min","142976.45","128630.82","132854.89","186867.9","14810.271","437051.94"
"88","354/223.1078mz/3.02min","477684.3","245337.95","260100.56","71832.03","45763.88","14641.232"
"89","355/231.1704mz/3.01min","822237.9","906932.2","1115824.0","1092411.9","1012042.0","987655.5"
"90","356/279.1702mz/3.03min","414940.12","472259.16","622938.9","499902.1","499499.9","501926.28"
"91","359/246.17mz/3.02min","498422.66","429320.0","560866.56","651320.7","540818.94","516806.34"
"92","360/247.1732mz/3.02min","41528.9","33684.168","48585.527","56419.844","45472.14","43446.38"
"93","361/457.1855mz/3.04min","943753.06","0.0","112368.81","0.0","0.0","0.0"
"94","363/211.1442mz/3.05min","344507.12","1184326.4","1055923.8","455047.6","1332461.6","790408.1"
"95","366/120.0445mz/3.05min","319076.8","380423.9","503610.78","301011.44","293430.78","312256.94"
"96","367/148.0394mz/3.05min","390358.6","505776.2","640296.5","352741.28","387372.72","397051.94"
"97","368/191.1042mz/3.05min","101917.43","74375.945","72643.016","158113.48","115399.55","74184.93"
"98","370/289.1756mz/3.06min","1121300.0","769253.3","1195571.6","890353.3","571892.8","699750.0"
"99","371/223.1541mz/3.09min","395795.88","402695.94","585763.9","558951.8","396874.12","317245.66"
"100","372/240.1805mz/3.09min","1230443.5","1005302.6","1210909.4","1739342.6","1048859.8","687447.5"
