#SampleID	BarcodeSequence	LinkerPrimerSequence	filename	ATTRIBUTE_GNPSDefaultGroup
2024_POS_Y-p10_1_Run103.mzML	GATACA	GATACA	2024_POS_Y-p10_1_Run103.mzML	G1
2024_POS_Y-p10_2_Run129.mzML	GATACA	GATACA	2024_POS_Y-p10_2_Run129.mzML	G1
2024_POS_Y-p10_3_Run144.mzML	GATACA	GATACA	2024_POS_Y-p10_3_Run144.mzML	G1
2024_POS_Y-EV_1_CTRL_Run88.mzML	GATACA	GATACA	2024_POS_Y-EV_1_CTRL_Run88.mzML	G2
2024_POS_Y-EV_2_CTRL_Run117.mzML	GATACA	GATACA	2024_POS_Y-EV_2_CTRL_Run117.mzML	G2
2024_POS_Y-EV_3_CTRL_Run138.mzML	GATACA	GATACA	2024_POS_Y-EV_3_CTRL_Run138.mzML	G2
POS_TJGIp1_1_Run34.mzML	GATACA	GATACA	POS_TJGIp1_1_Run34.mzML	G3
POS_TJGIp1_2_Run99.mzML	GATACA	GATACA	POS_TJGIp1_2_Run99.mzML	G3
POS_TJGIp1_3_Run185.mzML	GATACA	GATACA	POS_TJGIp1_3_Run185.mzML	G3
POS_TJGI15pt3_EV_alcA-Control_1_Run31.mzML	GATACA	GATACA	POS_TJGI15pt3_EV_alcA-Control_1_Run31.mzML	G4
POS_TJGI15pt3_EV_alcA-Control_2_Run114.mzML	GATACA	GATACA	POS_TJGI15pt3_EV_alcA-Control_2_Run114.mzML	G4
POS_TJGI15pt3_EV_alcA-Control_3_Run203.mzML	GATACA	GATACA	POS_TJGI15pt3_EV_alcA-Control_3_Run203.mzML	G4
POS_TJGIp7_1_Run16.mzML	GATACA	GATACA	POS_TJGIp7_1_Run16.mzML	G5
POS_TJGIp7_2_Run140.mzML	GATACA	GATACA	POS_TJGIp7_2_Run140.mzML	G5
POS_TJGIp7_3_Run155.mzML	GATACA	GATACA	POS_TJGIp7_3_Run155.mzML	G5
POS_TJGI2pt1_EV_gpdA_CTRL_3_Run194.mzML	GATACA	GATACA	POS_TJGI2pt1_EV_gpdA_CTRL_3_Run194.mzML	G6
POS_TJGI2pt1_EV_gpdA_CTRL_2_Run143.mzML	GATACA	GATACA	POS_TJGI2pt1_EV_gpdA_CTRL_2_Run143.mzML	G6
POS_TJGI2pt1_EV_gpdA_CTRL_1_Run13.mzML	GATACA	GATACA	POS_TJGI2pt1_EV_gpdA_CTRL_1_Run13.mzML	G6
