row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,2024_NEG_Y-p11_1_Run98.mzML Peak area,2024_NEG_Y-p11_3_Run151.mzML Peak area,2024_NEG_Y-EV_1_CTRL_Run89.mzML Peak area,2024_NEG_Y-p11_2_Run127.mzML Peak area,2024_NEG_Y-EV_2_CTRL_Run118.mzML Peak area,2024_NEG_Y-EV_3_CTRL_Run139.mzML Peak area,
131,378.1338290912932,2.1022654,,,,,,,,,,,1225354.0,1408806.8,1795059.2,1473481.2,1754215.5,2076771.2,
431,381.17358390622775,7.94076,,,,,,,,,,,11785.171,123335.87,493932.72,66513.76,58877.254,60497.83,
99,387.1142203050479,0.69565505,,,,,,,,,,,1566450.5,3491099.5,1470415.9,1.2124879E7,4713290.5,2949656.8,
17,387.11423673567475,0.3617135,,,,31,,,,,,,5630438.0,7430143.5,1.0821309E7,8063014.5,8429544.0,6253991.0,
116,387.11424840807666,0.86292785,,,,,,,,,,,1.2453151E7,1.139504E7,2.3304308E7,4382530.0,2.233192E7,1.3833697E7,
108,388.1175959266263,0.77338004,,,,,,,,,,,1576360.2,492916.97,559575.3,654392.94,215814.05,214671.81,
114,388.1176064897986,0.8288767,,,,,,,,,,,106267.17,1648405.1,2872100.8,2257451.0,3276416.2,538163.25,
168,389.15636614750497,2.9470263,,,,,,,,,,,727936.4,627568.4,591402.8,575611.5,636973.7,1668351.4,
62,390.03592480795646,0.5113018,,,,46,,,,,,,1590074.1,1777942.4,1556044.0,1504242.4,1433435.2,1280425.8,
44,390.03592714406153,0.38835585,,,,4,,,,,,,999635.5,939712.94,756578.3,931451.7,796781.9,564635.1,
63,391.0322055013021,0.5125753,,,,46,,,,,,,7536548.0,6851879.0,6918032.0,5173803.0,7304544.0,5160618.5,
45,391.0322343874921,0.38835815,,,,4,,,,,,,3832874.0,3710685.2,3009436.8,3823130.5,3230783.8,2363972.0,
