"","filter","NEG_TJGI15pt3_EV_alcA-Control_1_Run32.mzML","NEG_TJGI15pt3_EV_alcA-Control_2_Run115.mzML","NEG_TJGI15pt3_EV_alcA-Control_3_Run204.mzML","NEG_TJGIp3_1_Run41.mzML","NEG_TJGIp3_2_Run127.mzML","NEG_TJGIp3_3_Run165.mzML"
"78/218.1033mz/2.11min",2107498.65,1986247.5,2228749.8,2710956,1977195.9,1755513.2,2245025.8
"79/145.0506mz/2.14min",1004916.48,1106338.2,1026941.06,1326368.9,789837,779420.4,982891.9
"80/118.051mz/2.24min",136644.9125,11282.7312,390735.03,151663.38,150910.52,56413.656,122379.305
"84/158.0822mz/2.37min",290083.77,233479.2,274345.84,332609.88,305821.7,269430.84,342602.72
"85/194.0458mz/2.39min",1912854.8,1609258.8,1813843.2,2139740,2011866.4,1803289.1,2265369.5
"86/144.0454mz/2.4min",1240004.75,1157537.1,1319045.4,1455662.1,1327828.5,953533.1,1160964.1
"87/188.0353mz/2.4min",1932591.85,1692900.9,2059580,2387149.5,1981499.6,1523954.5,1883684.1
"88/136.0404mz/2.41min",795729.88,818329.06,652536.8,773130.7,898225.6,734524.75,877796.56
"89/175.0612mz/2.43min",1433335.05,1486586.5,1411843,1914304.5,1287085.5,938487.06,1454827.1
"90/139.0401mz/2.46min",627489.52,592632.4,642751.44,742142.7,612227.6,516565.78,681847.7
"92/118.051mz/2.5min",160452.34,29661.64,149009.9,148308.2,183305.2,590579.56,171894.78
"93/146.9659mz/2.54min",98877.2215,176466.69,11680.3446,11680.3446,144367.25,139352.72,58401.723
"94/172.098mz/2.55min",24846.095,30476.516,38202.93,54200.137,751.90806,3759.5403,19215.674
"95/130.0873mz/2.57min",56639.842,38307.04,150833.4,172575.66,49667.176,54117.68,59162.004
"96/228.0878mz/2.57min",337405.57,753315.44,417336.62,498275.94,257474.52,189925.73,227831.44
"97/121.0295mz/2.57min",829196.8,638061.44,818958.6,839435,843145.2,654775.06,850663.06
"98/159.0663mz/2.61min",310244.4,332953.25,320898,393009.72,299590.8,245031.77,281602.75
"99/178.051mz/2.62min",581394.845,622003.2,602802.94,712450.5,559986.75,450144.25,558486.94
"100/158.0822mz/2.73min",932895.2,816245.3,1053163,1315479.2,913943.3,763867.9,951847.1
"101/136.0404mz/2.73min",131220.13,66161.14,129846.07,167205.69,140101.33,67812.51,132594.19
"102/107.0503mz/2.76min",570291.5,595567.7,649416.2,798886.56,545015.3,385297.7,501406.34
"103/151.04mz/2.76min",406501.27,427729.84,478197.75,596941.2,385272.7,286460.8,372649.9
"104/131.0713mz/2.78min",4504123.75,4101108.8,3590300.8,4442848,6943414.5,4565399.5,5951127.5
