"","Filename","NEG_TJGI15pt3_EV_alcA-Control_1_Run32.mzML","NEG_TJGI15pt3_EV_alcA-Control_2_Run115.mzML","NEG_TJGI15pt3_EV_alcA-Control_3_Run204.mzML","NEG_TJGIp3_1_Run41.mzML","NEG_TJGIp3_2_Run127.mzML","NEG_TJGIp3_3_Run165.mzML"
"1","Class","CTRL","CTRL","CTRL","EXP","EXP","EXP"
"2","78/218.1033mz/2.11min","1986247.5","2228749.8","2710956.0","1977195.9","1755513.2","2245025.8"
"3","79/145.0506mz/2.14min","1106338.2","1026941.06","1326368.9","789837.0","779420.4","982891.9"
"4","80/118.051mz/2.24min","0.0","390735.03","151663.38","150910.52","56413.656","122379.305"
"5","84/158.0822mz/2.37min","233479.2","274345.84","332609.88","305821.7","269430.84","342602.72"
"6","85/194.0458mz/2.39min","1609258.8","1813843.2","2139740.0","2011866.4","1803289.1","2265369.5"
"7","86/144.0454mz/2.4min","1157537.1","1319045.4","1455662.1","1327828.5","953533.1","1160964.1"
"8","87/188.0353mz/2.4min","1692900.9","2059580.0","2387149.5","1981499.6","1523954.5","1883684.1"
"9","88/136.0404mz/2.41min","818329.06","652536.8","773130.7","898225.6","734524.75","877796.56"
"10","89/175.0612mz/2.43min","1486586.5","1411843.0","1914304.5","1287085.5","938487.06","1454827.1"
"11","90/139.0401mz/2.46min","592632.4","642751.44","742142.7","612227.6","516565.78","681847.7"
"12","92/118.051mz/2.5min","0.0","149009.9","148308.2","183305.2","590579.56","171894.78"
"13","93/146.9659mz/2.54min","176466.69","0.0","0.0","144367.25","139352.72","58401.723"
"14","94/172.098mz/2.55min","30476.516","38202.93","54200.137","0.0","3759.5403","19215.674"
"15","95/130.0873mz/2.57min","38307.04","150833.4","172575.66","49667.176","54117.68","59162.004"
"16","96/228.0878mz/2.57min","753315.44","417336.62","498275.94","257474.52","189925.73","227831.44"
"17","97/121.0295mz/2.57min","638061.44","818958.6","839435.0","843145.2","654775.06","850663.06"
"18","98/159.0663mz/2.61min","332953.25","320898.0","393009.72","299590.8","245031.77","281602.75"
"19","99/178.051mz/2.62min","622003.2","602802.94","712450.5","559986.75","450144.25","558486.94"
"20","100/158.0822mz/2.73min","816245.3","1053163.0","1315479.2","913943.3","763867.9","951847.1"
"21","101/136.0404mz/2.73min","66161.14","129846.07","167205.69","140101.33","67812.51","132594.19"
"22","102/107.0503mz/2.76min","595567.7","649416.2","798886.56","545015.3","385297.7","501406.34"
"23","103/151.04mz/2.76min","427729.84","478197.75","596941.2","385272.7","286460.8","372649.9"
"24","104/131.0713mz/2.78min","4101108.8","3590300.8","4442848.0","6943414.5","4565399.5","5951127.5"
"25","105/188.0353mz/2.78min","74767.61","74520.31","97247.41","31940.744","33636.44","43587.29"
"26","106/457.1869mz/2.8min","540976.44","0.0","5248.1226","0.0","0.0","0.0"
"27","107/501.1766mz/2.8min","2235403.5","24619.193","96303.375","115841.914","0.0","0.0"
"28","108/158.0822mz/2.81min","827401.56","1078931.0","1284084.1","977795.56","813722.1","970063.6"
"29","109/293.1143mz/2.85min","146973.92","104458.57","126393.85","394918.72","367462.0","437847.97"
"30","110/159.0663mz/2.87min","627582.8","531884.5","655401.25","655586.2","475454.94","613854.94"
"31","111/426.1899mz/2.92min","140842.95","245380.86","272410.38","132187.55","205866.28","197556.42"
"32","112/185.0819mz/2.89min","56959.445","47552.36","54623.066","7406.5254","7133.0303","19307.85"
"33","113/172.098mz/2.91min","1627517.1","1472463.9","1040718.06","1681184.2","744552.94","917610.8"
"34","114/130.0873mz/2.91min","166496.08","202936.02","204167.9","99513.78","151621.92","101225.74"
"35","115/118.051mz/2.9min","117083.08","282126.3","42014.984","70534.26","70952.91","65723.8"
"36","116/186.1136mz/2.95min","1179859.0","924461.06","1100495.5","619072.9","556669.2","609602.25"
