"MetaboAnalyst_ID","X2024_NEG_Anid.EV.SA.OA_CTRL_1_Run174.mzML","X2024_NEG_Anid.EV.SA.OA_CTRL_2_Run218.mzML","X2024_NEG_Anid.EV.SA.OA_CTRL_3_Run245.mzML","X2024_NEG_Anid.SA.OA_1_Run171.mzML","X2024_NEG_Anid.SA.OA_2_Run192.mzML","X2024_NEG_Anid.SA.OA_3_Run236.mzML","shared_name"
"1790/211.1339mz/5.58min",1.59773660146369,1.52094067956727,1.55762281548125,2.92901728856612,2.52821310868393,2.33002033105394,"1790"
"1797/466.187mz/5.59min",1.78847795741536,1.82552881258229,1.70241215007131,0.988529492015283,1.96340793373911,2.01408522067596,"1797"
"1801/499.2086mz/5.61min",1.90484847414233,1.89727543135681,1.40197164219467,0.688089963375934,1.74372663618491,1.87889583577341,"1801"
"1802/436.2128mz/5.61min",2.47903730499269,2.50920131510179,2.04360606001422,0.548570884044765,2.43296088068434,2.5173766723758,"1802"
"1805/345.0316mz/5.61min",1.57400804796657,1.96311446943366,1.3883456225422,1.73638557890987,1.71701017047993,1.90224439528724,"1805"
"1808/534.2723mz/5.62min",2.45197048858866,2.2790099717527,2.22429837776957,2.38169993577677,2.27295347200381,2.43187808529763,"1808"
"1811/518.1669mz/5.62min",1.96184330140984,2.0581467446586,1.11419347338143,2.32974210037146,0.761189729260078,1.01216289662056,"1811"
"1812/367.2487mz/5.62min",1.7636047632087,1.65038665824313,1.67543614540311,2.46502628283543,1.34269531983199,1.4490912166303,"1812"
"1815/643.3676mz/5.63min",1.62500614775803,1.40360137889583,1.39677795328765,2.2756780005771,1.89640522865874,1.93995025925409,"1815"
"1817/524.2292mz/5.63min",1.67688210578758,1.4807469337669,1.66069166259052,0.803546851004229,2.2913531164817,1.90428657580118,"1817"
"1819/482.2185mz/5.63min",2.00490621295576,2.16499709490224,1.87668837248601,1.16280553365323,2.7489623742014,2.24095874574285,"1819"
"1822/313.2385mz/5.65min",2.40474336844865,2.46808196049394,2.237672662621,1.92389330291775,2.13680555128853,2.17187579527733,"1822"
"1827/471.2023mz/5.63min",0.706980802281015,1.41228164899583,0.0501130259287486,2.31673533017639,2.23365742232214,2.2640675269882,"1827"
"1831/256.1919mz/5.67min",1.65421280516223,1.67737630607005,1.35997410696556,1.96723720381618,1.78885156886261,1.8472619616908,"1831"
"1833/510.2134mz/5.68min",1.78194627603639,1.46620388334901,2.0665967445323,0.789003853396719,2.23358958090148,2.16312195068924,"1833"
"1843/295.1187mz/5.74min",1.37249379271385,1.29569788672248,1.33238001433756,3.12171155161418,2.21516371374658,2.1047774861022,"1843"
"1852/530.2771mz/5.72min",2.08821438315485,1.95872100522633,1.86162483249222,2.01341171426841,1.90453511746543,2.04703123260158,"1852"
"1855/576.2829mz/5.73min",2.0719336775148,1.97130295906067,1.87586138369934,1.98578565565485,1.97731430050438,2.00643604837752,"1855"
"1862/262.0872mz/5.75min",1.98147411192111,1.61336513999756,1.64146035964792,1.80536374438796,1.74761169851061,1.19705912062588,"1862"
"1863/265.1479mz/5.81min",2.35866925377443,1.58290334022698,3.99444760288839,1.60467249727688,3.81432009909071,2.45936990373727,"1863"
"1866/507.1661mz/5.75min",1.39611431229292,1.31931840376227,1.35600053270229,2.57493833259903,2.0947176597945,2.128398011461,"1866"
"1869/956.507mz/5.76min",2.89300692270368,2.56486104321678,2.12557602936956,1.41169309038288,2.56885594841228,2.91494403651161,"1869"
"1870/285.0899mz/5.75min",1.50656836721712,1.42977244987624,1.46645458341324,2.150511570373,2.39151818757804,2.49704710108056,"1870"
"1878/377.0253mz/5.77min",2.39241275412821,2.31561682372491,2.35229896407759,3.12392181141607,3.03801333381916,3.21603337420919,"1878"
"1883/452.072mz/5.78min",1.89223967883567,1.99164570899704,1.71686361691061,1.87411604671832,1.53647124966934,1.59983510282077,"1883"
"1885/371.0657mz/5.77min",2.09659754960017,2.17470683734735,1.92727767297285,2.16642505006405,1.92106682123635,1.81906053747299,"1885"
"1895/638.3313mz/5.81min",1.84696964891318,1.79376699993607,1.81812324956312,1.87594965258329,1.81535750688612,2.08779386685968,"1895"
"1899/415.2488mz/5.82min",2.75214135547235,2.98967956507588,2.28746834185664,3.55755854268826,2.2503713707435,2.62509833339319,"1899"
"1905/503.3087mz/5.82min",1.37574850363367,1.43428939195309,1.3270400826187,2.58021554508254,1.77686855557771,1.99450258607172,"1905"
"1906/480.2027mz/5.83min",2.09425562382729,1.97718264012074,2.30266064153418,1.2999818724407,2.33665425860001,2.21257563437598,"1906"
"1907/514.1872mz/5.83min",1.82840545062048,1.66008999526623,2.01418885625605,0.982889483900003,1.97246199362568,1.96977020270478,"1907"
"1910/429.2645mz/5.84min",2.38515257110395,2.61124461682275,1.8364964546083,2.99116506423318,1.98123448574451,2.14268568388754,"1910"
"1911/479.1711mz/5.84min",1.29050962479231,1.21371373010199,1.25039585182043,2.77902258217561,1.97981822857717,2.02279329245801,"1911"
"1913/265.1479mz/5.86min",2.5703998364474,2.644491213358,1.42202975318484,2.54746279767007,3.90948900079013,2.91316048031309,"1913"
"1915/595.2892mz/5.89min",2.44504050284791,2.67364349912289,2.32288312575536,0.365456996688657,2.25257503205269,2.32133789131492,"1915"
"1922/215.1652mz/5.88min",2.25654663971437,1.90526404255637,2.10907505304019,2.2684498027439,2.13523331497958,2.11442960425208,"1922"
"1923/501.3909mz/5.88min",2.15923245513008,2.04849716540165,2.10754012043807,2.13365383814129,2.0621207079567,2.08938089958373,"1923"
"1932/638.3313mz/5.89min",2.30800013251788,2.49629652578901,1.88141658850532,2.40333160252311,1.60247204404719,2.23346692128319,"1932"
"1933/491.2664mz/5.91min",2.39807889316528,2.24950032017093,2.26315364806904,2.37751431458429,2.28684123067726,2.4131664656172,"1933"
"1935/537.2719mz/5.91min",2.22263631986059,2.12151572293455,2.09065944540887,2.15862664105914,2.17661653588675,2.28656190649151,"1935"
"1939/520.2682mz/5.92min",2.00657479271815,2.24016527360779,1.85907895178657,1.98223965698851,2.01106004255469,2.084851265909,"1939"
"1941/377.0253mz/5.93min",2.16003989239972,2.08324396242702,2.11992610255502,2.91206531097582,2.80564047112765,3.04447268285361,"1941"
"1942/297.153mz/5.91min",2.16515545151783,2.20332949026132,1.71519605286159,2.23371194970914,1.96662255274362,2.23507140761121,"1942"
