"","filter","2024_NEG_Anid-EV-SA-OA_CTRL_1_Run174.mzML","2024_NEG_Anid-EV-SA-OA_CTRL_2_Run218.mzML","2024_NEG_Anid-EV-SA-OA_CTRL_3_Run245.mzML","2024_NEG_Anid-SA-OA_1_Run171.mzML","2024_NEG_Anid-SA-OA_2_Run192.mzML","2024_NEG_Anid-SA-OA_3_Run236.mzML"
"65/158.0822mz/2.03min",482725,500899.88,633377.44,1368861.6,464550.12,366682.3,413521.25
"66/259.1299mz/2.03min",562043.34,1185901.2,1060308.2,109044.09,720207.4,248904.61,403879.28
"67/217.0718mz/2.04min",311735.73,325328,319955.8,303515.66,911837.4,206100.56,272782.06
"70/287.0521mz/2.07min",701941.815,520806.03,1471942,312153.75,446251.7,883077.6,904441.1
"71/224.0564mz/2.07min",2072604,2246162,3941616.5,1492447.1,1883672.1,2041740.5,2103467.5
"73/129.0557mz/2.08min",182613.865,175410.34,263743.28,40268.457,224197.97,24898.61,189817.39
"75/231.0985mz/2.1min",274366.425,669858.25,815100.8,268181.97,280550.88,133409.78,167804.25
"76/220.0649mz/2.09min",2364004.65,2492483.5,3202291.8,1824628,3014395.2,2235525.8,1956272.5
"77/149.0278mz/2.1min",645900.44,689850.94,806393.75,581340.25,1267203.5,572400.6,601949.94
"78/163.9861mz/2.12min",5338453.5,5317767.5,5073853.5,4346139.5,6530354,5416347,5359139.5
"79/117.0558mz/2.12min",1236728.45,1422908.2,1073013.4,3193668.8,1400443.5,793328.06,790726.44
"81/167.035mz/2.15min",1604226.5,3551862.8,1792669.4,706875.25,1538947.1,973581.2,1669505.9
"84/218.1034mz/2.18min",2048880.9,2072500.8,2025261,2224940.8,2415444.5,1662724,1455662.4
"86/197.0455mz/2.2min",579849.3,552624.4,388235.94,994565.8,711368.3,592110.6,567588
"87/293.0667mz/2.21min",404829.61,382106.44,278729.4,544117,900349.25,272756.47,427552.78
"88/175.0611mz/2.21min",290639.31,193080.16,371592.66,287911.56,293367.06,378987.94,248623.2
"89/145.0506mz/2.21min",1891067.65,3415575.8,3208633.2,1757513.5,1984164.2,1181187.8,1797971.1
"90/199.0613mz/2.23min",84409.385,61003.23,157124.08,85023.85,292711.3,83794.92,45921.16
"91/287.1249mz/2.26min",513010.17,525799.44,734951.5,500220.9,612754.3,178138.06,434973.28
"92/125.0245mz/2.26min",2085210.55,4236392.5,2699467.2,486300.66,3432505,957179.25,1470953.9
"93/181.0507mz/2.27min",464379.45,502010.8,362468.4,1057356.4,673779.7,426748.1,344034.94
"94/131.0714mz/2.3min",226801.35,491348.1,270174,162428.16,407767.2,97510.53,183428.7
