"","Filename","2024_NEG_Anid-EV-SA-OA_CTRL_1_Run174.mzML","2024_NEG_Anid-EV-SA-OA_CTRL_2_Run218.mzML","2024_NEG_Anid-EV-SA-OA_CTRL_3_Run245.mzML","2024_NEG_Anid-SA-OA_1_Run171.mzML","2024_NEG_Anid-SA-OA_2_Run192.mzML","2024_NEG_Anid-SA-OA_3_Run236.mzML"
"1","Class","CTRL","CTRL","CTRL","EXP","EXP","EXP"
"86","185/95.0502mz/2.52min","579127.94","431861.3","428528.2","914699.75","493108.28","509885.5"
"87","186/176.0645mz/2.53min","658644.8","510358.66","2635900.2","510552.53","345044.1","345017.84"
"88","187/260.0388mz/2.52min","104266.24","40477.73","330926.66","107892.52","62999.54","79401.664"
"89","188/373.1114mz/2.52min","18460.537","18359.377","510442.5","11858.529","0.0","0.0"
"90","190/157.0506mz/2.53min","184624.62","200980.45","270673.72","175305.34","140988.84","138402.83"
"91","191/153.0193mz/2.54min","355864.2","1110048.1","327690.7","199898.6","366110.38","370211.06"
"92","192/261.0881mz/2.54min","171018.5","237322.47","0.0","686455.5","181848.44","260962.2"
"93","193/303.1562mz/2.54min","1366288.5","1223329.8","752666.75","2213187.2","631324.4","933877.6"
"94","194/203.0462mz/2.54min","0.0","0.0","731504.75","0.0","0.0","0.0"
"95","196/309.119mz/2.56min","442850.62","49524.727","1669333.8","312163.7","98971.3","192491.47"
"96","198/285.1456mz/2.55min","780384.8","980886.7","1490002.8","2302218.8","1246041.1","1080243.1"
"97","199/477.209mz/2.56min","247550.25","177305.1","979995.8","225519.88","139255.86","121443.5"
"98","200/560.2461mz/2.57min","778776.94","619357.25","234328.44","192239.77","199560.84","181334.94"
"99","201/587.2935mz/2.56min","428108.3","563067.4","629490.3","1167215.8","414230.6","424687.34"
"100","203/303.1457mz/2.57min","1006800.0","878003.4","604178.75","878607.06","590479.8","639485.44"
