Filename,2024_NEG_Anid-EV-alcA_CTRL_1_Run177.mzML,2024_NEG_Anid-EV-alcA_CTRL_2_Run198.mzML,2024_NEG_Anid-EV-alcA_CTRL_3_Run230.mzML,2024_NEG_Anid-p2_1_Run180.mzML,2024_NEG_Anid-p2_2_Run221.mzML,2024_NEG_Anid-p2_3_Run242.mzML
Class,CTRL,CTRL,CTRL,EXP,EXP,EXP
152/244.0826mz/2.02min,2577503.5,3731052.5,2667412.5,1966925.2,2540869.2,1603398.9
153/158.0822mz/2.03min,259831.66,302934.16,7906600.5,3144657.8,631037.25,4615123.0
155/345.13mz/2.04min,362393.1,508853.12,113857.02,232438.94,149931.36,182843.84
158/327.1199mz/2.05min,84226.414,87101.0,610731.5,37700.53,106769.29,182980.7
162/182.0458mz/2.08min,3298662.2,2149809.8,1064724.5,644983.7,997020.9,871175.4
163/224.0564mz/2.08min,592865.3,552852.2,1321528.2,577731.5,1184360.0,1227796.9
165/283.0606mz/2.1min,731347.7,472526.3,202640.4,86777.74,159249.25,200334.67
166/293.1143mz/2.09min,4610.924,20826.977,155723.66,6204.6133,8895.16,71917.93
167/220.0649mz/2.1min,5975262.5,6207557.0,4215460.0,2028091.4,1833378.5,3468977.2
168/231.0986mz/2.1min,40907.02,58407.41,1778936.5,614682.94,284363.53,776391.25
170/224.1041mz/2.11min,495990.53,650229.2,0.0,157501.72,295039.2,143290.56
171/242.067mz/2.11min,1760987.0,1730965.4,1262416.9,1514990.5,2039817.9,1616064.5
172/117.0558mz/2.12min,1874189.6,2847821.5,3754308.2,1321114.2,1840433.2,1981198.2
173/196.0615mz/2.14min,567791.3,144172.64,525161.4,606361.2,894448.1,692924.6
174/163.9861mz/2.12min,3313524.0,1915012.8,1821852.6,3559215.0,2619507.2,2299891.0
177/240.0514mz/2.14min,1392183.2,1788058.9,2117995.8,3040798.0,4342391.5,3492619.2
178/259.1299mz/2.14min,244162.92,436387.5,359874.25,212843.19,120996.75,318717.8
182/356.1345mz/2.16min,604203.4,248253.66,649078.1,43604.72,274234.38,248058.69
183/212.0565mz/2.17min,434462.8,195140.47,132857.53,171105.17,367593.47,310303.2
185/225.0881mz/2.15min,395410.0,1166024.5,1180093.8,971462.1,992150.1,949030.6
186/147.0663mz/2.15min,257736.12,428241.4,51371.625,0.0,18393.203,4618.419
187/240.0877mz/2.17min,479764.03,557589.6,425966.0,127301.305,406978.0,323714.62
188/281.0991mz/2.18min,1249143.8,1623513.9,5151419.0,2765549.8,1334565.4,3424061.0
191/303.0813mz/2.18min,139493.23,70802.51,627304.06,220166.73,154038.03,438484.97
192/459.1965mz/2.18min,12388.076,37927.27,339070.03,157730.31,20044.926,203542.34
193/254.08mz/2.18min,86169.0,258126.75,1199418.5,280940.8,89318.45,571030.4
194/218.1034mz/2.18min,5747325.0,7329235.5,27927002.0,14414182.0,6181668.0,18404022.0
195/175.0611mz/2.18min,146875.45,242438.34,443509.62,394512.3,241240.75,489724.66
196/219.1067mz/2.18min,538810.4,662591.2,2661463.0,1358055.0,548770.6,1770314.8
197/437.214mz/2.18min,306731.12,423089.72,6024131.5,1919398.8,352258.47,2987427.2
198/343.1143mz/2.2min,408258.3,551525.44,174376.47,214984.53,339621.78,187006.11
200/184.0615mz/2.22min,454538.03,570823.5,446777.38,341276.0,323343.9,159703.83
201/305.9633mz/2.21min,244507.64,315403.97,0.0,0.0,5654.415,0.0
202/197.0454mz/2.21min,53259.95,20910.504,1008331.6,266601.56,972349.56,807175.7
203/145.0507mz/2.22min,1083696.1,1231053.5,3019616.0,1651181.4,1104975.4,1978217.6
204/382.1002mz/2.22min,190503.97,293228.88,534981.6,830419.5,503250.53,1094368.6
205/235.0724mz/2.23min,59468.758,85560.945,149227.19,432385.7,548526.44,553684.7
207/273.1092mz/2.24min,59366.043,91603.664,181362.94,824305.3,354383.4,708085.25
208/317.0991mz/2.23min,283774.4,382950.2,269606.22,3232801.8,1876784.5,2635282.5
209/283.0936mz/2.24min,985292.9,1234650.0,1086141.5,813316.25,959981.5,807785.8
211/200.0565mz/2.25min,355136.94,390730.34,451728.62,688609.44,781812.0,697695.3
214/446.1778mz/2.27min,333825.84,505922.66,325500.16,190984.55,277364.47,240857.97
215/196.0615mz/2.27min,476161.03,902358.0,230282.55,498291.88,92972.42,422493.16
217/125.0245mz/2.27min,375410.9,329822.66,370983.66,926066.7,990544.2,176426.47
218/181.0508mz/2.28min,726316.0,786359.56,510212.97,270265.66,410573.75,372591.28
219/360.0723mz/2.28min,516178.56,834204.44,0.0,0.0,0.0,0.0
220/330.0986mz/2.29min,137218.19,90294.87,144354.33,0.0,0.0,0.0
221/245.1143mz/2.28min,383257.66,288086.47,960234.3,89967.766,225933.47,242919.92
226/345.1301mz/2.3min,1654825.5,2511649.2,1428104.9,1154960.6,1440191.0,1283567.6
227/303.0511mz/2.31min,956468.7,1032834.56,0.0,0.0,0.0,0.0
228/204.0302mz/2.32min,16953.445,41248.33,70554.26,97142.25,73637.24,133856.84
229/356.1347mz/2.32min,283373.03,151852.92,862882.44,231309.27,380916.22,321310.66
231/211.0612mz/2.33min,24475.457,34081.33,4688858.5,1639681.0,1520591.8,1913510.2
232/306.0985mz/2.34min,553248.94,560264.6,100594.28,27209.738,47711.47,24707.94
233/242.0671mz/2.29min,553264.3,395558.06,300676.12,281483.22,182588.7,59917.625
239/226.0721mz/2.32min,4373408.0,2808727.0,3670421.0,2651124.5,3225136.0,4096402.8
240/343.1144mz/2.36min,754393.06,870228.6,286169.47,413666.06,546461.44,450928.9
242/234.0772mz/2.36min,736638.3,814699.56,701302.0,583652.7,692580.6,614492.4
244/297.0729mz/2.36min,641551.4,676469.56,590204.44,592058.3,614597.8,586059.75
245/180.0666mz/2.36min,84225.37,150631.88,168734.39,57532.023,94203.57,96762.81
247/161.0819mz/2.36min,295933.9,296045.25,665712.6,236961.52,329105.5,362241.75
248/309.1093mz/2.37min,99458.336,277785.6,206817.44,197149.58,162847.78,194244.22
249/238.0721mz/2.37min,411191.56,381380.53,261372.73,102958.336,205032.61,141094.64
250/212.0565mz/2.37min,1179073.9,2089542.6,1108593.6,1328434.2,1087920.5,912511.94
251/151.0401mz/2.38min,216143.47,273523.56,174830.34,151862.98,152462.8,165491.48
252/153.0194mz/2.37min,1266050.4,2893137.2,862548.9,70880.27,167798.3,166473.02
253/258.0983mz/2.4min,285070.0,452992.25,1923301.2,1081057.6,694103.5,1447118.8
254/240.0878mz/2.38min,1258337.0,1614772.5,1200090.5,1238978.2,1200101.8,1059843.6
255/214.1085mz/2.39min,4729.5186,9988.089,182870.0,101917.75,48159.62,135159.69
256/230.1034mz/2.38min,179667.1,153373.73,388002.44,329951.5,318027.6,339222.3
259/375.1042mz/2.4min,22870.994,29303.863,18279.719,341933.22,523118.3,463968.75
260/222.0771mz/2.4min,384012.5,423635.16,227312.05,120224.21,85335.02,122137.96
261/168.0666mz/2.41min,602248.4,997942.2,988115.2,695709.0,864803.75,808799.9
263/286.1409mz/2.42min,0.0,15066.003,441113.1,79671.74,0.0,59263.926
264/210.0772mz/2.41min,1439765.8,1881631.6,1775077.5,1278399.4,1505051.1,1427741.6
266/129.0558mz/2.42min,3927831.0,2888937.5,11154930.0,2593164.5,3273893.8,3246903.5
267/180.0302mz/2.43min,288014.2,380781.3,403799.47,437945.62,479986.97,461768.8
268/175.0612mz/2.43min,462859.5,722103.25,747209.3,459030.53,566419.25,730188.4
269/479.1784mz/2.43min,428307.34,328918.62,388195.94,24704.27,297182.6,88197.3
270/326.1246mz/2.47min,249053.73,297025.6,13580.582,3725.3079,8237.039,0.0
271/416.1825mz/2.44min,2227031.0,1854750.9,1983088.2,165749.7,1466808.0,446019.62
272/762.3207mz/2.44min,490510.97,523562.5,362991.25,22432.676,301118.3,78637.31
273/345.1301mz/2.44min,9656169.0,12888154.0,7103777.5,7422847.0,8309926.0,7322892.0
274/691.2683mz/2.44min,587830.9,937644.6,347672.47,383751.94,457733.25,370979.22
275/346.1336mz/2.44min,1452745.2,1910354.0,1059131.4,1099001.4,1232581.5,1057502.9
276/204.0302mz/2.44min,604096.44,592567.6,3783777.8,1067320.5,1303201.1,1507812.8
278/160.0405mz/2.45min,91192.68,96726.42,607205.3,181595.3,154048.86,243955.52
279/205.0336mz/2.44min,24212.28,52882.06,354424.9,93858.76,95106.734,131942.89
281/605.2258mz/2.45min,35525.906,3581.8865,277639.1,15774.324,125115.74,53484.227
284/188.0353mz/2.45min,829771.9,475065.4,5127584.5,3936755.5,3111556.5,4519914.0
285/313.0678mz/2.45min,283094.66,263169.88,108010.875,306540.1,492742.66,298208.12
288/287.0563mz/2.46min,214267.03,284755.94,0.0,0.0,0.0,0.0
289/282.0984mz/2.46min,835054.7,1185163.9,758517.56,747327.4,1072256.2,771210.2
290/158.0822mz/2.45min,63790.074,70977.59,896946.9,665793.5,211728.97,741729.44
291/194.0459mz/2.47min,4410509.0,4785957.5,4436219.5,3805571.2,5406258.5,4577170.5
292/237.0881mz/2.47min,433553.72,599632.4,394699.75,337657.6,399310.2,357830.6
293/144.0455mz/2.47min,311724.94,425352.75,929936.3,400437.66,335301.62,471316.28
294/264.0514mz/2.47min,300608.8,608652.9,244487.17,74194.875,147163.38,138684.6
296/322.1257mz/2.48min,0.0,0.0,329252.66,120983.59,57152.215,141585.9
298/136.0404mz/2.47min,948630.4,1516438.1,1046143.8,930109.1,1140342.9,1107525.0
299/259.13mz/2.47min,140205.73,177778.4,5357950.5,1722303.9,871329.5,2194462.8
300/260.114mz/2.48min,986164.3,1264311.2,526118.6,255309.61,220582.72,315330.38
301/905.3654mz/2.48min,12274.434,0.0,416221.44,47063.668,86799.375,91376.45
303/716.3225mz/2.49min,1795666.9,1627591.6,6144086.0,934645.6,2262937.0,1457118.9
304/752.2992mz/2.49min,594150.2,1027538.6,4462516.5,276244.22,1058961.2,844294.9
305/779.3181mz/2.49min,770389.25,694470.0,3025980.0,428751.97,1039424.0,723595.4
309/167.035mz/2.49min,43335.086,0.0,2515983.2,267991.1,604204.6,412475.47
310/190.0509mz/2.52min,399501.97,782626.2,206510.52,59938.51,117069.54,73433.54
313/755.2998mz/2.49min,54794.035,102846.195,498328.5,20955.426,114155.125,81512.336
316/146.0611mz/2.5min,1353362.5,1939206.0,1045152.9,0.0,68968.53,0.0
318/181.0507mz/2.51min,1538228.1,1032226.6,1652929.4,243103.78,848588.4,451554.28
320/182.0459mz/2.52min,47000.99,62743.355,35667.3,25091.545,32885.684,31122.506
322/115.0401mz/2.52min,66616.65,83354.43,160344.39,172365.12,141552.31,194865.55
323/139.0401mz/2.52min,330695.72,417905.12,15827344.0,2592272.2,3862500.8,4125245.5
324/176.0645mz/2.52min,485133.9,731243.1,789935.56,773114.75,775785.75,972389.9
325/175.0612mz/2.52min,6634416.5,9979038.0,10864197.0,10651607.0,10631290.0,13381125.0
329/240.0877mz/2.53min,484291.47,768745.1,363180.3,309953.2,471235.47,317882.0
334/411.1268mz/2.53min,83524.53,97458.875,231139.67,268981.56,160464.86,315095.7
335/95.0503mz/2.52min,16159.621,15130.328,1389158.5,198995.3,308829.53,184142.8
336/192.0666mz/2.54min,13048.298,4829.204,262201.88,217517.62,195109.84,215883.27
337/153.0194mz/2.52min,279268.62,292158.9,2672796.0,324684.4,673282.0,940887.0
338/318.1672mz/2.54min,89791.52,87341.484,998911.06,320618.9,596695.8,693972.8
339/349.1039mz/2.54min,679700.1,618096.25,397529.1,559094.5,717465.25,537292.2
340/180.0666mz/2.54min,1341020.4,970185.25,72133.61,170563.3,1147595.8,400008.25
345/285.1457mz/2.56min,48969.055,29586.293,769984.56,838662.56,192949.75,504573.94
346/232.119mz/2.56min,240467.44,272342.62,1163844.9,465159.97,269365.12,653513.94
349/327.1198mz/2.56min,431923.4,505360.3,243227.0,260502.42,314291.94,263561.66
350/288.0725mz/2.6min,202388.39,598755.4,23282.648,0.0,0.0,0.0
351/237.1244mz/2.57min,77563.82,99828.31,334793.2,53004.54,132685.9,136977.88
352/282.1179mz/2.57min,83485.3,122035.125,404168.88,112743.18,167255.19,155824.98
353/281.1143mz/2.57min,709936.7,1024214.94,3108250.5,886579.75,1261356.1,1244735.0
354/301.1406mz/2.57min,1413009.5,1317255.8,1488570.9,622947.9,585301.25,633633.5
355/611.2572mz/2.57min,232215.17,211872.55,236532.39,82024.09,89760.266,79196.62
358/129.0558mz/2.55min,765291.25,558444.56,7409046.5,2340056.0,1489251.9,2880314.2
359/591.231mz/2.58min,91501.375,130368.79,380846.97,94118.125,161692.95,122682.75
360/265.083mz/2.58min,1118218.0,1233017.9,948543.06,900935.4,999580.4,819541.3
361/272.0235mz/2.58min,0.0,0.0,1645360.2,5357946.0,2468438.2,5606798.0
362/309.1093mz/2.58min,7888553.5,9016465.0,6780993.5,6414765.5,7554061.5,5807371.5
363/582.1402mz/2.59min,0.0,0.0,94430.67,247918.98,143208.05,260527.6
364/254.1034mz/2.58min,2064674.2,2648154.2,1173447.4,860740.9,1734538.5,1352552.2
365/619.226mz/2.58min,984391.1,1140694.2,825389.06,660249.0,963363.25,612579.94
367/246.0983mz/2.6min,119355.67,100863.11,263380.6,248179.92,119260.25,267215.22
368/326.1246mz/2.59min,853690.4,886109.9,9011.283,0.0,9050.776,0.0
369/199.0612mz/2.6min,3654.807,4690.825,98001.93,423159.12,245428.78,380206.56
371/214.1085mz/2.6min,182246.81,220940.72,401608.16,856508.9,437174.84,858580.4
376/183.0663mz/2.61min,329181.9,356371.97,3791394.5,119181.91,317193.62,216724.14
378/367.1394mz/2.61min,0.0,0.0,79958.42,0.0,0.0,0.0
379/230.1034mz/2.62min,1599189.9,2080902.0,3339783.5,803787.75,1174925.2,1345697.1
380/293.0991mz/2.63min,203840.84,252597.06,313266.62,109004.33,133811.53,176335.75
381/356.0985mz/2.63min,0.0,0.0,614959.7,92873.26,162208.5,152255.11
382/196.0615mz/2.63min,2332463.5,3862813.0,3102731.0,2181294.0,2793513.8,2360231.2
383/225.0881mz/2.62min,281181.2,532163.75,1602977.4,749429.8,780374.4,880581.9
385/815.2396mz/2.63min,1184415.5,1287824.4,1189684.1,1546701.2,1022100.06,1474866.5
386/805.2107mz/2.64min,194756.27,361989.4,562098.06,233506.19,247712.1,416589.72
387/832.2297mz/2.64min,424588.3,506158.2,751217.5,520028.6,419770.2,659269.1
392/189.0768mz/2.64min,0.0,21519.023,106550.71,332191.03,216060.95,462523.16
393/211.0611mz/2.66min,5426.0303,0.0,169387.02,225070.34,354036.06,327549.97
394/297.0729mz/2.66min,128134.99,149797.23,110649.125,89093.09,102814.24,97252.84
396/167.0713mz/2.66min,0.0,0.0,336037.34,79833.37,90943.945,129262.62
398/258.0983mz/2.66min,29539.506,73927.75,348741.97,186158.95,54602.164,216244.25
399/192.0302mz/2.67min,4469.0596,0.0,454024.28,0.0,5229.3945,51574.887
400/210.0771mz/2.69min,452391.6,437354.62,494909.44,588919.75,630737.4,589811.44
402/287.1248mz/2.71min,172434.27,338375.38,511912.5,240673.8,202277.06,307965.5
403/359.1094mz/2.69min,116321.51,297044.88,33867.535,1071548.4,828205.9,883283.06
404/296.0777mz/2.68min,129788.99,257848.83,16325.84,33199.62,37360.523,21538.707
405/180.0666mz/2.69min,103645.36,242496.78,97754.234,55550.12,144111.52,101643.13
