Filename,NEG_D5-Ctrl-a-P-EAMeOH_Run29.mzML,NEG_D5-Ctrl-b-P-EAMeOH_Run32.mzML,NEG_D5-Ctrl-c-P-EAMeOH_Run35.mzML,NEG_D5-211-C2-a_Run119.mzML,NEG_D5-211-C2-b_Run122.mzML,NEG_D5-211-C2-c_Run125.mzML
Class,CTRL,CTRL,CTRL,EXP,EXP,EXP
394/113.9263mz/8.8min,5729708.5,20030294.0,21385308.0,25291212.0,26278608.0,25758958.0
395/115.9207mz/8.8min,409033000.0,380767780.0,407996960.0,472668300.0,496697440.0,488919740.0
397/142.9289mz/8.8min,3958321.5,3354581.2,3514142.2,4801635.0,4942363.5,4511085.0
398/312.836mz/8.8min,5254899.0,5084606.5,5082138.0,4380471.5,4415476.0,4476649.0
399/139.9444mz/8.8min,1672026.0,2717828.0,2680945.2,4323318.5,3870817.5,3958177.5
400/99.9258mz/8.8min,55844468.0,52549636.0,50850188.0,72095384.0,72736480.0,72519470.0
401/100.9336mz/8.8min,64546780.0,60214540.0,59378850.0,56512828.0,59247604.0,59062316.0
402/132.9234mz/8.81min,17576664.0,15432818.0,15019782.0,18369108.0,20022242.0,18923090.0
403/144.9234mz/8.81min,83811496.0,84269500.0,89383070.0,103535810.0,104130750.0,107217110.0
405/339.1996mz/8.82min,493194.47,478509.3,419975.0,71907.3,51112.17,51659.12
406/325.1841mz/8.83min,1002488.44,959085.25,1008023.3,567527.75,598126.0,563674.94
408/311.1685mz/8.83min,1444498.2,1185405.4,1688608.9,618524.1,660757.94,657303.44
410/427.2337mz/8.88min,4763145.5,4827510.0,4334679.5,384888.12,414154.03,451547.6
411/319.2314mz/8.88min,0.0,625157.4,0.0,0.0,0.0,0.0
412/113.9263mz/8.85min,21425272.0,5492794.0,5370789.5,6232810.0,6108407.5,6206651.5
413/139.9444mz/8.88min,2609137.0,1286217.6,1604582.2,958887.7,2018415.9,1407688.1
414/150.8895mz/8.89min,171467.58,81968.27,193824.62,596046.06,592489.5,460447.16
415/132.9002mz/8.95min,338965.22,92336.81,276682.56,655519.1,774856.2,336931.5
416/439.252mz/8.95min,2623511.0,2745644.2,2661216.0,3234083.0,3068274.2,3350417.2
417/101.9809mz/8.95min,6077206.0,6455545.0,6359520.0,3474957.5,3796849.0,3702825.0
418/124.9967mz/8.95min,2820117.5,3140471.5,3007812.2,1397575.5,1546480.9,1433199.8
420/119.9468mz/8.96min,661845.44,730150.94,1252390.4,1038861.1,1127755.5,986475.4
425/124.0015mz/8.96min,1190035.6,1041489.7,1028044.1,1088978.2,1127124.4,1065242.6
426/523.3458mz/8.95min,808001.2,622955.94,1000947.2,243246.22,334953.44,254579.45
427/135.9709mz/8.96min,1715621.1,3004121.8,1895993.0,944807.4,1074122.0,971557.9
429/495.2572mz/8.96min,5920688.5,6242625.5,6395924.0,3829092.2,3668968.8,3900407.5
431/102.9568mz/8.96min,1540077.9,1626869.9,1706891.0,1853375.1,1966434.8,1758162.8
432/383.1894mz/8.96min,1527508.9,1560173.6,1608005.2,1672176.5,1661501.4,1757017.0
433/129.9757mz/8.96min,4966447.0,4706763.0,4876680.0,2731604.2,4862284.5,2791593.5
434/134.865mz/8.96min,3402182.8,2286220.5,3645039.8,1339021.4,1318853.2,1312917.5
438/112.9857mz/8.96min,6577795.0,7137746.5,8252140.0,6257414.5,8539650.0,8486291.0
439/248.9603mz/8.97min,1288573.6,1364341.0,1321688.6,890192.5,900941.1,916186.4
440/132.8678mz/8.97min,5101591.0,5439703.5,5503391.0,1984111.8,1555969.8,1951628.2
441/180.9728mz/8.97min,350316.38,710418.56,705431.3,611757.6,648005.7,521783.1
443/316.9475mz/8.97min,881396.1,1061860.5,1116606.2,528150.7,603667.44,637846.7
446/381.1737mz/8.98min,762476.4,810110.25,834050.0,535087.2,502165.75,524166.3
447/355.1581mz/8.98min,1779148.4,1759750.1,1894935.1,1948102.4,1899355.9,1999174.2
449/353.1425mz/8.98min,359581.53,394887.47,455887.38,177138.23,155450.56,163411.05
453/229.9008mz/9.06min,448090.6,518120.34,342215.47,411749.28,1203742.4,1151643.6
454/199.9292mz/9.05min,173902.61,153056.56,264949.34,1616041.2,1432930.0,1351274.6
455/183.9342mz/9.05min,12739519.0,15411479.0,10249911.0,15210866.0,15602953.0,15201673.0
