row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,NEG_D5-211-C2-c_Run125.mzML Peak area,NEG_D5-Ctrl-b-P-EAMeOH_Run32.mzML Peak area,NEG_D5-Ctrl-c-P-EAMeOH_Run35.mzML Peak area,NEG_D5-211-C2-b_Run122.mzML Peak area,NEG_D5-211-C2-a_Run119.mzML Peak area,NEG_D5-Ctrl-a-P-EAMeOH_Run29.mzML Peak area,
78,85.02931258504644,0.5808294,,,,8,,,,,,,607646.75,510947.5,615630.0,576590.94,607269.75,467717.88,
46,85.02931514364757,0.38643634,,,,30,,,,,,,799186.75,837560.75,789013.9,901955.1,860836.6,737629.56,
73,89.02424929245166,0.4029909,,,,,,,,,,,86004.57,212671.12,390513.44,83973.93,43613.707,81900.39,
14,96.96008675963725,0.35103896,,,,6,,,,,,,6.1630284E7,8.390231E7,1.1072339E8,9.041519E7,9.497388E7,9.256983E7,
24,96.96933980532481,0.35877395,,,,6,,,,,,,1.8455258E7,1.4160202E7,1.7415444E7,1.7097416E7,1.820542E7,1.4136222E7,
12,98.95577331046725,0.3492918,,,,6,,,,,,,2655974.0,3691021.8,4852921.0,3945686.5,4185051.8,4049379.0,
400,99.92577996932296,8.8017645,,,,35,,,,,,,7.251947E7,5.2549636E7,5.0850188E7,7.273648E7,7.2095384E7,5.5844468E7,
401,100.93359915797727,8.803422,,,,35,,,,,,,5.9062316E7,6.021454E7,5.937885E7,5.9247604E7,5.6512828E7,6.454678E7,
368,101.98084674561916,8.701455,,,,17,,,,,,,3590127.2,1691019.5,1505512.8,3344555.0,3814603.5,1184664.1,
417,101.98085448324849,8.94986,,,,3,,,,,,,3702825.0,6455545.0,6359520.0,3796849.0,3474957.5,6077206.0,
489,101.98087392662917,10.014069,,,,29,,,,,,,1219691.8,863306.3,924293.7,1310188.6,1264519.9,797763.75,
471,101.980884845656,9.610896,,,,28,,,,,,,2715729.8,1001319.2,985750.3,1447303.5,2432575.0,594244.44,
431,102.95680543174363,8.962075,,,,3,,,,,,,1758162.8,1626869.9,1706891.0,1966434.8,1853375.1,1540077.9,
498,102.95681261890529,10.179261,,,,,,,,,,,952697.94,667270.6,689183.7,1472009.5,940562.7,720023.6,
58,111.00871622666284,0.3976591,,,,30,,,,,,,5872792.5,5787456.5,5371768.0,6040636.0,5388801.5,5621319.0,
54,111.01990340693737,0.394222,,,,30,,,,,,,2053269.5,3384848.2,9554880.0,2191973.2,1846273.8,2995131.0,
500,112.98565686145287,10.189187,,,,,,,,,,,1.2486613E7,1.3456978E7,1.4138198E7,1.3063566E7,1.2917946E7,1.4949405E7,
276,112.98566931896613,7.8733463,,,,,,,,,,,6312238.5,1.0080119E7,9583707.0,6396094.0,6304683.5,9266560.0,
438,112.98567631642346,8.963821,,,,3,,,,,,,8486291.0,7137746.5,8252140.0,8539650.0,6257414.5,6577795.0,
412,113.92626243219128,8.848193,,,,,,,,,,,6206651.5,5492794.0,5370789.5,6108407.5,6232810.0,2.1425272E7,
394,113.92626566643015,8.798216,,,,35,,,,,,,2.5758958E7,2.0030294E7,2.1385308E7,2.6278608E7,2.5291212E7,5729708.5,
70,114.05597552012716,0.40487945,,,,,,,,,,,172756.47,60319.08,157936.81,545315.25,68021.27,93026.27,
190,114.93409590371733,7.36931,,,,2,,,,,,,626391.56,878201.0,1005206.0,597982.8,599543.75,775412.94,
389,114.93409875689152,8.785205,,,,35,,,,,,,9126647.0,1936432.0,1951678.0,9249176.0,9416744.0,1947574.0,
252,114.93410947303794,7.8715615,,,,5,,,,,,,1123855.5,3835831.5,3573632.0,1116641.0,1164786.4,3923872.0,
304,114.93411313628792,8.215287,,,,25,,,,,,,1360428.1,2593703.2,3114751.5,970793.1,1418099.1,2310395.2,
218,114.93411467326389,7.7687225,,,,19,,,,,,,929400.8,1456305.0,1532052.8,914573.4,895881.9,1382408.0,
64,115.00360414012103,0.39599934,,,,30,,,,,,,861596.9,197106.02,129413.3,1101459.2,858973.8,143713.95,
395,115.92072152339006,8.795581,,,,35,,,,,,,4.8891974E8,3.8076778E8,4.0799696E8,4.9669744E8,4.726683E8,4.09033E8,
68,116.0716229495664,0.43730113,,,,,,,,,,,713688.25,149619.14,290121.47,206289.64,130958.0,57435.746,
247,116.92846444780638,7.870683,,,,5,,,,,,,2.0456504E7,7.163831E7,6.942633E7,2.052788E7,2.2004228E7,7.039336E7,
224,116.92847521900713,7.767836,,,,19,,,,,,,1.7126088E7,2.7924852E7,2.9336672E7,1.7590228E7,1.7702844E7,2.6316296E7,
191,116.92849287902015,7.36931,,,,2,,,,,,,1.215799E7,1.7655614E7,1.9481938E7,1.1517864E7,1.1557926E7,1.5537813E7,
77,117.01928750606696,0.6036252,,,,,,,,,,,2224019.5,1796960.2,2991331.8,3340496.5,4412726.0,2190512.5,
85,117.01930690885517,0.6839444,,,,18,,,,,,,1.2456703E7,5903218.5,9064650.0,1.4288968E7,8564592.0,6961450.5,
96,117.05574590452527,2.1444638,,,,,,,,,,,67049.53,316710.8,639036.44,7818.665,3855.6716,277106.16,
310,117.9285750286299,8.217042,,,,25,,,,,,,2353389.8,6202175.0,6796124.0,2308671.8,2278556.2,5943876.0,
248,117.92857575301004,7.870683,,,,5,,,,,,,2413654.2,8418889.0,8070851.5,2395783.0,2586338.5,8231066.0,
225,117.92858494532857,7.767836,,,,19,,,,,,,1982415.6,3214081.8,3403749.5,2057654.8,2051908.5,3033445.2,
196,117.92860157318087,7.3701844,,,,2,,,,,,,1395882.4,2054288.6,2226538.5,1319757.5,1337640.6,1816391.6,
515,118.92407827344869,10.339734,,,,,,,,,,,481970.8,491727.12,509275.03,488444.84,488782.0,497319.1,
257,118.92409734153604,7.870689,,,,5,,,,,,,498543.47,2213051.0,2141550.0,509374.1,414118.84,2130508.5,
312,118.92414303639691,8.209159,,,,,,,,,,,216458.69,313547.16,427842.16,160115.2,71555.29,434264.53,
385,118.92672523199633,8.784335,,,,35,,,,,,,4882617.0,1037809.4,1044313.4,5024566.0,5161378.0,2937265.2,
251,118.92674470204896,7.8715553,,,,5,,,,,,,595472.0,1943342.5,2056716.4,599468.9,627339.3,2111296.0,
307,118.92675750354613,8.216175,,,,25,,,,,,,565423.44,1605568.9,1234394.6,523025.62,600139.0,1420843.9,
262,118.93257563314489,7.87244,,,,5,,,,,,,211337.05,687782.7,687664.0,166267.58,279822.94,595614.8,
381,118.93258497875142,8.795732,,,,,,,,,,,241285.14,509133.06,157598.86,58566.734,80039.875,61277.395,
308,118.93260410406266,8.218787,,,,25,,,,,,,199207.42,380247.06,373840.5,166120.88,129938.484,479180.34,
420,119.94682719531407,8.957713,,,,3,,,,,,,986475.4,730150.94,1252390.4,1127755.5,1038861.1,661845.44,
367,119.94683880305122,8.683187,,,,,,,,,,,4408193.5,1034571.8,3395151.0,4311478.5,4467453.5,968558.75,
425,124.00151288865726,8.958592,,,,3,,,,,,,1065242.6,1041489.7,1028044.1,1127124.4,1088978.2,1190035.6,
460,124.00152428015979,9.085027,,,,,,,,,,,723566.1,729392.2,693759.6,674281.3,693623.6,333306.03,
488,124.0015391302996,10.022874,,,,29,,,,,,,1000626.9,512205.2,605635.56,1136299.6,1017405.4,549267.75,
479,124.00154822617297,9.614395,,,,28,,,,,,,1273518.2,546398.7,249985.64,1074040.9,1173744.1,341007.84,
470,124.00155038453137,9.394252,,,,,,,,,,,368497.78,467265.9,390265.4,222260.58,405394.84,263171.88,
369,124.996717207668,8.704049,,,,17,,,,,,,1518553.5,380063.6,526219.25,1326630.6,1590549.9,500961.88,
418,124.99674367638397,8.954234,,,,3,,,,,,,1433199.8,3140471.5,3007812.2,1546480.9,1397575.5,2820117.5,
518,126.88094553476417,10.423827,,,,23,,,,,,,1152424.0,536834.94,483354.47,1150807.8,1143205.9,611933.7,
71,128.03525001591,0.42409787,,,,30,,,,,,,2551535.5,1277851.5,2324376.2,3402503.5,2617214.5,1377591.6,
82,128.03526879131854,0.63324904,,,,,,,,,,,1860090.1,1136661.1,2127092.2,2231356.5,1784798.2,1446407.1,
49,129.01927401044756,0.3889974,,,,30,,,,,,,2331605.5,2227450.8,2347763.8,2562995.2,2506300.5,2090184.5,
80,129.01928309513096,0.5891772,,,,8,,,,,,,1968532.2,1472420.4,1810817.9,1906013.2,2026539.9,1433167.4,
433,129.9756762647925,8.963821,,,,3,,,,,,,2791593.5,4706763.0,4876680.0,4862284.5,2731604.2,4966447.0,
244,129.9756983371044,7.8202806,,,,,,,,,,,976552.5,785089.2,587306.75,922135.1,835024.8,811923.9,
314,129.97570111253242,8.217924,,,,,,,,,,,738070.8,2886986.2,1624150.8,746773.25,805832.75,2522566.5,
182,129.97570466515958,7.3745613,,,,2,,,,,,,1091276.4,1220047.8,1547980.1,984188.7,1114153.2,1524657.2,
53,130.0872242033574,0.39417133,,,,30,,,,,,,393269.78,435388.75,531033.9,398447.28,301104.12,349266.2,
88,130.0872683491178,0.7862751,,,,,,,,,,,1259053.0,1159016.8,1525440.1,1587132.1,1402009.6,1143263.1,
113,130.08732750331077,3.0336926,,,,16,,,,,,,113690.88,59318.617,141443.4,123750.164,113411.016,64281.227,
110,131.0713658662987,2.9010327,,,,,,,,,,,1174272.2,852093.2,1970840.2,289653.84,212918.08,745701.75,
496,132.8677894615396,10.168403,,,,,,,,,,,1059706.8,989818.3,632843.9,1101664.5,1078696.5,703421.9,
440,132.86779271133128,8.968122,,,,13,,,,,,,1951628.2,5439703.5,5503391.0,1555969.8,1984111.8,5101591.0,
360,132.86781247076212,8.608172,,,,33,,,,,,,4126636.0,862774.06,1307663.0,4805896.5,3799554.2,1115998.1,
522,132.86782307886574,10.421885,,,,21,,,,,,,5487028.5,4993884.5,4769448.5,5497826.0,5432943.5,5175647.0,
377,132.90014481474526,8.728454,,,,,,,,,,,2703463.0,675936.4,659364.75,767995.3,2748029.2,468333.97,
415,132.90015063310298,8.9503565,,,,,,,,,,,336931.5,92336.81,276682.56,774856.2,655519.1,338965.22,
250,132.9001531289217,7.9017043,,,,,,,,,,,389313.4,157927.77,187892.89,251706.11,389278.34,229351.69,
363,132.90016158348203,8.65434,,,,,,,,,,,1016960.6,259818.33,431473.16,2174821.8,784789.25,543326.1,
315,132.90016236961705,8.230184,,,,25,,,,,,,1250246.8,605878.0,580009.25,1304393.4,1366422.2,185368.62,
337,132.90016416912295,8.28472,,,,,,,,,,,316656.34,311449.62,325340.3,714812.5,724970.0,287176.8,
402,132.92340395740595,8.805254,,,,35,,,,,,,1.892309E7,1.5432818E7,1.5019782E7,2.0022242E7,1.8369108E7,1.7576664E7,
56,133.01415083823704,0.3968306,,,,30,,,,,,,9587620.0,5471281.0,7728688.5,1.1609815E7,9461241.0,6184486.5,
434,134.86503200641243,8.962874,,,,13,,,,,,,1312917.5,2286220.5,3645039.8,1318853.2,1339021.4,3402182.8,
361,134.86505873688898,8.592372,,,,33,,,,,,,2842679.8,1378044.9,702460.06,2690365.0,2572633.8,674311.25,
493,134.86510348432716,10.164899,,,,,,,,,,,792873.56,685336.3,471201.84,798626.94,449465.84,477500.56,
523,134.86545831255984,10.421885,,,,21,,,,,,,5759891.5,5058802.5,4781598.0,5695522.0,5677622.5,5224848.5,
373,134.8945964452301,8.717129,,,,,,,,,,,2.0248074E7,1.3348032E7,1.318408E7,2.1077656E7,5.6104804E7,3.5567868E7,
319,134.89462354998074,8.2293005,,,,25,,,,,,,2.3991116E7,1.0811952E7,1.0436432E7,2.4989824E7,2.6457582E7,1.139277E7,
336,134.8946238760129,8.282132,,,,,,,,,,,5.653912E7,1.2271997E7,6369324.0,1.4689059E7,1.6129868E7,1.1710992E7,
