row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,Yeast_HE_D5-Ctrl_a_pos_20190515_Run37.mzML Peak area,POS_D5-227-C3-a_Run274.mzML Peak area,POS_D5-227-C3-b_Run277.mzML Peak area,Yeast_HE_D5-Ctrl_b_pos_20190515_Run40.mzML Peak area,POS_D5-227-C3-c_Run280.mzML Peak area,Yeast_HE_D5-Ctrl_c_pos_20190515_Run43.mzML Peak area,Unnamed: 19
187,354.2848429937464,6.0034275,,,,41.0,25.0,[M+NH4]+,,2.0,187;186,336.251,389500.53,351068.16,272832.6,460759.3,344406.66,445157.3,
217,357.2610006767518,6.2157865,,,,,,,,,,,1521307.1,2773110.8,2760768.5,2144841.0,2953265.8,2540760.8,
230,359.1533284405569,6.339608999999999,,,,4.0,28.0,[M+Na]+,,2.0,230;231,336.16413,75712.38,92915.62,57284.7,51562.074,87475.766,72971.52,
184,359.15336057132555,5.990949,,,,27.0,24.0,[M+Na]+,,2.0,184;185,336.16413,1600124.2,2045066.8,1482518.8,1198200.2,2064114.0,1627965.5,
186,359.24019113846254,6.0034355999999995,,,,41.0,25.0,[M+Na]+,,2.0,187;186,336.251,775073.0,1268447.2,1010777.4,949466.8,1280386.4,942602.25,
410,362.3027956195095,7.7724633,,,,13.0,,,,,,,609177.06,625449.5,587550.3,268833.16,607487.1,429664.03,
617,362.9261126080462,10.22906,,,,10.0,,,,,,,506429.0,796752.6,856931.44,499602.03,839431.1,484203.6,
328,365.26610792533097,7.510683,,,,30.0,,,,,,,739440.5,875835.94,861429.75,1173794.8,1266866.1,1446709.9,
489,365.2661547110365,7.9877275999999995,,,,25.0,,,,,,,449623.97,541686.44,601114.94,636855.8,471015.44,447716.22,
252,366.29771335060167,6.9761809999999995,,,,,,,,,,,34644.723,18915.3,0.0,195357.98,401969.22,153376.34,
540,366.3728972483763,8.66875,,,,,,,,,,,672036.06,1702790.0,262454.22,682396.2,808006.7,1274133.4,
278,368.25827261481186,7.2136383,,,,,,,,,,,457054.9,656400.7,756834.56,593719.1,740184.7,523944.75,
176,371.11688188239236,5.909123,,,,46.0,23.0,[M+Na]+,,2.0,176;177,348.12767,120014.67,158153.55,120517.21,84054.51,113385.49,121271.25,
205,371.1171373675807,6.104124,,,,32.0,27.0,[M+Na]+,,3.0,193;205;198,348.12792,26425906.0,27548004.0,39993664.0,38862788.0,27654994.0,29274146.0,
204,372.12033957311064,6.105002,,,,32.0,,,,,,,6319610.5,6620063.5,8717639.0,9259321.0,6598465.0,7032656.0,
189,372.3471197108448,6.0346985,,,,,,,,,,,3556494.8,2885353.0,3407003.8,3996401.8,3265900.5,2820518.8,
469,373.2325235755455,7.8786716,,,,45.0,43.0,[M+Na]+,,2.0,467;469,350.2433,288056.03,435033.3,476112.78,366857.03,510448.34,393746.16,
163,377.1663520770726,5.723387000000001,,,,49.0,22.0,[M+H]+,,2.0,163;164,376.15909,1376944.8,1467106.2,1208393.5,1170561.6,1404871.1,1339226.5,
548,377.320136992612,8.817936,,,,,,,,,,,4158353.5,3832307.2,3728881.0,4752001.0,3742265.2,4635601.5,
495,377.3201945286202,8.218287,,,,5.0,,,,,,,390388.2,300071.97,341928.7,603593.0,397569.44,438621.12,
553,377.32021630801233,8.964276,,,,48.0,,,,,,,4215079.5,2397165.0,2564776.5,4631715.0,2601855.5,4508707.0,
327,377.3202931183459,7.470955,,,,37.0,,,,,,,682054.6,1012405.4,996656.8,800180.3,873794.44,753559.5,
690,377.73781624881326,10.430528,,,,38.0,,,,,,,702159.25,1442236.6,1169378.4,543409.7,1375221.0,211598.34,
461,378.2089629741095,7.875978,,,,45.0,,,,,,,1604780.8,1367563.8,1324769.2,1902974.9,1376832.6,1778196.0,
549,378.3234986391436,8.822476,,,,,,,,,,,1273558.2,569405.9,547661.3,707867.56,517033.97,677691.2,
551,378.32353433215263,8.963384,,,,48.0,,,,,,,980374.0,605891.4,767066.6,1422119.9,756515.06,1361969.6,
556,379.3359352835089,8.966985000000001,,,,48.0,,,,,,,7193674.5,6026566.5,5760625.0,7445887.0,5726870.5,7377834.0,
