row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,Anid_HE_TJG15pt3_EV_alcA_CTRL_2_YT_neg_20210511_Run103.mzML Peak area,Anid_HE_TJG15pt3_EV_alcA_CTRL_3_YT_neg_20210511_Run213.mzML Peak area,NEG_TJGIp2_2_Run121.mzML Peak area,NEG_TJGIp2_1_Run53.mzML Peak area,NEG_TJGIp2_3_Run192.mzML Peak area,Anid_HE_TJG15pt3_EV_alcA_CTRL_1_YT_neg_20210511_Run47.mzML Peak area,
46,116.03531597849705,0.3772782,,,,10,,,,,,,1222332.9,2095248.5,2390831.8,3554355.5,2973921.0,1245409.9,
254,116.05054428015995,2.7837832,,,,118,,,,,,,533882.6,503076.97,679734.1,698788.1,677960.5,579471.06,
330,116.05058170990519,3.1964588,,,,135,,,,,,,478284.97,134629.98,454940.9,486703.12,490364.72,455444.06,
91,116.0716764445882,0.46162832,,,,,,,,,,,587504.8,662560.8,381343.3,440433.9,1113511.0,505221.12,
162,116.0716851380862,1.3688986,,,,,,,,,,,63404.062,0,4123.515,4590.26,106745.234,3708.3975,
192,116.07168949171226,2.3704746,,,,38,,,,,,,262732.8,227124.1,241848.14,316798.8,346629.62,237953.25,
65,116.07170007875756,0.38410974,,,,10,,,,,,,880561.6,1328648.2,1507985.2,1661717.0,1640451.5,975983.7,
168,116.07171576978185,1.9623331,,,,174,,,,,,,549214.56,445472.8,540000.6,551641.3,624122.56,490891.47,
1633,116.92844631324844,7.6858315,,,,146,18,[2M-2H2O+H]+,,2,1653;1633,75.97101,2.5893428E7,3.4801564E7,3.7862676E7,3.2316348E7,4.6404492E7,2.4697296E7,
1456,116.92844701142411,7.442673,,,,30,17,[2M-2H2O+H]+,,2,1456;1455,75.97101,1.1808816E7,1.8765894E7,1.6723236E7,1.0917532E7,1.1130874E7,9749209.0,
85,117.0193133970463,0.4232327,,,,,,,,,,,7193896.0,6245758.0,6965611.5,1.0385099E7,8820044.0,6141807.5,
116,117.01932248301244,0.64337945,,,,156,,,,,,,2.186307E7,2.6499188E7,2.8726098E7,2.0731356E7,3.457924E7,2.6081314E7,
182,117.0193272550395,2.2518668,,,,,,,,,,,18134.8,12233.452,17855.906,63864.01,80570.88,0,
190,117.01933158102597,2.3395925,,,,,,,,,,,9590.846,15843.296,6464.5366,40039.203,68775.07,0,
151,117.0193461327903,0.9817174,,,,,,,,,,,289873.72,340763.0,47540.414,97182.266,139137.72,153276.36,
145,117.01934627495318,0.91063863,,,,,,,,,,,134086.98,322305.3,582695.0,173850.6,122204.36,251663.45,
159,117.0193485766563,1.1938363,,,,,,,,,,,35614.805,36611.676,143710.72,50081.453,105887.31,4237.9297,
157,117.01936234108825,1.1295258,,,,,,,,,,,47812.938,92535.27,179339.77,111410.375,144229.86,58055.11,
1811,117.91899725983922,8.137429,,,,,,,,,,,591590.5,944869.75,4919034.0,463492.5,429627.56,714148.25,
1883,117.92854548384122,8.13837,,,,,,,,,,,1737578.2,2575524.0,2083135.2,1477328.6,1656399.1,8634210.0,
1654,117.92857400992433,7.688249,,,,146,,,,,,,5352075.5,5439434.0,4704675.5,2277671.0,4612034.0,2706657.0,
115,118.02264417942017,0.64079756,,,,,,,,,,,532790.94,1135171.5,332221.53,532250.75,1891372.5,673833.75,
84,118.02274054328046,0.43665448,,,,,,,,,,,212932.64,264314.62,286514.3,293572.72,219150.0,182636.72,
111,118.0508872187646,0.58208376,,,,,,,,,,,470282.38,1681579.1,7658954.0,3265615.5,3184347.2,1690112.1,
21,118.05092325591461,0.3659974,,,,10,,,,,,,5.1751064E7,1.2966477E8,6.6408636E7,4.740416E7,1.03320536E8,4.560421E7,
266,118.05094379229071,2.8127367,,,,,,,,,,,21806.055,70652.54,56635.184,106971.2,72102.72,308257.38,
818,118.05095043486203,5.5597634,,,,,,,,,,,181183.1,120830.28,337173.5,174424.6,133258.8,173216.81,
180,118.05098223584666,2.2407155,,,,,,,,,,,649110.5,100245.31,121487.51,1563929.5,259284.3,18882.148,
