Filename,2024_POS_Y-EV_1_CTRL_Run88.mzML,2024_POS_Y-EV_2_CTRL_Run117.mzML,2024_POS_Y-EV_3_CTRL_Run138.mzML,2024_POS_Y-p12_1_Run94.mzML,2024_POS_Y-p12_2_Run111.mzML,2024_POS_Y-p12_3_Run132.mzML
Class,CTRL,CTRL,CTRL,EXP,EXP,EXP
439/239.1026mz/2.52min,4043102.2,4430746.5,4911474.5,3539007.0,3613383.2,2892091.2
440/443.177mz/2.52min,109542.266,181298.16,340580.72,137980.17,161298.36,114330.11
442/184.1695mz/2.54min,357550.3,338632.4,548757.06,278353.4,269957.25,234087.84
443/434.213mz/2.54min,347039.3,387763.5,864510.44,398715.22,346228.38,340439.94
444/153.1022mz/2.57min,28158.625,30918.777,184029.16,45989.59,53284.49,62114.316
446/393.2231mz/2.57min,52984.406,58586.887,177356.66,59424.625,47796.664,43900.742
447/443.177mz/2.56min,41214.6,125748.13,154708.16,62928.945,123172.0,46894.938
448/316.2117mz/2.59min,341418.78,411806.38,395376.2,285223.53,367437.56,393516.8
449/280.0927mz/2.6min,68868.3,82408.72,101642.42,64130.46,69491.35,70491.37
450/409.1352mz/2.6min,1464817.5,1627320.6,1796296.0,1333514.2,1478055.1,1322324.0
451/231.1127mz/2.63min,622686.8,660240.06,1479742.8,772974.7,648231.25,553279.75
452/213.1597mz/2.66min,40149.082,41514.22,38544.53,20204.691,17606.775,17722.643
453/259.2202mz/2.67min,474022.53,512803.66,515959.78,511232.12,514549.12,519257.94
454/245.1859mz/2.67min,48247.883,63738.02,136495.12,54277.82,52076.727,53385.37
455/243.1339mz/2.7min,16864.453,11180.057,60531.594,19643.861,12704.366,10272.043
456/407.2386mz/2.7min,165442.34,194947.48,438883.28,188125.7,161168.45,156216.98
457/130.159mz/2.71min,663148.06,553576.4,803681.94,450446.9,553509.2,466948.47
459/190.0896mz/2.73min,116929.53,102603.164,400870.0,93940.97,158525.53,231437.62
460/138.0549mz/2.72min,330858.22,305869.62,448197.47,266791.03,300030.88,273026.38
461/300.1077mz/2.72min,5295564.0,5358598.5,5115319.0,2999139.8,3766574.0,3641092.8
462/229.1546mz/2.73min,34142.855,29006.225,92024.66,15175.32,5207.76,10413.406
463/217.1546mz/2.74min,398831.94,408066.62,1036852.75,405462.2,345552.5,347891.5
464/202.1801mz/2.74min,326429.44,346868.5,462028.6,318461.4,253735.08,220615.17
465/316.2117mz/2.75min,811538.75,943442.75,1022684.4,720113.3,869596.3,865176.5
466/272.1128mz/2.77min,188821.77,215710.1,320579.97,148395.58,130288.766,136165.81
467/306.1182mz/2.77min,3497970.2,3774155.5,8868566.0,4098271.0,3400200.5,3302129.5
468/259.1189mz/2.77min,1019742.2,1049702.5,1124099.6,811753.8,768328.75,532929.6
469/231.1127mz/2.77min,302784.8,296181.1,814743.6,392091.3,340281.78,292135.84
470/260.1129mz/2.78min,244305.44,258623.98,708528.4,300070.9,219197.06,214758.58
471/288.1077mz/2.77min,176658.17,204061.61,576398.56,234144.48,178820.38,178581.66
472/188.0705mz/2.79min,118014.445,162002.66,229332.73,131948.52,124108.81,110741.51
475/259.2202mz/2.8min,251980.88,255471.78,216753.3,276586.38,249569.45,260029.34
477/169.076mz/2.81min,6773040.0,6563274.0,10466924.0,5792665.0,5503528.5,5407610.0
479/153.1021mz/2.81min,63737.65,144110.36,537177.0,192504.47,193305.31,167793.58
481/245.1859mz/2.81min,9948.447,8419.043,84294.234,18401.943,16033.33,27452.09
