"","Filename","2024_NEG_CC_1_Run21.mzML","2024_NEG_CC_2_Run48.mzML","2024_NEG_CC_3_Run62.mzML","2024_NEG_CC-Nam_1_Run33.mzML","2024_NEG_CC-Nam_2_Run45.mzML","2024_NEG_CC-Nam_3_Run68.mzML"
"1","Class","CTRL","CTRL","CTRL","EXP","EXP","EXP"
"69","121/195.906mz/5.63min","0.0","0.0","0.0","0.0","0.0","231476.45"
"70","122/214.8799mz/5.65min","29718.564","99107.516","140187.6","226166.48","140698.4","1036437.5"
"71","123/241.8989mz/5.64min","144677.67","303288.0","276321.7","463933.66","224825.28","1756990.0"
"72","124/132.8679mz/5.65min","224952.4","184536.42","137159.48","177200.98","122864.94","337332.9"
"73","125/424.2469mz/5.66min","3059949.2","2058347.2","3118588.8","1795615.4","1714608.9","2733305.2"
"74","126/512.2994mz/5.71min","519598.2","375007.28","535724.9","412094.12","389648.2","626565.2"
"75","128/315.2541mz/5.8min","116824.41","66822.36","104149.8","86945.46","58592.957","135015.55"
"76","129/562.0038mz/5.83min","59231.617","56904.168","71395.22","58162.41","73590.734","60643.105"
"77","130/195.906mz/6.04min","0.0","198852.66","0.0","0.0","17456.615","0.0"
"78","131/214.8799mz/6.02min","16127.288","777054.6","216166.8","219337.9","205865.53","36747.367"
"79","132/241.8989mz/6.0min","262851.7","1409367.0","287083.3","473686.9","429914.2","292593.78"
"80","133/187.8609mz/6.05min","0.0","172636.62","0.0","0.0","15395.441","0.0"
"81","134/315.2542mz/6.02min","115011.51","74739.94","107926.07","97578.01","79458.85","151797.8"
"82","135/265.1479mz/6.02min","580032.0","215177.77","434567.06","261405.94","316198.2","296913.06"
"83","136/271.2279mz/6.06min","326082.88","179300.84","254945.56","217445.44","155367.77","340505.9"
"84","137/452.2782mz/6.13min","930154.94","628842.3","912900.4","707480.7","596265.25","998814.7"
"85","138/315.2541mz/6.14min","427414.44","236347.86","343795.9","315647.84","232404.6","450387.12"
"86","139/540.3308mz/6.19min","141203.97","98026.41","145578.94","133670.94","136530.39","187930.78"
"87","140/452.2782mz/6.24min","5552533.5","3698379.8","5394294.0","3960167.5","3525802.5","5566262.5"
"88","141/478.2939mz/6.3min","3028820.2","1575212.0","2638266.0","1399807.6","1202472.0","2355799.2"
"89","142/540.3309mz/6.3min","962392.06","768470.1","1034304.5","916115.0","901789.75","1298031.4"
"90","143/480.2989mz/6.3min","110371.08","53516.062","92865.33","44310.7","37696.35","81965.2"
"91","145/566.3465mz/6.37min","405563.7","244704.3","382524.7","276046.44","246359.39","425844.03"
"92","146/583.3365mz/6.37min","66194.15","40772.14","61590.41","50386.867","37109.117","67485.85"
"93","147/311.1687mz/6.41min","176017.78","290012.38","105721.15","193016.39","267997.06","177536.14"
"94","148/271.2279mz/6.39min","311101.3","202246.3","241514.03","243645.44","175548.22","367768.25"
"95","149/478.2939mz/6.41min","11101540.0","6233555.0","10607851.0","5692740.0","5020031.5","8487895.0"
"96","150/957.5952mz/6.41min","480843.44","162516.58","467697.62","140897.84","107178.92","278053.44"
"97","151/480.2989mz/6.41min","410062.38","241661.5","375621.4","188290.17","188332.25","314218.4"
"98","153/566.3466mz/6.47min","2011159.4","1302038.1","2015869.9","1481017.0","1403443.5","2258033.0"
"99","154/583.3366mz/6.47min","340255.9","226656.56","344063.2","241445.75","242081.44","381056.03"
"100","155/297.2436mz/6.48min","184996.92","104478.22","140608.97","163533.73","120851.9","232992.7"
