row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,NEG_TJGI2pt1_EV_gpdA_CTRL_2_Run144.mzML Peak area,NEG_TJGI2pt1_EV_gpdA_CTRL_3_Run195.mzML Peak area,NEG_TJGIp11_3_Run150.mzML Peak area,NEG_TJGIp11_2_Run124.mzML Peak area,NEG_TJGI2pt1_EV_gpdA_CTRL_1_Run14.mzML Peak area,NEG_TJGIp11_1_Run26.mzML Peak area,Unnamed: 19
1055,602.332522486526,5.253123,,,,8.0,,,,,,,2259013.5,2106246.5,2293173.8,2141583.8,2666899.2,4632345.5,
1740,602.3348790185228,6.6396679999999995,,,,,,,,,,,694871.94,735138.4,708004.56,613945.1,1027859.4,966344.2,
1662,602.3349323260162,6.456559700000001,,,,,,,,,,,153209.22,155603.77,163353.23,155860.22,118471.78,154498.23,
2968,602.4820542424973,8.477973,,,,,,,,,,,0.0,0.0,2899552.8,0.0,0.0,0.0,
2883,602.4823371189493,8.210644,,,,,,,,,,,0.0,0.0,744958.5,0.0,0.0,0.0,
1998,603.3304351637547,7.2064509999999995,,,,,,,,,,,102876.72,152321.52,147528.28,283405.56,0.0,0.0,
3081,603.3306156999828,9.262977000000001,,,,,,,,,,,201236.86,196463.0,0.0,73537.19,0.0,0.0,
3101,603.3306266609172,9.520800999999999,,,,92.0,,,,,,,408338.25,765889.3,0.0,253820.2,0.0,0.0,
3138,603.3306326711216,9.855938,,,,,,,,,,,586074.1,867906.75,0.0,261533.08,0.0,0.0,
3089,603.4636150131226,9.372705999999999,,,,,,,,,,,661137.94,433647.8,1843534.6,298416.1,0.0,230947.5,
3123,603.4648109347404,9.5292,,,,,,,,,,,0.0,0.0,6988395.0,0.0,0.0,33202.992,
3050,603.4655194964603,8.961851,,,,,,,,,,,0.0,0.0,1241936.6,0.0,0.0,0.0,
3177,603.466697136969,10.187271,,,,,,,,,,,0.0,0.0,6025387.0,0.0,0.0,0.0,
2281,604.1982420632112,7.6490464000000005,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1567472.5,
2268,607.5113930847449,7.626983999999999,,,,171.0,,,,,,,255333.7,147123.83,148071.67,43095.64,768966.75,237636.19,
1499,608.4028824051643,6.0650234,,,,45.0,,,,,,,5346615.5,5452025.5,6301624.0,5626692.0,3694488.2,6891657.5,
1401,608.4030440920512,5.8684883,,,,73.0,,,,,,,25866250.0,26004498.0,33107532.0,32796788.0,27422318.0,39786650.0,
1110,610.3817047791757,5.321562,,,,21.0,,,,,,,215544.34,226161.95,236711.3,228397.33,143032.48,245599.1,
1229,610.3820153702616,5.4793167,,,,41.0,,,,,,,751509.1,765151.0,852201.94,771798.75,325252.9,818337.94,
1404,611.4113518364264,5.86845,,,,,,,,,,,275837.72,274223.3,359268.06,362367.12,280034.25,420393.8,
1054,612.3612411492945,5.252287,,,,8.0,,,,,,,1104997.5,1095298.8,1125729.8,957211.4,528065.2,1043528.4,
1129,612.3612450715663,5.347315,,,,21.0,,,,,,,1246316.5,1286776.5,1196710.0,1034702.0,806915.2,1316109.6,
1048,612.3970415619639,5.2506948,,,,8.0,,,,,,,981378.06,1098945.6,596534.6,706168.94,768023.56,1112625.0,
3021,613.3896372399768,8.773017999999999,,,,,,,,,,,0.0,0.0,276294.97,612632.75,0.0,0.0,
3058,615.405626497128,9.132563000000001,,,,,,,,,,,0.0,0.0,588993.6,93195.49,0.0,29159.897999999997,
3052,615.4057055268671,9.001726,,,,,,,,,,,0.0,3819.5645,426813.44,930425.3,0.0,70357.69,
1248,616.348255039155,5.5118675,,,,24.0,,,,,,,4416155.5,4200843.0,5207556.5,5460992.5,7840816.0,9164349.0,
1825,616.3502645288521,6.829365299999999,,,,,,,,,,,31996.862999999998,39952.5,101601.42,87359.42,78863.445,112901.7,
2451,617.3572424835818,7.69985,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,955316.1,
1944,617.3574642977258,7.1464915,,,,,,,,,,,38926.63,31068.702999999998,93251.58,1161521.0,0.0,0.0,
2698,617.357584211256,8.11198,,,,,,,,,,,0.0,0.0,0.0,0.0,652003.0,0.0,
1464,618.3296676503534,5.9883857,,,,85.0,,,,,,,577815.5,695100.9,1096479.1,976817.25,794210.25,1030846.7,
3098,619.3616319069444,9.518989,,,,92.0,,,,,,,433587.94,909757.75,0.0,498731.97,0.0,0.0,
2836,619.3617011587968,8.157947,,,,34.0,,,,,,,1269553.6,1452890.8,1135532.9,1875822.2,11041.416000000001,0.0,
3165,619.3617382969103,10.157472,,,,,,,,,,,91130.82,199396.83,0.0,88565.6,0.0,0.0,
3137,619.3617455782465,9.835785000000001,,,,,,,,,,,474418.7,1065233.5,0.0,682177.8,0.0,0.0,
512,620.2263417913738,4.599205,,,,,,,,,,,0.0,0.0,599834.25,353465.3,0.0,566075.06,
1449,620.4026394719657,5.9700489999999995,,,,85.0,,,,,,,595850.56,653434.7,853327.6,830600.9,536841.7,1111372.4,
1521,620.4026950257928,6.0853353,,,,26.0,,,,,,,1819418.4,1795893.9,2111923.0,1832361.6,1180388.4,2315581.8,
2425,621.3406155369355,7.690510300000001,,,,,,,,,,,666508.06,1028147.6,527859.0,1333441.2,0.0,0.0,
2564,621.3406190635152,7.8264337,,,,152.0,,,,,,,704648.9,985576.4,835596.94,1529181.9,0.0,6267.728,
