"","Filename","2024_POS_Anid-EV-alcA_CTRL_1_Run176.mzML","2024_POS_Anid-EV-alcA_CTRL_2_Run197.mzML","2024_POS_Anid-EV-alcA_CTRL_3_Run229.mzML","2024_POS_Anid-TJGIp4_1_Run182.mzML","2024_POS_Anid-TJGIp4_1_Run211.mzML","2024_POS_Anid-TJGIp4_1_Run232.mzML"
"1","Class","CTRL","CTRL","CTRL","EXP","EXP","EXP"
"61","933/216.0865mz/2.13min","614841.56","1156047.6","121552.78","572427.0","279706.88","695365.06"
"62","934/370.1602mz/2.13min","130333.664","628015.06","170272.81","92679.18","228454.8","0.0"
"63","936/205.0971mz/2.13min","50532.68","103981.69","10380.647","38123.414","310958.22","3321.0803"
"64","939/149.0709mz/2.13min","1340187.1","2670773.8","977791.6","689072.2","2246948.0","0.0"
"65","940/243.1338mz/2.13min","541221.9","604728.8","1022897.7","659216.4","204253.38","836701.4"
"66","943/261.1444mz/2.13min","924630.44","1126142.5","1004858.2","556879.56","345384.94","1262059.5"
"67","945/254.1862mz/2.14min","211286.7","1013238.94","960432.25","59788.715","13009.585","0.0"
"68","947/347.1448mz/2.17min","318737.0","1135459.9","279024.47","284145.66","365361.12","1020925.25"
"69","948/146.1175mz/2.14min","1193992.0","1432932.6","136448.62","86358.805","254406.17","7409013.0"
"70","949/281.1494mz/2.15min","93033.266","73610.01","305067.66","230254.61","341856.47","1601287.2"
"71","950/179.0814mz/2.15min","154251.11","365849.1","181434.84","1292638.4","6808519.5","55724.25"
"72","952/281.1132mz/2.15min","106716.266","345510.38","51834.97","2479934.0","9361433.0","328195.1"
"73","954/168.0993mz/2.13min","13131.202","4688.7812","0.0","0.0","0.0","934316.7"
"74","955/282.1184mz/2.11min","5535.0776","45604.836","153838.38","481327.28","1194737.2","72988.58"
"75","956/254.1386mz/2.14min","100796.695","117228.43","6653244.5","1160500.5","836460.75","0.0"
"76","957/207.1127mz/2.16min","231868.2","539156.25","4155.809","22876.488","277794.44","4479.6445"
"77","958/257.1132mz/2.16min","2561969.8","2949579.2","1780238.6","1677924.9","1685688.8","24564.838"
"78","962/284.1239mz/2.14min","1888947.4","2250720.0","92492.77","722432.44","761351.4","0.0"
"79","963/158.0812mz/2.16min","2670762.0","4675272.0","6221414.5","2032136.1","1555240.9","3539818.2"
"80","964/181.0859mz/2.15min","0.0","0.0","793695.8","149435.23","116602.64","0.0"
"81","966/186.1125mz/2.15min","254703.39","345902.62","688107.8","485385.78","256906.42","23460.639"
"82","968/324.1917mz/2.15min","3599872.2","3912160.8","5063895.5","2220335.5","3042736.0","235044.83"
"83","971/214.0711mz/2.16min","1125556.6","1410276.6","378223.2","895895.8","925830.0","224953.28"
"84","979/241.1546mz/2.17min","1044944.8","2057273.4","1277800.5","171108.77","636179.25","8172.638"
"85","980/190.0861mz/2.23min","357380.84","987629.75","96809.984","3279.482","12616.628","3157.1094"
