sample_name,filepath
POS_D5-211-C1-a_Run91.mzML,POS_D5-211-C1-a_Run91.mzML
POS_D5-211-C1-b_Run94.mzML,POS_D5-211-C1-b_Run94.mzML
POS_D5-211-C1-c_Run97.mzML,POS_D5-211-C1-c_Run97.mzML
POS_D5-Ctrl-a-P-EAMeOH_Run28.mzML,POS_D5-Ctrl-a-P-EAMeOH_Run28.mzML
POS_D5-Ctrl-b-P-EAMeOH_Run31.mzML,POS_D5-Ctrl-b-P-EAMeOH_Run31.mzML
POS_D5-Ctrl-c-P-EAMeOH_Run34.mzML,POS_D5-Ctrl-c-P-EAMeOH_Run34.mzML
2024_POS_Anid-p4_1_Run185.mzML,2024_POS_Anid-p4_1_Run185.mzML
2024_POS_Anid-p4_1_Run194.mzML,2024_POS_Anid-p4_1_Run194.mzML
2024_POS_Anid-p4_1_Run223.mzML,2024_POS_Anid-p4_1_Run223.mzML
2024_POS_Anid-EV-alcA_CTRL_1_Run176.mzML,2024_POS_Anid-EV-alcA_CTRL_1_Run176.mzML
2024_POS_Anid-EV-alcA_CTRL_2_Run197.mzML,2024_POS_Anid-EV-alcA_CTRL_2_Run197.mzML
2024_POS_Anid-EV-alcA_CTRL_3_Run229.mzML,2024_POS_Anid-EV-alcA_CTRL_3_Run229.mzML
