Filename,POS_TJGI15pt3_EV_alcA-Control_1_Run31.mzML,POS_TJGI15pt3_EV_alcA-Control_2_Run114.mzML,POS_TJGI15pt3_EV_alcA-Control_3_Run203.mzML,POS_TJGIp2_1_Run37.mzML,POS_TJGIp2_2_Run93.mzML,POS_TJGIp2_3_Run161.mzML
Class,CTRL,CTRL,CTRL,EXP,EXP,EXP
2546/443.3151mz/7.54min,1453958.8,1557203.9,2167321.8,894669.6,1607432.6,1286933.4
2547/143.0701mz/7.54min,364069.78,163934.94,258201.28,234000.58,290015.53,200445.48
2549/465.2969mz/7.54min,363398.34,408095.78,762643.5,71393.945,445585.94,419593.3
2551/746.496mz/7.54min,1365332.5,1434652.1,2141195.5,1633670.9,1932020.6,1669791.1
2553/572.5506mz/7.6min,1337198.8,545808.6,86363.9,682987.2,637484.1,179501.44
2554/427.3202mz/7.54min,3014391.2,2724752.5,2899546.8,1948828.6,2643872.0,2189984.5
2556/428.3242mz/7.54min,711627.2,453908.44,593395.75,662282.8,785899.75,748763.4
2557/467.3125mz/7.54min,1453167.4,950449.0,2370713.8,761568.5,1813581.6,1325622.0
2562/732.4802mz/7.55min,197670.5,476137.5,809277.3,513018.72,566155.75,484514.6
2563/420.3314mz/7.55min,425922.4,195787.75,265731.03,218216.64,260716.17,149455.42
2564/425.2869mz/7.55min,187901.77,255985.1,499427.78,94805.516,235979.6,277587.94
2565/676.454mz/7.58min,2763772.0,4030443.8,7456614.0,3736150.8,2476301.2,2211903.0
2582/702.4697mz/7.57min,228495.48,500539.53,898883.7,415843.0,290485.03,469205.38
2586/463.2811mz/7.58min,168168.27,181955.0,417820.28,50343.23,195335.95,202071.81
2591/672.5248mz/7.58min,411711.94,166778.02,147807.33,193303.23,184467.36,172057.94
2593/440.3152mz/7.58min,2353430.8,2226982.8,2875429.2,1614362.0,2322191.8,2128851.5
2594/429.3361mz/7.58min,1119161.6,1273094.2,1877780.0,584255.25,1136416.9,1237327.8
2595/600.4676mz/7.54min,926247.7,0.0,0.0,0.0,35151.637,0.0
2597/628.4985mz/7.59min,597543.44,207618.39,239229.34,288020.78,254544.77,258289.95
2598/430.3395mz/7.59min,221342.88,273250.6,447165.1,172255.97,292840.03,250482.84
2601/694.4642mz/7.59min,382513.5,338439.56,725450.8,454728.62,441394.06,440259.8
2604/547.36mz/7.6min,341133.62,303520.38,856902.25,141915.66,270625.28,258745.9
2605/584.4725mz/7.6min,752373.0,327200.16,299714.1,375926.12,338161.4,350565.34
2607/540.4464mz/7.6min,915250.06,404486.2,413096.72,454477.28,424376.0,402410.22
2612/496.4201mz/7.61min,943673.0,410699.62,424962.03,470327.34,446503.8,419435.66
2613/501.3756mz/7.61min,388334.0,362539.47,672945.7,170754.11,334668.25,447391.47
2614/364.3416mz/7.62min,389978.03,184221.42,188850.48,165929.62,228273.5,182488.6
2615/347.3151mz/7.61min,490505.2,269574.22,342572.62,233661.62,307518.3,278270.28
2618/452.3939mz/7.62min,894542.4,374940.66,405607.47,420918.22,408055.1,383106.9
