row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,2024_NEG_CC_2_Run48.mzML Peak area,2024_NEG_CC-AZA_3_Run71.mzML Peak area,2024_NEG_CC_3_Run62.mzML Peak area,2024_NEG_CC-AZA_2_Run39.mzML Peak area,2024_NEG_CC_1_Run21.mzML Peak area,2024_NEG_CC-AZA_1_Run24.mzML Peak area,
471,89.02441406587428,9.987619,,,,,,,,,,,843077.56,3239592.8,1156765.0,1166280.5,883809.94,918407.94,
29,89.02441848632196,0.42805862,,,,,,,,,,,588634.0,2434794.0,3184018.0,1230297.6,648494.4,738262.2,
528,96.9601260016637,10.622636,,,,,,,,,,,1250562.0,2527710.8,2508854.2,2471246.8,8978525.0,2482128.5,
383,100.93365215823032,8.463179,,,,,,,,,,,810787.75,615562.0,694925.1,780727.5,599070.4,471559.3,
337,100.93365233698877,8.221347,,,,,,,,,,,895883.75,486616.6,876193.0,715285.06,1755621.1,698015.8,
372,100.93365244237447,8.384427,,,,,,,,,,,822099.0,804707.7,264724.84,1534262.5,840325.1,1136880.5,
280,100.9336530424268,7.82976,,,,,,,,,,,743749.5,934693.94,2152338.0,1418729.1,661730.56,576123.56,
341,100.93365363664005,8.263218,,,,,,,,,,,1220602.0,889886.7,2495451.2,816838.94,805405.94,500521.88,
483,100.93365378661424,10.215741,,,,,,,,,,,857878.56,1219291.0,1153091.4,1345879.8,1177540.8,863283.75,
334,100.93365448940439,8.155471,,,,,,,,,,,218933.47,848658.1,1294304.0,644639.2,759258.7,225107.55,
299,100.93365612811715,7.9518094,,,,,,,,,,,1618283.8,2425631.5,1891711.1,1137083.9,1346549.8,768609.2,
363,100.93365491615913,8.309611,,,,,,,,,,,809188.0,925003.8,1675860.0,705888.8,1122458.5,1817947.9,
474,112.98567476310184,10.143777,,,,,,,,,,,1020180.7,707300.1,590013.9,635557.8,709261.4,883505.94,
491,112.98568013858795,10.276722,,,,33,,,,,,,2167654.2,3131050.0,2916501.5,2591211.0,2314974.2,2298860.0,
10,112.98568157971857,0.34015206,,,,4,,,,,,,3591475.2,3585582.2,3492552.5,3626545.5,3645057.2,3712209.5,
431,115.92075421120751,8.923446,,,,,,,,,,,2873669.8,3327498.5,1032670.6,1004998.4,791375.9,661455.1,
482,115.92075601612704,10.213384,,,,35,,,,,,,3960577.8,3539813.0,3447992.5,2510284.0,3631693.0,3938107.0,
272,115.92076235980339,7.6840777,,,,,,,,,,,868638.5,1038921.9,2367393.0,1145857.6,1454585.4,610408.9,
349,115.92076299213515,8.281497,,,,5,,,,,,,1.1631265E7,7246739.5,1.0189245E7,9779819.0,1.5939919E7,1.00643E7,
313,115.92076538156583,7.9460945,,,,7,,,,,,,4280714.5,5308684.5,5161455.5,5019859.5,5215941.5,6886082.0,
285,115.92076565342221,7.841148,,,,19,,,,,,,3592083.5,3288127.5,5494121.0,3474899.8,5156863.0,4219767.5,
484,116.9209096470039,10.219702,,,,35,,,,,,,440937.75,432167.47,161112.22,270876.12,394905.2,430022.88,
504,116.9285687117132,10.35905,,,,,,,,,,,1446841.0,1498037.6,1409579.6,988630.1,1521580.0,1570950.6,
230,116.9285709779498,7.2987614,,,,,,,,,,,839607.25,728544.7,425759.62,674096.06,631202.44,499565.2,
270,116.92857725977211,7.6843333,,,,25,,,,,,,2529460.8,1699510.0,2993136.2,2782463.8,3511324.0,2935219.8,
32,117.01935401920376,0.6485308,,,,60,,,,,,,661157.56,765203.75,2601133.2,2786563.0,3566065.5,2499187.0,
30,119.01713665534452,0.5862842,,,,,,,,,,,1181549.6,1183383.9,1165489.1,1163975.2,1138258.4,1159108.0,
31,121.03276249083932,0.6510734,,,,60,,,,,,,1982424.4,1966308.6,1873149.6,1908714.0,1837446.2,1870196.4,
267,122.97577353366512,7.6816425,,,,,,,,,,,86957.734,87786.11,93194.33,123662.72,129808.84,111116.58,
439,122.97578143513157,9.002906,,,,,,,,,,,356743.38,437114.5,360409.03,324508.25,470112.53,460520.06,
289,122.97578191445632,7.8745904,,,,,,,,,,,130429.98,124214.46,108767.945,84732.375,190800.8,163292.45,
303,122.97578225415452,7.9460435,,,,,,,,,,,188347.1,180020.6,236951.31,229193.52,259761.42,235983.45,
357,122.9757888226085,8.284522,,,,,,,,,,,171340.14,154153.67,199805.2,221136.05,277312.34,213675.27,
152,132.867860726659,6.671692,,,,,,,,,,,184999.98,52995.402,414644.2,1816332.5,363324.84,416818.6,
481,132.86786749622829,10.209497,,,,59,,,,,,,151837.06,155630.27,147972.39,171871.58,170056.88,164697.1,
509,132.8678724779845,10.472669,,,,,,,,,,,616797.6,685106.2,668216.25,1169088.0,690288.9,1107847.9,
229,134.8946642952681,7.3022037,,,,,,,,,,,532409.44,590072.9,694814.2,333015.47,973941.6,572720.2,
274,134.89467609469153,7.6901746,,,,25,,,,,,,2294143.8,2272006.5,2298602.8,2094517.8,2403186.8,2434642.2,
258,134.89467630822878,7.562077,,,,0,,,,,,,2061461.2,2008859.0,1914831.9,1879615.0,2355043.2,2256191.0,
370,134.89467842526238,8.387477,,,,16,,,,,,,1840936.1,1297688.6,2364712.2,1366113.2,1913497.9,1844235.0,
294,134.89468039450642,7.8583145,,,,19,,,,,,,1313725.6,1368221.5,1422707.4,1397508.8,1313767.5,1478350.9,
358,134.8946810440522,8.292375,,,,5,,,,,,,3577977.2,4444268.0,5017768.0,3857606.2,5096363.0,4694928.0,
320,134.89468271294606,7.9678035,,,,7,,,,,,,2377956.5,2166331.2,2567694.0,2211534.5,2651161.5,2611009.8,
326,134.89468439057654,8.062149,,,,11,,,,,,,1925549.8,1415502.1,1645648.4,1207261.2,1968338.2,1541259.1,
16,139.03241968717418,0.37295273,,,,24,,,,,,,2217412.5,2321928.8,2176526.2,2304656.2,2269139.2,2362623.5,
479,144.92346708950302,10.20605,,,,35,,,,,,,1865728.2,2235362.8,1990688.0,1440212.8,1843753.1,2168577.8,
284,144.92347194983418,7.8411365,,,,19,,,,,,,2571170.5,1868924.5,2811093.0,2508999.5,3223718.5,2771148.8,
350,144.92347364530693,8.281508,,,,5,,,,,,,7705497.0,8073605.5,7372342.0,5064005.0,8339973.0,7089198.0,
314,144.92347377394609,7.9460945,,,,7,,,,,,,2621249.8,2392320.5,3623765.0,2329410.5,3009317.8,2556708.8,
510,160.84198220762053,10.473588,,,,1,,,,,,,257094.9,268882.97,296139.72,329044.7,307263.28,344290.44,
276,161.91356913557783,7.7009196,,,,25,,,,,,,414419.94,801072.25,730192.1,311315.25,413790.38,392900.03,
257,161.91357009070413,7.555902,,,,0,,,,,,,455602.4,427044.4,358223.8,276173.12,571088.25,321344.75,
281,161.91357443383947,7.83067,,,,19,,,,,,,313101.78,303462.2,322473.06,240593.25,363944.34,304821.7,
373,161.91357447655332,8.4102545,,,,16,,,,,,,1064480.1,1090653.1,1150611.6,763625.8,902665.4,881333.9,
362,161.91357586029233,8.305812,,,,5,,,,,,,905500.25,1142229.5,1320749.2,1046007.25,1030833.75,1194035.6,
318,161.91357661116476,7.965339,,,,7,,,,,,,360505.9,376975.38,429453.44,334343.78,431427.06,388774.38,
511,162.83905573499297,10.473588,,,,1,,,,,,,258142.45,267388.8,304972.44,328169.28,309871.12,354462.22,
525,163.98607570619723,10.591871,,,,26,,,,,,,1949330.1,2151019.8,2262011.5,1757440.1,1919530.4,2077353.9,
500,180.9729874066015,10.274617,,,,,,,,,,,106157.85,96364.28,94659.36,58986.336,104904.79,94906.88,
11,180.97300694881395,0.3400861,,,,,,,,,,,298985.84,292936.78,345973.62,330338.2,357168.06,354204.3,
440,180.98119288097402,9.007987,,,,,,,,,,,348261.06,314182.6,366183.97,340442.34,262951.22,403515.25,
304,180.98119505997457,7.9423523,,,,,,,,,,,203267.44,210886.39,295909.3,291959.44,234355.89,268460.25,
346,180.9812053198142,8.283488,,,,,,,,,,,195598.72,247074.38,313835.38,326585.12,221794.52,326972.53,
15,185.0762225254117,0.36920872,,,,24,,,,,,,765407.25,744811.9,742511.3,771647.2,714618.9,810120.3,
413,186.90575499601815,8.750558,,,,20,,,,,,,4949710.0,4549202.0,4821247.0,4423181.0,5738327.5,5344269.0,
436,186.97061813096386,8.98727,,,,,,,,,,,799944.06,843975.0,779927.56,427229.22,800297.25,796568.06,
269,186.97063031010532,7.6842694,,,,25,,,,,,,228435.4,235979.97,247537.62,257217.86,264990.75,264018.72,
327,186.97063197117097,8.061921,,,,11,,,,,,,285906.47,221490.81,207863.12,319735.9,318090.03,234969.56,
288,186.97063773345803,7.842226,,,,19,,,,,,,355512.16,360951.66,393394.06,396372.97,395209.28,350748.25,
375,186.9706390618328,8.398006,,,,,,,,,,,826025.6,656486.4,486124.03,1250290.1,350417.66,688647.3,
