Filename	Class
2024_NEG_CC_1_Run21.mzML	CTRL
2024_NEG_CC_2_Run48.mzML	CTRL
2024_NEG_CC_3_Run62.mzML	CTRL
2024_NEG_CC-AZA_1_Run24.mzML	EXP
2024_NEG_CC-AZA_2_Run39.mzML	EXP
2024_NEG_CC-AZA_3_Run71.mzML	EXP
