"","filter","NEG_TJGI2pt1_EV_gpdA_CTRL_1_Run14.mzML","NEG_TJGI2pt1_EV_gpdA_CTRL_2_Run144.mzML","NEG_TJGI2pt1_EV_gpdA_CTRL_3_Run195.mzML","NEG_TJGIp8_1_Run20.mzML","NEG_TJGIp8_2_Run85.mzML","NEG_TJGIp8_3_Run207.mzML"
"2592/413.3635mz/8.91min",372441.35,2705380.2,381538.3,130891.35,1944624,363344.4,239485.34
"2593/400.3512mz/8.92min",109481.31,596902.9,132290.67,12444.2914,496885.94,62221.457,86671.95
"2595/684.402mz/8.91min",253987.34,784106.25,276189.16,15915.961,843358.1,231785.52,69664.18
"2596/799.5772mz/8.9min",920827.45,2290150,926214.2,616832.5,2315664,915440.7,586337.9
"2597/786.5739mz/8.91min",188534.18,608981.75,337689.1,166167.2,162906.45,210901.16,160519.64
"2599/397.3686mz/9.0min",2870934.5,2809679.8,2932189.2,1833514,3801445.5,3040165.2,2676445.2
"2600/491.3408mz/8.96min",1439.4744,7197.372,1439.4744,1439.4744,161039.12,1439.4744,1439.4744
"2602/790.5612mz/9.03min",410343.23,5160853.5,419067.3,126520.9,5544668.5,401619.16,141287.33
"2604/754.5837mz/9.05min",1350995.5,3350884,1333455,655661.3,3358250.2,1368536,662930.5
"2605/800.5897mz/9.06min",4220799,10310723,4252961,2670109,9379292,4188637,2554621.8
"2606/817.5798mz/9.07min",450033.285,5241414,501531.97,129739.8,4072123,398534.6,162257.2
"2607/383.3531mz/9.16min",137617.05,164528.03,192589.11,53962.977,190038.3,110706.07,90965.32
"2608/652.3844mz/9.19min",33166.76,292655.12,33166.76,33166.76,165833.8,33166.76,33166.76
"2609/662.4126mz/9.18min",2080.25652,501956.6,3467.0942,693.41884,200267.69,693.41884,693.41884
"2611/815.5644mz/9.2min",46255.1,262096.44,46255.1,46255.1,231275.5,46255.1,46255.1
"2612/788.5457mz/9.21min",40903.322,204516.61,40903.322,40903.322,253863.25,40903.322,40903.322
"2613/411.3843mz/9.23min",1942297.2,2860158.5,2110973.2,1229354.8,2947287.5,1762484.5,1773621.2
"2614/591.4269mz/9.23min",301238.59,255801.92,331040.8,271436.38,269219.34,467259.38,567995.8
"2617/413.3637mz/9.26min",49312.8565,584261.06,50971.293,9530.884,600002.44,47654.42,9530.884
"2618/399.3479mz/9.26min",215166.165,652106,228429.38,100026.445,526311,201902.95,186586.38
"2619/603.3307mz/9.26min",201818.11,40247.372,201236.86,202399.36,40247.372,217501.55,506760.3
"2620/383.353mz/9.25min",196573.615,362341.3,167337.7,3414.1968,271756.5,225809.53,34468.316
"2622/619.3618mz/9.26min",84247.348,3482.9492,158501.62,346188.12,3482.9492,17414.746,151079.95
"2623/698.6305mz/9.28min",450244.33,416122.28,530929.06,335362.12,1761292.6,484366.38,409353.94
"2624/626.4924mz/9.26min",223750.91,736585.7,221385.6,40969.914,607276.06,226116.22,61789.05
"2625/653.5115mz/9.26min",220969.235,1061845.2,222241.02,33786.016,1074093.5,219697.45,58637.758
"2626/636.5212mz/9.26min",447285.62,674714.1,447573.34,310731.3,664284.44,446997.9,324613.53
