Filename,NEG_TJGI15pt3_EV_alcA-Control_1_Run32.mzML,NEG_TJGI15pt3_EV_alcA-Control_2_Run115.mzML,NEG_TJGI15pt3_EV_alcA-Control_3_Run204.mzML,NEG_TJGIp1_1_Run35.mzML,NEG_TJGIp1_2_Run100.mzML,NEG_TJGIp1_3_Run186.mzML
Class,CTRL,CTRL,CTRL,EXP,EXP,EXP
90/218.1033mz/2.11min,1986247.5,2228749.8,2710956.0,3045476.5,2666303.5,2565355.0
91/118.051mz/2.15min,0.0,195165.86,94600.55,222999.42,1115729.0,29674.43
92/181.0718mz/2.16min,0.0,101039.81,4511.799,563570.2,752069.6,5162.7354
93/117.0194mz/2.15min,0.0,0.0,0.0,138495.0,8145.0547,12548.223
94/457.1867mz/2.18min,0.0,0.0,4478.738,163431.19,0.0,0.0
95/501.1766mz/2.19min,0.0,0.0,295982.34,200691.88,19480.76,0.0
96/145.0506mz/2.14min,1106338.2,1026941.06,1326368.9,2172103.0,1416942.1,1931340.9
98/118.051mz/2.21min,0.0,390735.03,150826.5,193586.95,270702.5,29674.43
101/158.0822mz/2.37min,233479.2,274345.84,332609.88,362402.9,487012.16,440648.0
102/194.0458mz/2.39min,1609258.8,1813843.2,2139740.0,2343195.0,2245855.8,2311565.5
103/144.0455mz/2.4min,1157537.1,1319045.4,1455662.1,945199.2,895503.56,850120.3
104/188.0353mz/2.41min,1692900.9,2059580.0,2387149.5,1398898.5,1427886.9,1456271.2
105/136.0404mz/2.41min,818329.06,652536.8,773130.7,1032937.44,848403.44,901388.8
106/175.0612mz/2.44min,1486586.5,1411843.0,1914304.5,2123895.0,1668593.5,1408355.6
107/139.0401mz/2.46min,592632.4,642751.44,742142.7,460361.25,439102.38,395758.88
108/118.051mz/2.42min,0.0,169581.36,151855.11,199589.66,223977.55,155663.58
109/172.098mz/2.55min,30476.516,38202.93,54200.137,35016.137,62500.316,38923.547
110/228.0878mz/2.57min,753315.44,417336.62,498275.94,763329.2,559524.0,410979.53
111/121.0295mz/2.58min,638061.44,818958.6,839435.0,989035.7,1173080.0,1003757.3
