row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,Anid_HE_TJG15pt3_EV_alcA_CTRL_2_YT_neg_20210511_Run103.mzML Peak area,NEG_TJGIp1_3_Run180.mzML Peak area,Anid_HE_TJG15pt3_EV_alcA_CTRL_3_YT_neg_20210511_Run213.mzML Peak area,NEG_TJGIp1_1_Run50.mzML Peak area,NEG_TJGIp1_2_Run106.mzML Peak area,Anid_HE_TJG15pt3_EV_alcA_CTRL_1_YT_neg_20210511_Run47.mzML Peak area,
96,88.04026362199335,0.538752,,,,,,,,,,,91295.27,857664.25,338619.9,72486.19,203997.9,90010.97,
116,88.04029166849385,0.7180445,,,,,,,,,,,456383.2,993846.4,989112.2,498015.1,539442.06,585715.7,
87,89.02429029637864,0.49199542,,,,,,,,,,,1660261.8,1309102.9,830452.7,1392260.1,495635.22,1366710.8,
1869,89.02429039208272,10.104991,,,,,,,,,,,163013.06,217666.1,149071.67,81860.01,135101.22,182463.03,
863,96.96001056762704,5.9127746,,,,,,,,,,,126501.34,87316.94,177104.88,354689.12,387646.7,283255.4,
76,96.96005476994857,0.3952256,,,,9,,,,,,,2541781.2,2845091.0,2650324.5,3062168.8,2887424.2,3260733.2,
1959,96.96007281040191,11.014946,,,,,,,,,,,4050748.8,4023127.5,4104334.0,3799044.2,3999893.2,3889300.5,
39,96.96953794356516,0.37621948,,,,9,,,,,,,1625291.4,2973941.2,4728973.5,1946706.6,2103070.2,2893399.2,
1883,99.92574700531272,10.202954,,,,44,,,,,,,1649868.4,2420310.8,2710582.2,2345116.5,2828225.5,2433098.2,
1701,99.92575714552237,8.131375,,,,,,,,,,,4694616.5,3.1797848E7,6447098.5,6219093.5,3628474.2,4811364.0,
1772,99.92576039937255,8.458552,,,,,,,,,,,2.9042012E7,5893581.5,3.5411612E7,3.5452788E7,3.4024456E7,3.24225E7,
95,102.01964014754459,0.4450645,,,,,,,,,,,1193524.8,1468108.0,370650.84,1432484.0,1428396.0,1204904.2,
53,102.01964951866513,0.38064063,,,,9,,,,,,,1873820.6,3207609.8,2772828.2,1926820.4,1977890.1,1789286.1,
72,103.00366693633788,0.38903117,,,,9,,,,,,,2939115.0,3302637.5,2716860.8,3008348.0,3048238.8,2961933.8,
71,104.03530421996295,0.37689102,,,,,,,,,,,150388.44,1378889.6,1636392.5,125860.54,281261.2,378608.88,
1779,106.04102433230624,8.566149,,,,,,,,,,,57854.9,73224.59,33491.09,24960.895,701598.8,0,
1757,106.0410255313345,8.357828,,,,,,,,,,,108235.11,98365.016,91681.72,0,115564.53,3916.3384,
1775,106.0410305736352,8.441923,,,,,,,,,,,108235.11,148972.34,237947.67,9732.035,995838.5,0,
1870,106.04103230651457,10.15562,,,,,,,,,,,106008.625,358043.66,742379.5,10972.1875,1151204.2,45287.03,
1846,106.04105146577285,9.4551735,,,,,,,,,,,39555.54,60030.22,414620.0,15535.767,438970.84,29295.402,
1867,106.04105253169807,9.902514,,,,,,,,,,,55972.906,86913.375,95149.67,10171.137,516131.53,4938.593,
1855,106.04105351508277,9.696548,,,,,,,,,,,48498.055,137964.95,74054.78,13598.211,543801.94,5405.612,
1857,106.04105891505723,9.746152,,,,,,,,,,,55972.906,137964.95,567960.06,10897.219,98064.92,5405.612,
1868,106.04106341928379,9.98687,,,,,,,,,,,97006.05,86913.375,593398.25,4319.577,198738.44,17473.604,
226,107.05022806012668,2.7638433,,,,87,,,,,,,500641.3,520671.2,457783.1,519251.97,671308.75,552512.7,
92,111.01996305307107,0.45179775,,,,,,,,,,,1842369.2,5090931.5,1271950.8,4608253.0,4610263.5,4645060.5,
44,111.01996554535329,0.37839448,,,,9,,,,,,,5517305.5,2.1600636E7,1.7275846E7,7012893.0,6755120.0,5733625.0,
315,111.01999270406715,3.2298708,,,,,,,,,,,4274.1357,97141.63,9202.344,101796.17,3318.4812,4951.789,
137,111.0200049912903,0.8879214,,,,,,,,,,,198146.72,947536.4,69631.09,100602.98,195216.08,58617.2,
167,111.0200049624108,2.2004356,,,,,,,,,,,42644.79,118485.61,73903.02,0,186283.08,0,
151,111.02002102587225,1.2712358,,,,,,,,,,,67655.445,203350.34,171022.0,0,0,0,
146,111.02002785813629,0.98811036,,,,,,,,,,,398535.03,155702.62,160359.77,7822.4707,160438.12,3646.1504,
1910,112.98558441635062,10.2422,,,,,,,,,,,6945334.0,8062141.0,7635184.5,7106704.0,6965772.0,7058290.5,
1939,112.98561155112812,10.465687,,,,,,,,,,,4320333.0,4762471.0,5078801.0,4946216.0,4591095.5,4717210.0,
1890,113.92618372636792,10.2047205,,,,,,,,,,,492191.2,458490.44,508610.88,541453.75,553865.75,367509.0,
1547,113.92619572769082,7.717434,,,,15,,,,,,,1775670.1,609266.7,1306854.4,1745661.8,1086843.1,1181205.2,
