Filename	Class
Anid_HE_TJG15pt3_EV_alcA_CTRL_1_YT_neg_20210511_Run47.mzML	CTRL
Anid_HE_TJG15pt3_EV_alcA_CTRL_2_YT_neg_20210511_Run103.mzML	CTRL
Anid_HE_TJG15pt3_EV_alcA_CTRL_3_YT_neg_20210511_Run213.mzML	CTRL
NEG_TJGIp1_1_Run50.mzML	EXP
NEG_TJGIp1_2_Run106.mzML	EXP
NEG_TJGIp1_3_Run180.mzML	EXP
