Filename,2024_NEG_CC_1_Run21.mzML,2024_NEG_CC_2_Run48.mzML,2024_NEG_CC_3_Run62.mzML,2024_NEG_CC-VPA_1_Run27.mzML,2024_NEG_CC-VPA_2_Run36.mzML,2024_NEG_CC-VPA_3_Run77.mzML
Class,CTRL,CTRL,CTRL,EXP,EXP,EXP
237/421.2264mz/7.22min,1746980.5,1348720.8,1459535.8,1637667.2,1435687.2,1377063.9
238/717.5272mz/7.25min,0.0,256765.84,5883.085,12528776.0,8136934.5,0.0
239/271.2279mz/7.23min,110824.055,19309.414,44293.64,95181.6,50657.855,43215.395
240/750.5292mz/7.18min,0.0,5020343.5,55678.727,1139080.9,5737058.5,0.0
241/1085.2288mz/7.26min,67479.6,73314.74,73343.67,111541.7,214546.31,95382.195
242/744.5555mz/7.26min,0.0,4821.8706,0.0,7184281.5,455738.28,18528.908
243/910.182mz/7.25min,812440.2,670823.94,695453.3,560848.06,826751.2,687431.2
245/893.1918mz/7.27min,959961.4,949905.25,798476.25,1209526.8,1362063.9,758854.56
248/974.1942mz/7.3min,526122.8,403348.22,248745.39,278062.62,619404.2,291884.7
249/122.9758mz/7.29min,72485.89,61945.95,71934.92,84115.82,116997.75,84562.08
250/116.9286mz/7.3min,631202.44,829822.5,425759.62,641660.1,322768.66,734715.25
251/327.127mz/7.3min,684717.25,428707.94,579598.2,302830.34,353556.5,692630.56
252/161.9136mz/7.3min,224222.55,355853.28,323736.1,251701.9,200753.34,498654.12
255/957.2041mz/7.31min,986759.4,949056.3,790959.75,1084529.0,1200200.0,761708.1
256/134.8947mz/7.31min,993838.3,489083.0,694814.2,552781.94,318949.56,1080423.6
257/701.1543mz/7.33min,192599.95,165374.25,139067.83,193354.83,212218.11,135075.84
258/1021.2165mz/7.33min,734050.25,698108.94,589618.4,829670.06,956676.94,709042.94
259/245.8947mz/7.32min,12518.979,0.0,147436.88,0.0,0.0,12988.439
260/1085.2287mz/7.36min,368293.34,387518.88,190771.92,496288.3,690963.9,363187.4
261/195.8109mz/7.36min,0.0,0.0,212913.92,0.0,0.0,0.0
262/197.8079mz/7.36min,0.0,0.0,278545.7,0.0,0.0,0.0
263/243.8996mz/7.32min,123518.81,42743.773,358852.88,5480.995,0.0,117783.03
264/765.1668mz/7.36min,308910.38,327568.9,251471.95,394274.72,470131.16,270511.8
265/782.157mz/7.36min,182637.08,117734.69,146332.42,82132.21,105146.48,119453.76
266/846.1694mz/7.4min,240288.77,171629.27,204489.31,132929.38,154865.25,172116.73
267/829.1793mz/7.4min,359697.16,332707.75,217189.1,589805.5,673391.25,416186.7
268/711.457mz/7.42min,2306088.8,683428.25,1987839.0,765889.44,1609427.2,2169580.8
269/694.4669mz/7.42min,17336508.0,8635586.0,15176437.0,11286238.0,15223730.0,16446489.0
270/447.3074mz/7.44min,169792.36,130127.86,174851.34,104522.42,168681.47,97155.74
271/430.3172mz/7.43min,272284.72,269242.6,276016.75,230680.2,302004.3,290061.34
272/910.1821mz/7.43min,245553.72,194867.58,191937.72,119959.2,160472.84,175239.45
273/893.1917mz/7.44min,486137.25,463943.2,394202.44,546604.1,666706.7,421829.88
274/974.194mz/7.43min,148274.03,147046.16,104475.445,128687.58,131305.53,130251.266
275/957.204mz/7.46min,577123.25,509992.34,492055.88,542270.06,623711.56,458680.78
276/1021.2165mz/7.48min,537783.75,440395.12,415731.0,481544.3,606356.1,414949.97
277/1085.2287mz/7.5min,446150.5,370747.03,342866.28,424390.78,462077.8,344981.75
278/430.3172mz/7.52min,476947.94,239915.45,319809.8,247421.69,438852.3,444236.6
279/447.3075mz/7.54min,421367.6,214176.55,308145.88,236610.62,475994.56,452917.72
280/161.9136mz/7.55min,571088.25,455602.4,358223.8,393974.44,162741.16,307033.97
281/134.8947mz/7.56min,2355043.2,2061461.2,1914831.9,2032400.0,1969600.0,2154318.8
283/501.3546mz/7.59min,2889139.2,1496521.6,2334772.8,2005145.1,4045832.0,3343223.2
284/455.2106mz/7.68min,1022370.25,546547.8,801581.94,569578.44,697878.9,812395.6
285/484.3644mz/7.6min,1209560.2,590624.4,917544.1,725194.0,1329426.2,1345375.5
286/299.2592mz/7.6min,517657.3,297108.78,436065.16,319841.62,480607.44,479522.66
289/1021.2164mz/7.65min,64254.15,49001.37,35558.46,63769.91,74181.484,40667.26
290/400.3066mz/7.72min,111307.56,66022.375,71533.32,46504.94,137534.92,97059.32
292/122.9758mz/7.68min,129808.84,86957.734,93194.33,103127.27,135368.66,96292.75
293/186.9706mz/7.68min,264990.75,228435.4,247537.62,256957.2,286210.38,274830.1
294/116.9286mz/7.68min,3511324.0,2529460.8,2993136.2,2349295.2,2801638.5,3101158.2
297/716.5239mz/7.66min,0.0,11403737.0,111853.65,4079328.5,2539394.8,0.0
299/115.9208mz/7.69min,1454585.4,868638.5,2500541.5,787614.6,1005673.44,1876759.4
300/134.8947mz/7.69min,2403186.8,2294143.8,2298602.8,2232594.5,2031596.9,2330999.8
302/161.9136mz/7.7min,413790.38,414419.94,730192.1,387027.62,331353.38,399110.0
303/744.5549mz/7.69min,0.0,0.0,7758.742,1100682.0,388623.12,2224616.2
305/720.4824mz/7.78min,601669.75,533374.06,890286.0,896041.4,1227639.2,1020251.2
306/299.2592mz/7.77min,96527.62,12159.191,20990.783,34971.555,35941.83,28259.855
307/400.3066mz/7.79min,434920.88,255183.19,322638.5,195429.66,569193.2,451444.66
308/742.5395mz/7.83min,0.0,56834.38,73665.66,1702614.9,144329.84,0.0
309/161.9136mz/7.82min,363944.34,313101.78,322473.06,291315.25,175249.67,318352.75
310/100.9337mz/7.87min,661730.56,769004.25,2152338.0,828571.44,395754.72,1648398.4
312/186.9706mz/7.84min,395209.28,355512.16,393394.06,332475.9,433238.47,455381.2
314/578.3829mz/7.84min,537635.8,281214.78,451221.06,291504.88,332151.06,431047.8
315/355.1579mz/7.84min,5181977.5,2858076.0,3674641.2,2386278.5,4417338.0,4941851.5
316/122.9758mz/7.84min,190800.8,130429.98,159934.86,127569.375,189688.38,203329.02
318/144.9235mz/7.84min,3223718.5,2571170.5,2811093.0,2032440.2,1939088.8,3144959.8
319/115.9208mz/7.84min,5156863.0,3592083.5,5494121.0,3784991.0,3903112.2,4921309.5
320/703.5632mz/7.86min,204662.1,126549.28,147436.88,125314.11,114976.984,195949.77
321/685.501mz/7.86min,196996.38,118310.266,140590.67,140052.8,222171.52,189165.1
323/134.8947mz/7.86min,1313767.5,1313725.6,1422707.4,1523772.4,1344362.2,1324460.2
324/485.0688mz/7.88min,306508.16,147465.42,229652.33,189939.84,327479.16,267238.75
325/634.4456mz/7.9min,17272704.0,9653180.0,14152182.0,10389074.0,13277323.0,14376757.0
326/100.9337mz/7.93min,1346549.8,1618283.8,1891711.1,1007832.44,1683288.4,724447.0
329/567.4017mz/7.93min,644376.44,375720.56,402892.1,557546.6,603389.6,579372.44
330/685.501mz/7.93min,1384855.6,1021663.5,1071591.6,1265505.1,1280526.5,1270697.4
331/573.4122mz/7.93min,218183.5,250649.98,288354.66,401444.56,272526.88,255215.31
332/196.9761mz/7.94min,397171.75,284121.3,391864.66,338237.03,422735.2,200643.03
333/281.2486mz/7.94min,400204.72,137909.22,223156.5,148018.36,369818.0,446126.6
334/668.5111mz/7.94min,517202.06,173843.86,257369.77,206515.2,427018.6,485025.6
335/180.9812mz/7.94min,234355.89,203267.44,295909.3,253991.86,225356.84,323915.0
336/122.9758mz/7.94min,259761.42,188347.1,236951.31,191375.86,266759.56,282691.06
338/742.5395mz/7.98min,0.0,360670.0,0.0,3161870.2,497182.88,0.0
339/383.1776mz/7.94min,487479.2,254442.86,327749.84,248230.9,386174.28,437118.47
