row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,NEG_TJGIp2_2_Run94.mzML Peak area,NEG_TJGIp2_1_Run38.mzML Peak area,NEG_TJGI15pt3_EV_alcA-Control_2_Run115.mzML Peak area,NEG_TJGI15pt3_EV_alcA-Control_3_Run204.mzML Peak area,NEG_TJGIp2_3_Run162.mzML Peak area,NEG_TJGI15pt3_EV_alcA-Control_1_Run32.mzML Peak area,
1820,114.93407118580632,8.449073,,,,,,,,,,,801979.6,3760824.2,422932.5,516047.4,443318.97,1215000.2,
1717,114.93408485938569,8.138762,,,,37,,,,,,,2297197.0,801448.3,2845032.8,1058015.1,2803472.5,5101859.5,
46,115.00366468956285,0.4430695,,,,,,,,,,,1230283.6,2391207.2,1136219.5,1590499.5,1091288.6,1034208.5,
53,115.0036752116268,0.5885546,,,,,,,,,,,2782522.5,1166062.8,997750.25,1799291.5,2485717.0,971877.25,
1966,115.92066704008852,10.205868,,,,,,,,,,,6808459.0,8178953.5,1.0077798E7,9312156.0,1.1343119E7,1.044654E7,
1824,115.92069489431378,8.452237,,,,,,,,,,,2.9239858E7,8.5958504E7,2.5680346E7,2.3012684E7,3.06252E7,3.6375332E7,
1511,115.92069698129166,7.721105,,,,,,,,,,,2.4810974E7,2.4768214E7,2.7283852E7,2.7164256E7,1.7736134E7,3.285315E7,
1684,115.92071244118017,8.134525,,,,37,,,,,,,9.5541176E7,1.8625582E7,9.887254E7,1.2384254E8,1.2012322E8,6.1733464E7,
1830,116.92842036374243,8.455753,,,,,,,,,,,1.8080808E7,6.858747E7,1.5277937E7,1.2796666E7,9252269.0,2.5459184E7,
1423,116.92847105949157,7.6820045,,,,72,,,,,,,4.3889884E7,2.412311E7,5.6168676E7,4.131808E7,4.6172572E7,3.63984E7,
1281,116.92847301955516,7.4448285,,,,22,,,,,,,1.3571461E7,6881232.0,1.476253E7,1.9421652E7,1.7357244E7,9747965.0,
299,117.0191823293195,4.6710777,,,,18,,,,,,,69353.46,66162.44,187922.3,214891.25,57508.15,169803.77,
57,117.01931955792587,0.64619553,,,,147,,,,,,,1.1413819E7,8004940.5,6385702.5,1.2741838E7,1.1111993E7,6860707.5,
68,117.01933568735278,0.7833679,,,,,,,,,,,133371.28,298971.25,126052.14,190668.66,107248.15,71057.95,
71,117.01935717063229,1.0220655,,,,,,,,,,,12706.732,136690.86,4234.626,64807.89,26662.756,3801.5571,
1724,117.91901517802053,8.141149,,,,37,,,,,,,659654.4,535857.44,2776061.8,550085.9,3000393.2,1773235.6,
1714,117.9285528615681,8.13621,,,,37,,,,,,,2759831.5,8240798.0,5262752.0,2363742.0,5635172.0,5625166.0,
1960,117.92855568158637,10.2033205,,,,,,,,,,,978447.44,887466.2,819766.56,752680.06,1034388.44,1127822.2,
1421,117.92859814099448,7.6819286,,,,72,,,,,,,5012895.0,2541000.2,4363894.5,5014686.5,5311994.0,4010835.8,
16,118.05094219480661,0.3699825,,,,58,,,,,,,2.896254E7,1.535222E7,2.7042488E7,6.3234904E7,5.027902E7,1.9902292E7,
110,118.05096206850119,2.9167497,,,,,,,,,,,94903.25,12173.205,282126.3,42014.984,3698.189,117083.08,
65,118.05096294865434,0.7735131,,,,,,,,,,,199471.23,1234305.5,480984.97,400237.53,971216.4,555272.9,
548,118.05096509604986,5.538894,,,,,,,,,,,200277.3,156593.3,174502.6,54993.25,111115.19,273063.56,
79,118.05097534552849,2.2817597,,,,,,,,,,,4672.626,20242.262,390735.03,150826.5,27540.13,0,
1949,118.89962348236175,10.155652,,,,,,,,,,,292801.28,2556506.8,174476.28,120262.13,204546.75,2878522.5,
1686,118.92676541842968,8.132895,,,,37,,,,,,,1282775.2,365737.47,1336505.1,241592.83,1313500.0,1617408.1,
1453,118.9267840281048,7.682817,,,,72,,,,,,,1257093.4,330726.7,1044094.7,1232821.8,1371146.4,704681.25,
13,119.05418296357998,0.3707544,,,,,,,,,,,1210211.9,571410.75,990192.5,2099755.0,1431140.9,528868.25,
8,119.9468578847301,0.35051498,,,,58,,,,,,,1643280.5,1757780.1,1439877.9,1809008.1,1627141.6,1617925.6,
120,120.04544879739946,3.0524523,,,,124,,,,,,,485681.4,512329.66,548120.7,624624.94,449961.62,490706.8,
140,121.02949392792115,3.3257034,,,,,,,,,,,96801.414,0,158534.05,54215.19,96860.414,0,
93,121.02950675002319,2.5749774,,,,,,,,,,,997937.56,776410.06,818958.6,839435.0,925385.8,638061.44,
7,121.94396033637277,0.34973648,,,,58,,,,,,,536827.2,580647.44,469841.75,607113.2,534545.0,532485.1,
152,125.09711644370422,3.4496489,,,,128,,,,,,,759849.0,843118.1,917931.3,1027148.06,809364.0,1031570.2,
27,128.03525765118422,0.38491225,,,,58,,,,,,,1065846.9,962081.7,1201806.6,2599376.5,1664557.6,748944.7,
54,128.03527351462876,0.6038792,,,,,,,,,,,4452946.5,1768809.2,1730863.5,3759399.8,3654442.5,2531466.5,
61,130.0872706856596,0.73080397,,,,,,,,,,,2246380.2,627909.2,813108.75,2582480.5,1877992.2,679894.25,
109,130.08731993291246,2.907149,,,,,,,,,,,374564.12,180169.22,202936.02,204167.9,116956.97,166496.08,
90,130.08732009340335,2.5692966,,,,,,,,,,,340982.8,41925.414,139935.44,172575.66,57842.273,38307.04,
100,131.07133941892533,2.7822597,,,,122,,,,,,,3467577.0,3689142.0,3590300.8,4442848.0,3658365.2,4101108.8,
1953,132.90016478973845,10.176433,,,,,,,,,,,332554.34,1337728.6,193047.8,175478.53,280463.4,1659142.5,
1524,132.90017229287602,7.7797723,,,,,,,,,,,66367.22,372117.06,148681.83,43801.043,48706.492,922147.1,
1346,132.9001743657303,7.60009,,,,,,,,,,,31815.086,173465.47,155480.11,80660.95,144554.11,709775.4,
1828,132.92337404953182,8.451511,,,,,,,,,,,669697.25,2445950.8,547441.25,466099.9,558338.1,2931520.0,
1961,132.92338422421935,10.206882,,,,,,,,,,,360113.6,275931.8,349965.44,310968.97,398627.6,353376.7,
1504,132.92339956696264,7.704313,,,,92,,,,,,,1277163.4,813020.94,1345983.0,1098326.8,1533471.4,1296432.1,
1729,132.92340037900854,8.138685,,,,37,,,,,,,2401045.2,734333.9,2367563.8,4332090.5,2554376.2,2448937.5,
24,133.0141737387411,0.37853873,,,,58,,,,,,,6502236.5,6504293.5,6430014.5,7196151.0,6287740.5,6102830.0,
2004,134.8946036621966,10.259112,,,,109,,,,,,,1662935.5,1001538.8,1826256.2,1548702.1,2036177.9,1619126.9,
1310,134.89461534544645,7.477112,,,,153,,,,,,,5756927.0,7417767.0,1.343517E7,5240063.5,5094248.5,8929876.0,
1539,134.89461862302971,7.7964873,,,,100,,,,,,,9357212.0,1.0977675E7,8836959.0,5744300.5,9272209.0,1.7753502E7,
1168,134.894621389092,7.3551173,,,,,,,,,,,1931300.6,1705058.6,3573168.0,3709093.0,3244520.5,5436108.5,
1956,134.89462952806977,10.17165,,,,10,,,,,,,7673830.0,2.5543272E7,3922315.0,3590294.2,5570323.0,3.0599218E7,
1342,134.8946305439043,7.6061935,,,,,,,,,,,1.2011711E7,4401799.5,3231938.2,2212423.8,1.1295723E7,6776907.0,
1955,135.9708638595449,10.163684,,,,,,,,,,,505340.5,414023.56,527465.44,2867328.8,2977202.0,377565.28,
121,136.04033912793622,3.052452,,,,124,,,,,,,127239.46,129630.484,139687.1,166903.9,104682.02,126655.53,
97,136.04035836611965,2.7347648,,,,81,,,,,,,79499.78,50290.734,129846.07,167205.69,112776.55,66161.14,
86,136.0403630349013,2.4097931,,,,141,,,,,,,766984.7,808422.4,652536.8,773130.7,818198.94,818329.06,
1957,136.89165240281824,10.17165,,,,10,,,,,,,2582537.0,9090139.0,1299962.0,1178445.8,1850935.8,1.1358941E7,
1950,137.8916863444656,10.172248,,,,,,,,,,,220544.75,945968.3,123576.07,114525.055,190647.77,1165578.0,
67,138.01962106910068,0.8188856,,,,,,,,,,,89072.93,84145.14,117538.37,363340.7,56838.48,90262.37,
139,138.0196696597168,3.324362,,,,,,,,,,,1594865.6,1800887.4,1728120.8,1958663.0,1854613.4,2092772.8,
88,139.04005549037933,2.4607275,,,,,,,,,,,354401.34,230766.81,642751.44,742142.7,482436.7,592632.4,
196,141.09214983698934,3.839245,,,,98,,,,,,,456897.53,520683.88,290028.8,475304.78,430243.22,427377.22,
206,141.09218958052227,3.9513805,,,,,,,,,,,558809.56,620985.3,378023.53,581102.06,482447.78,500321.72,
84,144.04544932247575,2.4032872,,,,141,,,,,,,862902.9,868065.44,1319045.4,1455662.1,894932.6,1157537.1,
134,144.04546575304664,3.2741067,,,,113,,,,,,,508252.75,602549.94,573436.3,606194.4,509403.34,663514.8,
164,144.04549384436177,3.5816565,,,,,,,,,,,85496.375,77687.21,0,0,78394.234,28406.576,
1969,144.9233257135919,10.198952,,,,,,,,,,,1336081.5,1727048.5,2115201.8,1923006.8,1507385.2,2091170.9,
1825,144.92334646640177,8.456689,,,,,,,,,,,5148832.0,1.6111562E7,1420193.8,4850394.5,1367386.4,961424.0,
1736,144.92337453899827,8.13779,,,,37,,,,,,,1.2334768E7,3841778.5,1.9766428E7,2.4652282E7,2.4676918E7,1.2681614E7,
1506,144.92338255610687,7.7002716,,,,92,,,,,,,7139635.5,5222088.5,1310009.6,2939932.5,1421831.4,6425841.5,
78,145.0506309847109,2.1402745,,,,,,,,,,,1189157.1,1266662.5,1026941.06,1326368.9,1202761.8,1106338.2,
156,145.08695563816482,3.4532177,,,,128,,,,,,,223037.83,243221.8,250044.22,255005.42,244651.33,278626.1,
161,145.08700549427905,3.53641,,,,,,,,,,,450495.53,500199.3,414957.6,438688.62,468372.12,457289.84,
23,146.04581643255128,0.37776092,,,,58,,,,,,,3402428.2,1810671.8,2951502.8,2569992.0,2106251.2,2583432.5,
2037,146.96118940172732,10.5892725,,,,,,,,,,,739671.56,567527.1,792402.8,890785.8,1683807.0,611530.4,
9,146.96587759746737,0.35593367,,,,58,,,,,,,1.0773654E7,1.1465348E7,9347528.0,1.1875348E7,9500495.0,1.0238333E7,
62,146.9658927012733,0.8011462,,,,,,,,,,,221727.73,277981.2,260643.62,933976.94,168097.02,90561.984,
69,146.96590462182533,0.92784286,,,,,,,,,,,927227.9,1193537.1,1170670.8,399978.6,647818.2,364778.47,
1951,150.88946028952105,10.149339,,,,,,,,,,,439718.9,3772517.5,267327.47,188263.12,340326.0,4128639.5,
99,151.04003338115697,2.7590847,,,,,,,,,,,382667.66,354189.8,478197.75,596941.2,392649.72,427729.84,
2010,153.86853959058323,10.324416,,,,90,,,,,,,546948.5,14155.408,697353.9,872960.7,1028797.9,72134.57,
2027,153.8685659756516,10.43068,,,,,,,,,,,42663.918,191394.83,90569.27,84655.47,152081.94,39160.58,
10,154.92814878431133,0.36542282,,,,58,,,,,,,947146.06,1019962.2,1182715.1,1002275.9,1149586.8,1078234.4,
176,155.10773812758518,3.692445,,,,126,,,,,,,4079693.5,4640295.0,4346834.0,4934247.0,4670174.0,4763099.5,
