Filename,NEG_TJGI15pt3_EV_alcA-Control_1_Run32.mzML,NEG_TJGI15pt3_EV_alcA-Control_2_Run115.mzML,NEG_TJGI15pt3_EV_alcA-Control_3_Run204.mzML,NEG_TJGIp2_1_Run38.mzML,NEG_TJGIp2_2_Run94.mzML,NEG_TJGIp2_3_Run162.mzML
Class,CTRL,CTRL,CTRL,EXP,EXP,EXP
77/218.1034mz/2.11min,1986247.5,2228749.8,2710956.0,2421105.5,2248989.2,2107633.0
78/145.0506mz/2.14min,1106338.2,1026941.06,1326368.9,1266662.5,1189157.1,1202761.8
79/118.051mz/2.28min,0.0,390735.03,150826.5,20242.262,4672.626,27540.13
82/158.0822mz/2.37min,233479.2,274345.84,332609.88,302178.62,357171.84,314716.16
83/194.0458mz/2.39min,1609258.8,1813843.2,2139740.0,1913724.8,2149701.0,2087747.5
84/144.0454mz/2.4min,1157537.1,1319045.4,1455662.1,868065.44,862902.9,894932.6
85/188.0353mz/2.41min,1692900.9,2059580.0,2387149.5,1300468.4,1348096.5,1466273.1
86/136.0404mz/2.41min,818329.06,652536.8,773130.7,808422.4,766984.7,818198.94
87/175.0611mz/2.43min,1486586.5,1411843.0,1914304.5,1332304.0,1482920.6,1370636.1
88/139.0401mz/2.46min,592632.4,642751.44,742142.7,230766.81,354401.34,482436.7
89/181.0717mz/2.56min,0.0,82378.3,26008.918,24634.2,230466.23,0.0
90/130.0873mz/2.57min,38307.04,139935.44,172575.66,41925.414,340982.8,57842.273
91/172.098mz/2.55min,30476.516,38202.93,54200.137,40902.277,41844.31,45386.617
92/228.0878mz/2.57min,753315.44,417336.62,498275.94,491574.56,479613.0,629599.25
93/121.0295mz/2.57min,638061.44,818958.6,839435.0,776410.06,997937.56,925385.8
94/159.0663mz/2.61min,332953.25,320898.0,393009.72,358789.28,342298.03,340736.3
95/178.051mz/2.62min,622003.2,602802.94,712450.5,571457.75,543377.7,538608.5
96/158.0822mz/2.73min,816245.3,1053163.0,1315479.2,1002108.0,1042827.56,794972.1
97/136.0404mz/2.73min,66161.14,129846.07,167205.69,50290.734,79499.78,112776.55
98/107.0503mz/2.76min,595567.7,649416.2,798886.56,493218.03,499940.78,519034.3
99/151.04mz/2.76min,427729.84,478197.75,596941.2,354189.8,382667.66,392649.72
100/131.0713mz/2.78min,4101108.8,3590300.8,4442848.0,3689142.0,3467577.0,3658365.2
101/188.0353mz/2.79min,74767.61,74520.31,97247.41,58557.64,56816.438,80287.01
102/457.1869mz/2.8min,540976.44,0.0,5248.1226,0.0,0.0,0.0
103/501.1765mz/2.79min,2235403.5,24619.193,96303.375,0.0,5157.2393,0.0
104/158.0822mz/2.81min,827401.56,1078931.0,1284084.1,967254.3,1009230.25,783247.3
105/159.0663mz/2.87min,627582.8,531884.5,655401.25,658724.2,599474.1,578955.2
106/426.1898mz/2.89min,140842.95,245380.86,272410.38,267515.12,263782.94,215028.61
107/185.0819mz/2.89min,56959.445,47552.36,54623.066,58910.883,52048.125,38645.797
108/172.0979mz/2.91min,1627517.1,1472463.9,1040718.06,1033205.0,1805102.0,1688579.9
109/130.0873mz/2.91min,166496.08,202936.02,204167.9,180169.22,374564.12,116956.97
110/118.051mz/2.92min,117083.08,282126.3,42014.984,12173.205,94903.25,3698.189
111/186.1135mz/2.95min,1179859.0,924461.06,1100495.5,927908.7,831483.8,999656.44
112/171.1027mz/2.96min,687633.5,507766.84,591816.1,499496.12,377369.1,272356.3
113/189.0768mz/2.96min,438997.56,370401.44,500234.94,359607.97,373637.28,375289.2
114/426.1897mz/2.97min,308615.3,378038.34,423064.12,414031.3,435016.47,397014.03
115/221.0931mz/3.02min,503060.47,284848.9,331253.44,30120.25,43270.418,70944.84
116/165.0556mz/3.02min,1189414.2,1087369.9,1387514.0,1258416.9,1371937.6,1399282.9
117/194.0458mz/3.03min,122264.27,107688.45,142449.52,120599.04,117698.32,121723.89
119/173.0819mz/3.05min,1518530.5,1581946.0,1884898.4,1486798.0,1446166.4,1541396.8
120/120.0454mz/3.05min,490706.8,548120.7,624624.94,512329.66,485681.4,449961.62
121/136.0403mz/3.05min,126655.53,139687.1,166903.9,129630.484,127239.46,104682.02
122/164.0354mz/3.05min,2157244.5,2455485.5,2840776.8,2191619.2,2188212.5,2005530.0
123/351.0597mz/3.05min,98330.305,249345.89,286337.16,128259.12,182256.98,174661.53
124/243.1237mz/3.14min,34305.18,33753.207,44311.453,31740.143,23037.299,25908.28
125/188.0354mz/3.15min,87383.234,73895.51,97018.5,93086.45,73047.22,80844.56
126/159.1027mz/3.15min,41772.6,37734.777,48960.438,43002.7,40023.117,21340.527
127/160.0404mz/3.2min,784631.44,704773.2,724018.2,825204.5,731209.25,764689.94
128/245.0931mz/3.21min,1819790.5,1527262.2,1903875.4,1372759.4,1344594.5,1597047.5
129/228.103mz/3.24min,39002.047,32261.426,37590.504,56629.766,40768.58,42109.03
130/180.0666mz/3.24min,1015917.44,889864.56,1032301.56,755205.94,771553.7,861380.8
132/178.051mz/3.25min,1665768.4,1932880.5,2263069.8,1425905.8,1457985.4,1416776.0
133/181.0705mz/3.23min,81229.24,227067.86,68778.31,162424.52,54854.23,63855.887
134/144.0455mz/3.27min,663514.8,573436.3,606194.4,602549.94,508252.75,509403.34
135/261.1343mz/3.28min,287355.78,346736.94,399631.44,335660.06,308868.66,248526.95
136/216.1241mz/3.28min,365490.12,285810.97,346175.56,372188.97,331699.8,339762.25
137/164.0354mz/3.29min,43642.35,25461.379,26209.516,28708.31,20769.459,27013.404
138/186.1135mz/3.3min,197715.27,194343.66,226866.48,161985.31,158583.58,156851.28
139/138.0197mz/3.32min,2092772.8,1728120.8,1958663.0,1800887.4,1594865.6,1854613.4
140/121.0295mz/3.33min,0.0,158534.05,54215.19,0.0,96801.414,96860.414
141/193.0506mz/3.35min,782124.25,668515.8,722216.25,983188.56,969933.44,1808300.5
142/271.1663mz/3.36min,408636.47,554522.5,447603.97,502480.7,321050.44,345076.6
143/261.1343mz/3.36min,1764719.9,2150559.0,2504456.5,1967704.8,1916157.4,1637845.5
144/187.0976mz/3.41min,14192246.0,79126.85,85456.445,14289087.0,62923.355,13741601.0
146/314.1034mz/3.37min,63866.51,55715.266,58925.77,77031.234,64140.195,72538.41
147/245.0456mz/3.38min,15020.875,0.0,7303.128,17345.766,21100.514,25171.3
148/189.1131mz/3.43min,239161.83,223227.1,252516.97,314410.38,266163.53,252316.05
150/257.103mz/3.45min,906718.8,811688.1,1030088.5,562630.1,611563.25,712229.8
151/209.0794mz/3.45min,1446741.8,1565304.4,1710789.1,1249480.5,1365931.2,1459437.8
152/125.0971mz/3.45min,1031570.2,917931.3,1027148.06,843118.1,759849.0,809364.0
153/187.0975mz/3.45min,29062086.0,26374946.0,30158918.0,24080818.0,22799438.0,23522200.0
154/213.1131mz/3.45min,170086.55,147835.2,142121.6,112578.52,117616.17,86732.16
156/145.087mz/3.45min,278626.1,250044.22,255005.42,243221.8,223037.83,244651.33
157/313.188mz/3.46min,485710.5,496480.34,607169.6,238964.31,295057.12,317122.47
158/228.103mz/3.47min,2976978.5,2752322.8,2778229.8,3597540.5,2926001.8,3054206.5
159/191.0746mz/3.47min,166395.66,144099.77,182464.17,130181.81,110285.31,184593.38
160/173.0819mz/3.52min,27701.596,27141.674,30011.0,27491.406,25925.889,23832.473
161/145.087mz/3.54min,457289.84,414957.6,438688.62,500199.3,450495.53,468372.12
