filename	ATTRIBUTE_GROUP
NEG_TJGI15pt3_EV_alcA-Control_1_Run32.mzML	CTRL
NEG_TJGI15pt3_EV_alcA-Control_2_Run115.mzML	CTRL
NEG_TJGI15pt3_EV_alcA-Control_3_Run204.mzML	CTRL
NEG_TJGIp2_1_Run38.mzML	EXP
NEG_TJGIp2_2_Run94.mzML	EXP
NEG_TJGIp2_3_Run162.mzML	EXP
