Filename,POS_D5-Ctrl-a-P-EAMeOH_Run28.mzML,POS_D5-Ctrl-b-P-EAMeOH_Run31.mzML,POS_D5-Ctrl-c-P-EAMeOH_Run34.mzML,POS_D5-211-C2-a_Run118.mzML,POS_D5-211-C2-b_Run121.mzML,POS_D5-211-C2-c_Run124.mzML
Class,CTRL,CTRL,CTRL,EXP,EXP,EXP
195/140.0683mz/2.03min,56098.25,66494.78,64886.594,74080.59,57847.062,126241.17
196/216.1958mz/2.05min,123451.92,854342.0,682929.5,213158.78,54465.086,137136.0
197/159.0845mz/2.06min,221095.39,244161.97,329342.25,286175.9,327235.5,303699.7
200/158.0813mz/2.06min,3258711.5,3564773.0,4621429.5,4249437.5,4639410.5,4329760.0
201/380.1482mz/2.09min,1287352.4,1342088.2,1403020.8,1092122.6,1250828.2,1181909.9
203/384.1145mz/2.2min,227080.97,211205.06,231374.98,479910.25,517966.4,508701.6
204/205.0972mz/2.24min,1889473.2,2005710.5,4203814.0,1312858.6,1212226.0,1023953.1
205/118.065mz/2.24min,18736.88,27449.295,91962.84,0.0,0.0,0.0
206/188.0706mz/2.24min,2654121.8,2901305.0,5965961.5,1830709.1,1811561.5,1454152.5
207/217.1047mz/2.25min,1354910.2,1298096.1,1400522.2,1217222.4,933605.9,1143160.9
208/206.0448mz/2.3min,841532.2,939661.75,1127614.0,674472.4,675109.3,618787.06
209/298.0965mz/2.4min,165949.45,147939.86,192235.17,340900.5,371439.94,321783.0
210/261.1443mz/2.43min,347879.97,414139.78,571921.5,625229.4,610654.94,611204.75
211/190.0498mz/2.43min,1078544.6,1110529.9,1521949.1,1723310.4,1685578.4,1612205.2
212/114.0914mz/2.46min,446847.9,425655.5,710169.8,166193.05,188490.19,236514.66
213/138.0551mz/2.48min,0.0,0.0,0.0,159536.95,221247.98,175086.31
214/308.0908mz/2.48min,0.0,0.0,0.0,87802.03,132354.34,99219.836
215/316.2115mz/2.53min,268065.12,200268.27,162397.98,183964.56,137519.5,214150.9
216/159.0997mz/2.61min,337958.03,334168.9,459910.84,457084.1,494081.28,432771.34
217/232.1159mz/2.61min,3142831.2,3000895.5,4105695.8,4194052.8,4678222.0,3963891.2
218/214.0862mz/2.61min,2310143.5,2275023.2,3121368.0,3056856.5,3417850.2,2838594.5
