row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,NEG_D5-227-C1-b_Run224.mzML Peak area,NEG_D5-227-C1-c_Run227.mzML Peak area,NEG_D5-227-C1-a_Run221.mzML Peak area,Yeast_HE_D5-Ctrl_b_neg_20190515_Run40.mzML Peak area,Yeast_HE_D5-Ctrl_a_neg_20190515_Run37.mzML Peak area,Yeast_HE_D5-Ctrl_c_neg_20190515_Run43.mzML Peak area,
700,80.94785059316085,10.182521,,,,,,,,,,,0,0,0,849612.6,930464.2,815978.7,
381,80.94789550624331,7.77153,,,,18,,,,,,,0,0,0,878339.6,608120.56,868997.2,
430,80.94789805124314,7.8716245,,,,46,,,,,,,0,0,0,766733.0,554205.44,662708.0,
293,80.94791555914603,7.374944,,,,7,,,,,,,0,0,0,605250.75,453578.38,696817.56,
813,81.52050967563817,10.492288,,,,9,,,,,,,0,0,0,2.7274882E7,2.9259034E7,2.7966768E7,
19,84.95978609001521,0.43599412,,,,,,,,,,,0,0,0,2880147.2,4203904.0,1.0379863E7,
33,89.05977239449372,2.7459037,,,,,,,,,,,0,0,0,462431.1,1227202.5,361792.6,
742,89.50665340911765,10.333573,,,,63,,,,,,,0,0,0,1.144064E7,1.1433834E7,1.2806039E7,
770,90.50668872766512,10.374984,,,,63,,,,,,,0,0,0,4709399.5,4638022.0,4725757.5,
818,90.52588585570724,10.506519,,,,9,,,,,,,0,0,0,4.0922364E7,4.135648E7,3.760239E7,
773,91.50438987445585,10.376733,,,,63,,,,,,,0,0,0,1792999.4,1763337.5,1804893.0,
795,94.04510039170087,10.450604,,,,,,,,,,,0,0,0,4974401.0,4939875.0,4732135.5,
741,97.51440243356647,10.333434,,,,63,,,,,,,0,0,0,1307722.9,1388868.0,1278102.9,
821,97.99136005878262,10.527814,,,,9,,,,,,,0,0,0,9588389.0,9013835.0,9387882.0,
737,98.51203785799709,10.331832,,,,63,,,,,,,0,0,0,2.3580524E7,2.2551964E7,2.2928398E7,
598,99.92571691944885,8.91573,,,,35,,,,,,,6.5437276E7,6.143952E7,6.2490332E7,0,0,0,
623,101.98079115766772,8.953126,,,,35,,,,,,,3366452.5,4830717.0,3011684.5,0,0,0,
683,101.98080045816141,9.996558,,,,15,,,,,,,658714.06,664545.4,610430.25,0,0,0,
568,101.9808016422851,8.690837,,,,,,,,,,,1861676.2,942167.7,1606727.4,0,0,0,
807,102.03386413707945,10.483439,,,,9,,,,,,,0,0,0,1.4028165E8,1.3853955E8,1.4515152E8,
808,102.53543267308315,10.485185,,,,9,,,,,,,0,0,0,1.2205041E7,1.1980027E7,1.2592613E7,
638,102.9567243988041,8.961841,,,,,,,,,,,724328.7,628272.6,561994.94,0,0,0,
701,102.95676906764031,10.189626,,,,,,,,,,,1542814.6,1486294.6,1165636.8,0,0,0,
812,104.03021741467593,10.491948,,,,9,,,,,,,0,0,0,3615046.0,3202513.0,3703096.5,
137,105.03351278378551,5.675162,,,,49,,,,,,,0,0,0,2467678.5,1846915.0,2597630.5,
748,109.02244721824752,10.338952,,,,63,,,,,,,0,0,0,7381046.5,5669208.0,5644671.0,
788,109.52167766410908,10.41111,,,,63,,,,,,,0,0,0,5096003.0,4941068.0,5259094.5,
738,110.02006318968085,10.331832,,,,63,,,,,,,0,0,0,9.046508E7,8.930242E7,9.133548E7,
745,110.52174245747968,10.33548,,,,63,,,,,,,0,0,0,6168187.0,6615303.0,7821718.5,
774,111.02017824823547,10.376733,,,,63,,,,,,,0,0,0,7.939425E7,7.915511E7,8.0734264E7,
823,111.03900516687044,10.534823,,,,9,,,,,,,0,0,0,1.2155978E7,1.0615713E7,1.1574239E7,
767,111.51890979475267,10.373242,,,,63,,,,,,,0,0,0,2008572.1,1924844.1,2014142.6,
768,111.52175033211928,10.373242,,,,63,,,,,,,0,0,0,6787262.5,6691522.5,6880642.5,
775,112.01780929944148,10.376733,,,,63,,,,,,,0,0,0,3.1093494E7,3.0950596E7,3.1442178E7,
776,112.51954674807037,10.376733,,,,63,,,,,,,0,0,0,2206800.8,2166385.2,2212751.0,
704,112.98561503984907,10.201995,,,,11,,,,,,,1.6448022E7,1.6152097E7,1.7625468E7,0,0,0,
777,113.0165646811618,10.376733,,,,63,,,,,,,0,0,0,4348225.0,4360230.5,4455318.5,
634,113.92619442835057,8.961821,,,,35,,,,,,,2.403818E7,2.2579076E7,2.1947116E7,0,0,0,
743,113.96356150237007,10.333573,,,,63,,,,,,,0,0,0,7057517.0,8225338.5,7176085.0,
5,113.96375415370755,0.036781892,,,,0,,,,,,,0,0,0,2782697.0,2728314.8,2835497.2,
11,113.9637673008137,0.3232884,,,,5,,,,,,,0,0,0,2057201.1,1645683.8,2389126.8,
765,114.01646631772753,10.371555,,,,63,,,,,,,0,0,0,1105818.0,1043150.6,1113333.8,
489,114.93399446997573,8.212216,,,,6,,,,,,,1219908.5,1198428.9,2256604.2,0,0,0,
412,114.93400893638038,7.8675876,,,,51,,,,,,,2180116.8,2081333.9,2140004.2,0,0,0,
263,114.93401465085041,7.3659606,,,,3,,,,,,,838975.94,840891.2,768860.7,0,0,0,
366,114.93402448026767,7.7656646,,,,54,,,,,,,1068652.5,969609.7,940373.75,0,0,0,
608,114.93403489653055,8.940884,,,,35,,,,,,,6993019.5,7012187.0,6550171.0,0,0,0,
627,115.92065168014061,8.958356,,,,35,,,,,,,4.2887638E8,4.282719E8,4.1572285E8,0,0,0,
784,115.96396473687366,10.383458,,,,63,,,,,,,0,0,0,2001137.5,2156360.2,2425267.5,
413,116.92838188102787,7.8676,,,,51,,,,,,,4.129478E7,4.016925E7,3.926808E7,0,0,0,
