"","Filename","GF_MC_RCG_Ctrl_1_neg_20210511_Run68.mzML","GF_MC_RCG_Ctrl_2_neg_20210511_Run147.mzML","GF_MC_RCG_Ctrl_3_neg_20210511_Run159.mzML","GF_CC_MC_RCG_1_neg_20210511_Run76.mzML","GF_CC_MC_RCG_2_neg_20210511_Run112.mzML","GF_CC_MC_RCG_3_neg_20210511_Run177.mzML"
"23","2134/513.2722mz/4.16min","242952.73","195333.52","240945.28","245953.98","262203.1","185788.92"
"24","2135/215.1288mz/4.17min","835442.06","684140.25","1166281.1","1798565.8","1576460.9","2020559.0"
"25","2136/374.2084mz/4.19min","336342.84","270274.4","321320.9","295047.78","280508.44","250814.12"
"26","2137/248.1292mz/4.24min","1580904.0","784187.94","1047862.1","1564104.8","1472840.5","693071.44"
"27","2138/301.1403mz/4.2min","78926.28","50168.12","141716.67","168452.16","130250.65","174995.55"
"28","2139/297.1132mz/4.21min","1471068.8","1271326.6","1213587.4","1424278.4","1414883.1","1070070.6"
"29","2140/329.1718mz/4.21min","195357.16","173596.19","228785.92","126635.64","79470.53","153251.72"
"30","2147/271.0183mz/4.23min","206484.8","172359.61","335384.22","436465.03","349556.78","354081.0"
"31","2148/234.1136mz/4.23min","264444.75","225183.45","349510.88","292801.06","232885.45","238967.25"
"32","2149/451.2926mz/4.23min","988044.25","884752.7","790346.25","532506.0","548982.3","432779.7"
"33","2150/354.2398mz/4.24min","1932429.4","1568771.8","1858786.2","2034248.8","1881610.5","1644186.1"
"34","2151/527.2513mz/4.24min","786193.25","813958.75","485970.7","476569.6","722337.75","292556.56"
"35","2152/268.098mz/4.27min","567332.6","541729.3","639307.6","470999.72","461324.7","427307.06"
"36","2153/612.3151mz/4.27min","315056.38","305727.34","385217.44","267669.6","282478.6","376536.94"
"37","2154/471.2612mz/4.27min","229542.27","200427.47","184967.47","94339.26","93946.625","85254.625"
"38","2155/595.1651mz/4.27min","33256.67","0.0","145031.89","413504.47","219386.23","491204.8"
"39","2156/374.2085mz/4.26min","230905.22","174396.84","195051.3","261304.47","179462.02","143539.77"
"40","2157/248.1292mz/4.28min","3511564.8","2072379.8","2982521.2","3505915.2","2948591.5","2054307.2"
"41","2159/327.2177mz/4.31min","5754758.5","4860329.0","5517806.5","7304723.0","7534560.5","7589052.0"
"42","2161/201.1496mz/4.33min","35983.594","33192.047","30096.65","196511.39","256332.84","225254.9"
"43","2162/227.1289mz/4.33min","529859.0","616815.0","542421.0","799380.9","837487.7","810135.6"
"44","2164/242.1762mz/4.36min","539223.2","513863.94","489750.66","525116.3","592150.4","481177.62"
"45","2167/398.2295mz/4.37min","596259.4","431782.0","898219.3","1024690.8","796483.1","886513.94"
"46","2169/282.1136mz/4.38min","6762155.5","5812442.0","7054734.0","5261950.5","5261494.5","4251612.0"
"47","2170/299.1611mz/4.36min","172679.62","76577.266","187655.47","108673.39","33602.77","43190.008"
"48","2171/649.3569mz/4.39min","1553502.0","1298226.1","1837316.4","1549400.9","1595438.6","1617449.8"
"49","2172/495.2822mz/4.39min","78457.28","54860.97","91190.37","75178.81","91058.25","66877.57"
"50","2173/432.2139mz/4.4min","206776.23","141677.53","326662.53","376367.6","318892.22","351196.03"
"51","2174/718.451mz/4.41min","490409.16","444472.97","478843.5","415751.4","404405.97","332906.1"
"52","2176/488.2402mz/4.42min","494401.28","356029.7","624224.25","590821.8","629915.7","566708.9"
"53","2177/343.2124mz/4.43min","216214.0","196720.33","207035.0","261218.28","509501.22","270880.94"
"54","2178/229.1444mz/4.52min","3197024.5","2381615.5","5316116.0","7864556.0","6461137.5","9166257.0"
"55","2179/755.3623mz/4.45min","602057.06","499139.7","791253.5","530650.94","474429.56","615989.44"
"56","2180/529.2668mz/4.46min","236012.08","175079.05","216580.16","459415.12","387125.03","442516.72"
"57","2181/325.177mz/4.47min","938650.75","735983.1","1051086.6","574228.56","531539.75","617239.9"
"58","2182/470.2506mz/4.47min","314877.22","202691.19","474134.7","529274.56","458201.8","543587.0"
"59","2184/481.2665mz/4.48min","320573.06","251163.25","340479.4","372733.25","419084.66","349826.8"
"60","2185/228.1242mz/4.49min","4185557.5","3479379.8","4831240.5","5040232.5","4835248.5","4447181.0"
"61","2186/184.1342mz/4.49min","1611479.5","1373366.4","1858349.5","1932696.4","1854983.1","1742240.6"
"62","2187/609.2677mz/4.49min","121976.58","69203.42","235177.8","337481.72","220008.05","354048.5"
"63","2188/347.1974mz/4.49min","389166.6","310057.5","314418.38","223526.86","248741.66","137896.05"
"64","2189/307.1914mz/4.5min","1194071.2","944552.7","1060703.4","1274742.0","1442670.0","1301229.2"
"65","2191/507.282mz/4.5min","395801.25","347827.1","511175.7","507302.28","503706.4","602038.6"
"66","2192/330.2366mz/4.5min","2413995.8","2118807.5","2481388.8","3406495.2","3339403.8","3522206.2"
"67","2193/329.2333mz/4.5min","13054260.0","11265764.0","13391695.0","17711174.0","17760914.0","17832464.0"
"68","2195/388.2241mz/4.5min","534563.44","462590.5","454841.1","338045.28","382390.2","285396.97"
"69","2197/349.1403mz/4.51min","180446.33","138915.14","283524.78","416190.06","336182.38","480135.34"
"70","2200/398.2296mz/4.53min","200785.03","129547.875","291234.0","311873.72","262834.03","281831.03"
"71","2202/262.1084mz/4.55min","997197.56","852502.3","1148885.0","1342009.5","1125911.9","1214538.8"
"72","2203/718.451mz/4.55min","636967.3","489025.62","571047.4","568671.06","541403.06","452268.25"
"73","2204/497.2403mz/4.56min","149487.17","110541.47","196626.25","324588.56","282949.62","329202.28"
"74","2205/228.1604mz/4.56min","566873.2","475015.72","551525.2","621634.7","600411.6","597602.94"
"75","2206/327.2178mz/4.56min","4862372.5","3869481.8","4590341.0","6349276.5","5005714.0","5104239.0"
"76","2207/328.2212mz/4.57min","946528.3","600501.9","696996.44","966873.7","967524.7","1238159.1"
"77","2208/375.1845mz/4.6min","244290.55","196272.28","472095.2","411190.56","404081.8","961394.94"
"78","2209/296.0928mz/4.58min","1185961.8","1156385.5","1085837.5","904601.44","929481.06","843609.75"
"79","2211/495.2821mz/4.59min","123851.45","64109.797","150162.02","110829.38","98574.516","112864.88"
"80","2212/227.9666mz/4.61min","833320.56","1033518.8","723674.3","558711.4","694574.8","556682.94"
"81","2213/229.9644mz/4.61min","808810.1","1001924.2","708925.25","550330.56","677662.44","540337.4"
"82","2214/262.1448mz/4.63min","1555197.4","1266419.6","1510827.5","1701734.9","1678443.8","1635174.4"
"83","2215/394.271mz/4.63min","777667.5","601748.7","670201.0","329314.8","255216.97","232531.56"
"84","2218/311.1864mz/4.65min","265984.0","184115.47","238068.03","322080.97","362747.47","349693.47"
"85","2220/646.3249mz/4.66min","450532.72","349073.1","360743.1","324557.66","390905.28","228767.4"
"86","2221/432.2139mz/4.66min","257179.02","179533.88","342243.75","375356.28","319922.34","350860.56"
"87","2222/180.103mz/4.67min","287168.62","162046.36","251297.69","456190.34","405360.4","414425.1"
"88","2224/251.1038mz/4.67min","193551.62","128969.125","361927.34","373745.75","233844.81","416996.78"
"89","2225/375.1845mz/4.64min","342115.53","212602.95","448461.25","866405.1","727509.5","760273.7"
"90","2228/513.1118mz/4.69min","0.0","0.0","64758.92","246232.11","93850.35","311847.47"
"91","2230/187.1339mz/4.71min","1777174.5","1547532.9","1831831.9","2128384.5","2461412.5","2221520.8"
"92","2232/309.2072mz/4.72min","2349622.0","1802592.6","2053236.0","2681786.0","3072162.8","2976277.8"
"93","2234/539.3242mz/4.73min","427794.2","378525.28","353517.16","316728.06","362885.03","216526.17"
"94","2235/307.1915mz/4.73min","298050.28","216570.31","239685.22","317698.25","343892.97","342950.2"
"95","2236/398.2296mz/4.75min","123306.61","70064.016","135689.14","85728.26","69251.7","72689.055"
"96","2237/886.4357mz/4.75min","449481.9","359750.56","553923.06","210844.42","167400.03","281406.25"
"97","2238/408.1849mz/4.83min","132178.1","105691.625","169515.31","271921.94","360097.25","394938.22"
"98","2239/511.2768mz/4.76min","244230.89","161154.3","396279.5","391437.84","326554.62","404934.0"
"99","2241/550.3611mz/4.77min","232105.62","189895.75","202349.45","243338.61","283212.88","179350.47"
"100","2242/501.1767mz/4.78min","1364848.5","492022.56","484693.4","482660.3","99754.61","299609.1"
