row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,2024_NEG_Y-p9_1_Run101.mzML Peak area,2024_NEG_Y-p9_3_Run156.mzML Peak area,2024_NEG_Y-EV_2_CTRL_Run118.mzML Peak area,2024_NEG_Y-EV_1_CTRL_Run89.mzML Peak area,2024_NEG_Y-p9_2_Run121.mzML Peak area,2024_NEG_Y-EV_3_CTRL_Run139.mzML Peak area,
88,85.02941853623864,0.55094,,,,27,,,,,,,1561199.6,494708.06,2023626.4,2167861.2,1709373.1,559091.25,
38,85.0294281365946,0.38748813,,,,8,0,[M+H]+,,2,39;38,84.02157,743968.1,967443.3,1059721.9,1332960.4,1111376.5,952515.9,
186,85.06588315910373,3.1312056,,,,,,,,,,,21238.926,39834.188,234140.6,200423.47,54782.09,428468.75,
84,87.00861765299449,0.5383749,,,,27,,,,,,,2059969.6,748698.06,1781740.6,973430.9,1978946.4,1682582.2,
29,87.00861812422549,0.38479576,,,,8,,,,,,,1133300.5,885542.06,900738.25,881645.94,891252.94,1186008.9,
521,89.02441325550969,9.805385,,,,,,,,,,,1258975.4,5998335.5,1273390.0,5976888.0,5570372.0,1206353.0,
523,89.02441382004156,9.962304,,,,,,,,,,,6701237.0,1145272.0,6460971.5,1256348.4,1078864.9,6124960.5,
506,89.02441696596996,8.9680395,,,,,,,,,,,1659293.9,1381291.5,1553249.5,662958.06,1629261.5,1799351.2,
7,92.92802878985007,0.3402313,,,,,,,,,,,226596.97,173341.23,133467.64,129087.43,195980.98,295466.34,
573,96.96012735773927,10.618988,,,,,,,,,,,8356776.0,2653390.2,3694926.5,8486505.0,7722166.0,8677302.0,
4,96.96015260808622,0.3229899,,,,,,,,,,,918111.25,881842.25,668463.2,567085.0,815112.9,646148.06,
5,96.96963299653675,0.33104822,,,,,,,,,,,1624650.9,2865274.2,1939389.8,1613287.5,2460342.2,1521483.4,
504,100.93365008883133,8.869474,,,,,,,,,,,1088444.2,718121.56,662212.06,568021.8,967867.3,1283986.9,
501,100.93365125744002,8.82235,,,,,,,,,,,911782.3,430379.56,398919.56,374453.38,2175600.5,2992499.5,
490,100.93365236051106,8.437116,,,,,,,,,,,1268485.6,717268.3,313244.03,371033.4,1084606.5,874049.56,
448,100.93365429129956,7.9380817,,,,,,,,,,,597022.6,628820.3,1072795.1,639161.1,568324.0,652849.2,
469,100.93365284395678,8.226847,,,,,,,,,,,263141.78,1086531.6,1116299.4,1087178.4,510740.5,450149.7,
462,100.93365287998112,8.077615,,,,,,,,,,,513974.47,636773.0,394709.12,1167684.6,468651.88,485824.72,
465,100.93365289839328,8.147228,,,,,,,,,,,498705.9,507604.5,359006.7,3975952.5,432420.22,479332.1,
471,100.93365423092568,8.271365,,,,,,,,,,,2268840.5,3072513.0,2047086.9,1417400.0,572825.8,666276.5,
439,100.93365501563846,7.8412023,,,,,,,,,,,529552.9,503643.5,1150849.9,1271478.2,462861.56,453735.34,
525,100.93365815420105,10.225085,,,,,,,,,,,1442433.1,1009377.1,333885.62,1448070.4,518475.25,587081.5,
10,102.95686134694564,0.34486207,,,,19,,,,,,,573972.2,351537.25,365040.6,377074.2,371514.66,573377.75,
85,111.00883509518547,0.53488487,,,,27,,,,,,,2.271369E7,1.1863024E7,2.195469E7,1.2356229E7,1.4860097E7,2.5884776E7,
43,111.0088401489886,0.3883851,,,,8,,,,,,,1.0686383E7,8669738.0,9212510.0,7592627.5,8929784.0,1.2294356E7,
49,112.01219832899913,0.3847963,,,,,,,,,,,218367.33,329108.78,382384.4,407722.72,506028.84,630465.06,
