row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,NEG_TJGIp10_3_Run210.mzML Peak area,NEG_TJGI2pt1_EV_gpdA_CTRL_3_Run195.mzML Peak area,NEG_TJGI2pt1_EV_gpdA_CTRL_2_Run144.mzML Peak area,NEG_TJGIp10_2_Run133.mzML Peak area,NEG_TJGIp10_1_Run23.mzML Peak area,NEG_TJGI2pt1_EV_gpdA_CTRL_1_Run14.mzML Peak area,Unnamed: 19
2280,116.92842672889299,8.145663,,,,,,,,,,,28569032.0,20969382.0,22693502.0,23248964.0,39634024.0,66351824.0,
2113,116.92842813202299,7.741366,,,,,,,,,,,25385508.0,22732422.0,22699600.0,21889068.0,26743222.0,42943652.0,
2004,116.92844839534337,7.683256,,,,5.0,17.0,[2M-2H2O+H]+,,2.0,2004;1986,75.97102,35245510.0,52542460.0,36900372.0,44789884.0,32671884.0,53082908.0,
1792,116.92848205294213,7.4456240000000005,,,,48.0,16.0,[2M-2H2O+H]+,,2.0,1792;1796,75.97104,24420250.0,16711724.0,20886658.0,20323576.0,16006050.0,31615844.0,
211,117.01910162106792,4.1316123,,,,13.0,,,,,,,365647.28,363641.0,347611.2,330750.5,303322.3,302720.97,
442,117.01912772032314,4.6696467,,,,18.0,,,,,,,2065832.9,2274338.2,1992856.2,1906304.1,1982502.9,1818388.9,
265,117.01931277070076,4.278681,,,,8.0,,,,,,,357017.9,320370.78,254503.56,293893.56,224254.83,132711.47,
52,117.01931510611216,0.4945604,,,,,,,,,,,76334.375,370289.66,334748.12,340765.5,444797.22,45475.17,
59,117.01935555096355,0.6448045,,,,,,,,,,,867074.4,728261.5,949658.4,982499.9,1177858.2,1024355.5,
2479,117.91899202452421,8.433939,,,,,,,,,,,491895.4,619887.75,844789.2,764116.8,2309230.8,762241.06,
2360,117.91900198628763,8.141899,,,,12.0,,,,,,,3418365.2,838594.9,3436178.2,754293.75,1987594.0,1549367.1,
2074,117.91901221697023,7.737867999999999,,,,,,,,,,,388228.62,725023.25,568841.4,812381.6,1641319.8,1409336.4,
2114,117.92854680142652,7.745495,,,,,,,,,,,2694867.5,2617733.8,2624466.0,2527099.2,3098112.8,4826598.0,
2341,117.92854772628391,8.148103,,,,12.0,,,,,,,8442066.0,2372945.8,6594791.5,2606465.2,4604306.5,7791082.5,
1998,117.9285679436844,7.6824965,,,,5.0,,,,,,,4050601.0,3636358.5,5946607.5,5034957.0,3656158.5,6085178.0,
2449,118.8995820039034,8.312731,,,,,,,,,,,0.0,0.0,0.0,0.0,669376.4,150865.88,
2216,118.89958397317943,7.9570536999999995,,,,,,,,,,,101314.6,15200.58,39977.977,17491.203,1624904.4,2554049.8,
2664,118.89962658459187,10.151425999999999,,,,,,,,,,,60859.76,46815.207,75169.8,93719.0,2650627.0,3326575.0,
1997,118.92675053663167,7.682492,,,,5.0,,,,,,,1000731.5,1525424.9,1056158.4,787156.7,923149.94,1215135.1,
2333,118.92676244296295,8.151187,,,,12.0,,,,,,,2102413.2,578877.7,354292.03,456443.53,1140654.1,1868652.4,
63,119.05023004660231,0.91500807,,,,,,,,,,,1447861.2,1361516.0,1039805.25,1463728.0,1760943.9,1360628.9,
2711,119.94688944205141,10.261576,,,,,,,,,,,0.0,0.0,0.0,0.0,6798.267,138326.19,
31,119.94694410192898,0.37900844,,,,78.0,,,,,,,1514957.1,1600736.2,1495865.8,1633494.9,1809341.9,1620982.6,
33,121.94400392638296,0.38061988,,,,78.0,,,,,,,492632.4,510129.88,497433.6,525097.6,593428.44,511361.38,
57,128.03532994130526,0.60195476,,,,,,,,,,,1869872.9,2082041.8,1320633.9,1564429.6,1531312.0,577323.06,
2635,129.97571151402988,9.670993,,,,,,,,,,,0.0,0.0,0.0,0.0,18913.889,186298.67,
13,129.97572397315477,0.34802327,,,,,,,,,,,1100989.0,1171568.9,1237172.0,1238035.5,1099853.2,887047.5,
2659,129.9757458237055,10.037889,,,,,,,,,,,0.0,0.0,0.0,0.0,231791.92,376732.8,
2739,129.97575358115552,10.409067,,,,,,,,,,,0.0,0.0,0.0,0.0,50813.515999999996,270839.34,
70,131.0713593541041,2.2105737000000003,,,,,,,,,,,144326.23,169418.98,166555.34,159728.98,136744.33,137986.11,
87,131.07137180961018,2.8082085,,,,164.0,,,,,,,4282657.0,4644734.0,5380116.5,4444825.0,4588748.5,3969693.8,
2763,132.8678253575122,10.488,,,,,,,,,,,391700.5,430174.3,417240.72,396180.3,2663608.2,2927490.2,
40,132.86782846925215,0.42937264,,,,,,,,,,,114142.47,319117.66,311732.5,233934.58,234810.72,1055397.4,
2222,132.90015139766263,7.9509050000000006,,,,,,,,,,,102515.79,88754.11,271383.47,107800.95,895146.6,3141795.0,
2160,132.90015511603238,7.8258399999999995,,,,,,,,,,,267882.1,253329.9,382486.94,88910.57,1799669.2,418168.1,
2668,132.90016698585922,10.173102,,,,,,,,,,,93226.125,71225.9,115194.24,152481.23,1455415.2,1476230.4,
2470,132.92337112929664,8.440105,,,,,,,,,,,346095.47,576274.8,926212.06,715191.5,3313952.8,1127065.0,
2054,132.92338214289865,7.702650500000001,,,,21.0,,,,,,,1556713.6,2635420.5,1887695.8,965996.94,1829924.4,2675810.8,
2336,132.92338791015808,8.140433999999999,,,,12.0,19.0,[2M-H2O+H]+,,2.0,2369;2336,74.9632,3180026.0,1081817.1,3063771.8,4374248.0,3283463.8,2472270.0,
1811,132.9234160119469,7.447992,,,,48.0,,,,,,,630594.44,606269.7,540044.9,663775.75,428976.34,620509.2,
54,134.86516528703604,0.48456112,,,,,,,,,,,135679.45,228962.39,287163.9,237502.08,279491.38,885193.7,
2762,134.86525866977186,10.493636,,,,,,,,,,,298224.34,337302.62,325097.12,305119.97,1004672.9,2825628.0,
2096,134.8945980691409,7.816036,,,,138.0,,,,,,,7272917.0,10014634.0,13270416.0,9603786.0,34507336.0,27718504.0,
2223,134.89459892862087,7.9473534,,,,,,,,,,,4741271.0,3577508.8,5502444.0,2212729.5,5120565.0,60621230.0,
2720,134.89460750271607,10.222401,,,,,,,,,,,1009546.25,1125936.4,741220.25,2706604.5,1689085.4,3375925.0,
1772,134.89462098049958,7.488119,,,,113.0,,,,,,,14336973.0,14323283.0,14926884.0,5339356.0,2435840.5,3911306.2,
2676,134.89463165505148,10.177985000000001,,,,60.0,,,,,,,1949024.2,1792250.9,2665594.5,3860927.2,26172376.0,28997014.0,
1653,134.89463672438083,7.163411999999999,,,,,,,,,,,2428322.8,1740256.2,2618107.8,5151034.0,4852152.5,6942479.5,
2671,135.97088199784992,10.166729,,,,,,,,,,,3180466.2,3132535.8,613843.06,563269.3,352149.75,345282.78,
2226,137.89168589481906,7.9454,,,,,,,,,,,147900.56,40678.14,95387.7,87497.25,543831.06,2201809.5,
2666,137.8916943122446,10.180588,,,,,,,,,,,44880.85,38781.816,82983.96,97009.0,475633.22,1126446.4,
118,138.01967250803042,3.3226565999999997,,,,,,,,,,,1239468.8,1155854.9,1327426.9,1518160.1,1867194.5,1879500.2,
77,139.0400650210328,2.4524865,,,,,,,,,,,927915.8,1121717.4,1000188.75,1093012.6,605557.8,380847.6,
74,144.0454784006597,2.3384335,,,,,,,,,,,593915.06,722656.75,680520.56,653946.56,450912.03,869289.56,
112,144.0454969802702,3.2726316000000004,,,,49.0,,,,,,,316798.62,319832.7,301320.53,332709.84,419759.2,513206.5,
143,144.045515654002,3.5899943999999997,,,,,,,,,,,1872609.9,2189190.0,1725043.1,1794559.4,2367061.2,3563355.5,
2480,144.92333432678876,8.440944,,,,,,,,,,,4408583.5,284834.8,5403985.5,5550295.5,15428715.0,4469405.0,
2075,144.9233396201123,7.713152,,,,,,,,,,,2011720.4,5769226.5,1503853.1,1858437.0,8447420.0,9842516.0,
2378,144.9233527548466,8.153781,,,,12.0,,,,,,,24499320.0,23263802.0,25482336.0,26614774.0,17461786.0,11993848.0,
1818,144.92337638218478,7.4488259999999995,,,,,,,,,,,2438610.5,2686104.0,2602661.8,1982979.6,2637400.5,2725549.2,
139,145.08699212897713,3.534385,,,,131.0,,,,,,,733300.44,800462.4,854496.75,858554.3,1072457.4,728878.44,
131,145.0870344985578,3.4521262999999998,,,,75.0,,,,,,,404943.03,517989.66,632303.06,440853.03,439804.2,345834.47,
2758,146.9658854195053,10.48055,,,,,,,,,,,69241.13,48990.984000000004,109426.96,94359.3,155248.42,275724.1,
2653,146.9658930188695,9.981119,,,,,,,,,,,0.0,0.0,0.0,0.0,562191.3,3194561.5,
2660,146.96590589410962,10.032619,,,,,,,,,,,0.0,0.0,0.0,0.0,2001996.8,121282.39,
35,146.96593420938845,0.3821886,,,,78.0,,,,,,,7599175.5,8653716.0,8543508.0,10851427.0,12818249.0,7682997.5,
61,146.96595362878006,0.7341504,,,,,,,,,,,138490.25,111141.25,46666.29,390754.47,1517538.0,228513.75,
2219,150.88943329199478,7.97451,,,,,,,,,,,71444.75,74167.5,218488.33,60834.633,2334758.5,3761685.8,
2428,150.88944130800982,8.288342,,,,,,,,,,,3613.1982,0.0,8421.061,0.0,687775.6,534795.1,
2665,150.88946063694138,10.155911999999999,,,,,,,,,,,96065.1,78046.12,167710.6,186022.83,3775555.8,4953608.5,
29,151.06112360647475,0.37511888,,,,78.0,,,,,,,3973861.2,5183080.0,3910847.8,5220086.0,1949305.6,3542917.8,
398,151.07633680507385,4.575845200000001,,,,14.0,,,,,,,1005245.2,1211624.1,969828.44,992973.9,1026340.7,1040034.75,
95,153.0557256051534,2.9804144,,,,81.0,,,,,,,714689.6,825801.06,700604.56,858547.75,299529.8,205231.05,
69,153.05573193985688,2.1591544,,,,,,,,,,,31444.818,53826.625,38744.57,34571.453,42279.367,26660.945,
2737,153.8685108167279,10.317273,,,,,,,,,,,649155.06,542937.5,616231.75,493501.0,64620.21,46627.437999999995,
37,154.92819243842658,0.38779727,,,,,,,,,,,524870.06,460624.56,388605.47,494479.62,585199.9,548218.3,
75,158.08225407357662,2.364661,,,,,,,,,,,157181.11,168394.48,148174.6,174939.61,175585.28,143659.61,
86,158.0822592112122,2.808202,,,,164.0,,,,,,,1191564.4,1061862.4,1062837.8,1103427.9,1271835.6,1320021.0,
83,158.08227351716252,2.7237175,,,,,,,,,,,623468.0,567824.4,534149.56,573594.3,650578.2,608420.6,
68,158.0822837669325,1.9265223999999999,,,,,,,,,,,103560.24,139956.98,158639.23,116655.69,119137.12,137542.52,
156,159.10265930632497,3.7877169000000004,,,,9.0,,,,,,,459927.5,536920.94,505325.47,474282.1,620210.0,376076.34,
200,159.1026736618681,4.0715566,,,,,,,,,,,818957.94,480260.97,730753.1,764613.94,877575.8,445455.3,
2764,160.84206354397028,10.49801,,,,,,,,,,,273250.06,339002.53,634125.1,653150.44,3588529.0,4870854.0,
2746,160.84206494515746,10.410369000000001,,,,58.0,,,,,,,2484266.2,2411341.0,2610040.0,2026534.2,490232.9,739334.44,
2080,160.93540916926798,7.7035675,,,,,,,,,,,136098.89,53670.22,77702.54,74304.36,313450.44,2033113.4,
1844,160.93544654248038,7.4569526,,,,,,,,,,,139887.39,82913.32,73270.17,89951.695,107756.22,1931171.1,
1618,160.9354643758181,7.14853,,,,,,,,,,,10473.401,0.0,3356.417,0.0,218565.36,1048778.4,
2749,162.8390672709939,10.412177,,,,58.0,,,,,,,2341472.0,2258318.8,2440340.0,1913776.9,453582.34,737394.0,
2761,162.8390957889074,10.493727999999999,,,,,,,,,,,311482.38,318914.72,282734.62,559936.44,3445945.2,4444978.0,
45,163.06119742510825,0.39306566,,,,,,,,,,,1576126.1,1768698.0,744801.75,1977869.9,962430.7,215031.1,
100,164.0353997082116,3.0478907000000004,,,,125.0,,,,,,,506531.66,616422.75,621138.6,508962.03,491199.6,596248.4,
2750,164.83600766027706,10.413051,,,,58.0,,,,,,,705856.6,682814.44,716758.1,463950.38,116141.96,230870.42,
1433,165.0407988095404,6.590471000000001,,,,,,,,,,,79907.555,359829.38,343923.8,66206.92,90207.42,260031.08,
1669,165.04081779176974,7.2137494,,,,,,,,,,,11605.825,110848.66,103875.53,20820.342,23707.959,32337.257999999998,
98,165.05569632586102,3.0167758,,,,,,,,,,,849696.5,894746.1,951157.7,916316.2,883957.2,710869.06,
134,165.05569924776518,3.5281773000000003,,,,,,,,,,,38149.227,30326.121,43442.84,53561.405999999995,45953.05,54281.195,
199,165.05571549751514,4.045612,,,,149.0,,,,,,,167879.34,117182.31,127523.81,137834.28,143146.97,174095.3,
34,165.07678129844138,0.38136149999999996,,,,78.0,,,,,,,2895708.2,4055170.2,2908110.5,3990014.8,1561629.8,3058315.8,
17,168.03354774945754,0.3696165,,,,78.0,,,,,,,4694228.0,5002798.5,4861108.5,3896867.2,3815362.2,5030932.5,
26,168.0664675243743,0.37353000000000003,,,,,,,,,,,341455.72,534743.5,379521.38,516816.34,147087.7,244813.94,
58,168.06660789253417,0.61579806,,,,,,,,,,,544931.1,581433.0,467379.8,565469.44,342833.84,212159.69,
290,169.08701244407504,4.4047446,,,,,,,,,,,405456.6,421309.6,386900.16,482752.75,548468.94,567183.3,
92,171.1027117437803,2.9499028,,,,35.0,,,,,,,42156.905999999995,37708.93,42814.19,49105.78,98038.336,257055.6,
153,171.1027322078919,3.7548087,,,,158.0,,,,,,,778905.6,669460.8,636515.8,1025396.5,836052.3,827897.3,
190,171.10274397540448,4.0049233,,,,170.0,,,,,,,417729.8,440998.44,396569.9,469303.28,494128.6,593193.3,
99,173.0819288846402,3.0423987,,,,125.0,,,,,,,421918.3,408927.53,371902.28,476498.12,452364.9,484495.03,
116,173.0819654475899,3.3136406000000003,,,,,,,,,,,0.0,29860.58,56400.992,0.0,0.0,30709.826,
