row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,POS_D5-211-C3-c_Run151.mzML Peak area,POS_D5-211-C3-b_Run148.mzML Peak area,POS_D5-211-C3-a_Run145.mzML Peak area,Yeast_HE_D5-Ctrl_a_pos_20190515_Run37.mzML Peak area,Yeast_HE_D5-Ctrl_b_pos_20190515_Run40.mzML Peak area,Yeast_HE_D5-Ctrl_c_pos_20190515_Run43.mzML Peak area,
553,80.94788961845305,10.184056,,,,,,,,,,,549396.25,543809.44,544707.2,930464.2,849612.6,815978.7,
371,80.94792510868984,7.787027,,,,39,,,,,,,226137.44,338676.03,361612.22,608120.56,878339.6,868997.2,
457,80.94792896886685,8.243838,,,,,,,,,,,681244.06,1905554.8,641820.56,712925.7,761370.44,410737.34,
396,80.94793097043784,7.8723626,,,,7,,,,,,,937707.25,886063.44,850290.8,554205.44,766733.0,662708.0,
281,80.9479376112761,7.374758,,,,30,,,,,,,158364.28,199728.73,220054.17,453578.38,605250.75,696817.56,
652,81.52054546072897,10.49144,,,,12,,,,,,,3.2772052E7,2.864032E7,3.3225942E7,2.9259034E7,2.7274882E7,2.7966768E7,
24,84.95979812081168,0.43652096,,,,40,,,,,,,1.0213088E7,1.0306742E7,1.0940524E7,4228403.0,2980972.5,1.0379863E7,
42,89.05980710152248,2.7440488,,,,,,,,,,,419799.34,291523.2,350893.8,1227202.5,462431.1,361792.6,
593,89.50669335969526,10.32586,,,,33,,,,,,,1.4881762E7,1.6601691E7,1.7858314E7,1.1433834E7,1.144064E7,1.2806039E7,
617,90.50672548489017,10.366803,,,,33,,,,,,,4543099.5,4526890.0,4535206.0,4638022.0,4709399.5,4725757.5,
653,90.52592074784782,10.493382,,,,12,,,,,,,2.9837634E7,3.5638772E7,4.3823492E7,4.135648E7,4.0922364E7,3.760239E7,
372,90.97671435865375,7.771539,,,,39,26,[M-H2O+2H]+2,,2,372;381,197.94964,524348.4,611558.9,421874.1,602204.5,730679.2,801242.75,
618,91.5044282187667,10.366807,,,,33,,,,,,,1722703.4,1701256.6,1756379.1,1763337.5,1792999.4,1804893.0,
640,94.04513737721327,10.4450655,,,,10,,,,,,,5505159.5,5056362.5,5134796.0,4939875.0,4974401.0,4732135.5,
594,97.51444442285037,10.327313,,,,33,40,[M+NH4]+,,2,594;585,79.48078,1825469.8,1680216.5,1787608.2,1388868.0,1307722.9,1278102.9,
4,97.96883901909159,0.03498169,,,,0,,,,,,,467929.6,421103.62,424019.53,84880.164,110124.95,114579.016,
11,97.96884768926581,0.31743234,,,,6,,,,,,,140048.75,130346.97,182539.88,189730.44,158515.05,188352.1,
655,97.99140000328856,10.511012,,,,10,,,,,,,9068476.0,1.0184705E7,9888303.0,9013835.0,9588389.0,9387882.0,
592,98.51207772521194,10.32574,,,,33,,,,,,,2.8955732E7,3.1650328E7,2.8060248E7,2.2551964E7,2.3580524E7,2.2928398E7,
26,101.02342981061823,0.6775144,,,,,,,,,,,756183.0,585445.1,1118186.8,183513.19,265777.72,194353.06,
554,101.07097947279169,10.17649,,,,,,,,,,,1962155.4,2136249.5,1966248.0,2138950.8,2082775.5,2031272.8,
476,101.07101722799366,8.428441,,,,,,,,,,,2475225.0,1930120.2,9287400.0,2783649.8,2757002.2,2707119.8,
644,102.03390634015638,10.474288,,,,10,,,,,,,1.5616709E8,1.5215546E8,1.5129502E8,1.3853955E8,1.4028165E8,1.4515152E8,
645,102.53547333902993,10.47516,,,,10,,,,,,,1.3510042E7,1.3251663E7,1.3167077E7,1.1980027E7,1.2205041E7,1.2592613E7,
9,102.97032510827256,0.10630483,,,,,,,,,,,124200.84,51427.273,423200.47,74751.68,64144.83,96249.92,
25,102.97032867221863,0.43844008,,,,,,,,,,,155459.28,195085.45,1150365.9,85483.33,124027.65,114074.99,
31,102.9703338127784,1.6576394,,,,,,,,,,,192019.16,108628.82,300100.03,65178.445,78968.17,100246.94,
646,104.03025831313734,10.47679,,,,12,,,,,,,3972033.8,3902657.2,3742921.0,3202513.0,3615046.0,3703096.5,
146,105.03356218434202,5.6756835,,,,38,,,,,,,423513.88,440235.25,469416.1,1846915.0,2467678.5,2597630.5,
595,109.02249228526976,10.327676,,,,33,39,[M+NH4]+,,2,595;584,90.98881,7145904.0,6985423.0,7168197.0,5669208.0,7381046.5,5644671.0,
632,109.52172017892167,10.376288,,,,33,,,,,,,5393811.0,5255336.5,5220936.0,4941068.0,5096003.0,5259094.5,
588,110.02010363430799,10.324864,,,,33,,,,,,,1.12049976E8,1.2659719E8,1.25653976E8,8.930242E7,9.046508E7,9.133548E7,
590,110.52176245542186,10.324945,,,,33,41,[M+Na]+,,2,590;598,87.53232,8457569.0,8319964.0,9583297.0,6615303.0,6168187.0,7821718.5,
625,111.02021557530303,10.369316,,,,33,48,[M+NH4]+,,2,612;625,92.98662,7.7131224E7,7.661826E7,7.5885864E7,7.915511E7,7.939425E7,8.0734264E7,
656,111.03904722711839,10.520761,,,,10,,,,,,,7917768.0,1.0749948E7,1.1503986E7,1.0615713E7,1.2155978E7,1.1574239E7,
621,111.51894729251124,10.36768,,,,33,,,,,,,1971962.9,1933264.6,1926032.9,1924844.1,2008572.1,2014142.6,
620,111.52179145392897,10.36757,,,,33,,,,,,,6520932.0,6517566.5,6494622.0,6691522.5,6787262.5,6880642.5,
623,112.01785074110991,10.368552,,,,33,,,,,,,3.019226E7,3.0019622E7,2.9619398E7,3.0950596E7,3.1093494E7,3.1442178E7,
627,112.51959248968724,10.370187,,,,33,,,,,,,2183622.0,2135102.8,2076332.2,2166385.2,2206800.8,2212751.0,
624,113.01660685163965,10.368552,,,,33,,,,,,,4227111.0,4331854.5,4265238.0,4360230.5,4348225.0,4455318.5,
308,113.01669525344165,7.572853,,,,,,,,,,,2491923.8,594232.75,2376412.2,505995.47,379783.9,289314.25,
597,113.96360968397238,10.330005,,,,33,,,,,,,1.0301123E7,9240109.0,9226956.0,8225338.5,7057517.0,7176085.0,
5,113.96377889365122,0.034987938,,,,0,,,,,,,2844668.0,2955968.2,2773611.2,2728314.8,2782697.0,2835497.2,
15,113.96378695602378,0.324743,,,,6,,,,,,,2222226.5,2160328.8,1678973.5,1645683.8,2057201.1,2389126.8,
615,114.01650801691568,10.365092,,,,33,,,,,,,1080653.2,1035838.44,1021172.6,1043150.6,1105818.0,1113333.8,
635,115.96400647076159,10.379615,,,,33,,,,,,,2084740.2,2164672.0,2200947.2,2156360.2,2001137.5,2425267.5,
17,116.97196426113294,0.32472876,,,,,,,,,,,342838.22,339505.28,290542.94,593772.5,983248.2,930963.44,
144,118.06514819453763,5.6756783,,,,38,,,,,,,188245.72,190746.78,211180.25,832281.06,1088992.5,1140044.9,
179,119.08559716860186,6.1004353,,,,8,,,,,,,1380406.0,1424861.9,1436872.1,1330526.4,2233152.8,1468033.6,
47,120.04449513081651,2.8330643,,,,43,,,,,,,649178.9,692642.8,915849.3,2561646.0,2504766.0,2225040.0,
651,125.9862379880425,10.489833,,,,10,,,,,,,2.0541142E7,2.3593744E7,2.098646E7,2.3375738E7,2.1710632E7,2.2511954E7,
23,128.95083468550055,0.42331532,,,,40,,,,,,,2347433.8,2212660.8,1974379.8,2388062.0,2565770.5,2683212.5,
638,130.5216888566838,10.393441,,,,33,,,,,,,2180064.8,2430887.5,2219119.8,2379528.2,2255533.8,2290723.8,
609,131.53353799550558,10.364081,,,,33,,,,,,,6468415.5,6348067.5,6128134.0,6743107.5,6902001.0,7144073.5,
310,131.53362291091955,7.619162,,,,,,,,,,,5040144.5,4555246.5,4579428.0,884824.8,2525547.2,2123222.5,
474,136.02169949034388,8.416671,,,,,,,,,,,957158.2,998860.06,900831.9,4908357.5,4750310.0,4705572.0,
34,136.03949618724957,1.7413985,,,,27,,,,,,,1085607.8,757500.06,1078039.8,2348383.2,2152909.8,4251467.5,
32,138.05511482187242,1.682078,,,,,,,,,,,1283668.4,781113.8,1541151.8,2169571.0,2189070.2,3493681.5,
46,138.05512522138193,2.832153,,,,43,,,,,,,203142.55,200849.0,286001.3,729429.0,699165.94,635383.44,
587,138.99537785634809,10.324118,,,,33,,,,,,,5633461.5,5625756.5,5731464.0,4209994.0,4422416.5,4454389.5,
654,139.01794737591294,10.5022135,,,,10,,,,,,,1.1057829E7,1.1059754E7,1.0835536E7,1.0097925E7,1.0482867E7,1.011755E7,
606,139.9879296803521,10.36157,,,,33,,,,,,,2.6743854E7,2.6393654E7,2.645016E7,2.6880322E7,2.7495566E7,2.7274766E7,
570,140.0682450942351,10.246961,,,,,,,,,,,457229.0,506576.4,487263.0,659295.6,560391.5,596098.6,
664,140.06829800324712,10.822299,,,,,,,,,,,94866.305,141721.02,123194.96,148040.45,73282.055,47706.25,
277,140.06830605530317,7.3738723,,,,30,,,,,,,445563.4,464071.7,460907.72,415988.38,469224.88,470809.44,
395,140.06830746944877,7.86787,,,,7,,,,,,,332793.06,584545.6,325901.75,367544.5,387615.97,402318.38,
65,140.06832262923356,3.7124271,,,,,,,,,,,164955.33,113137.555,137240.38,70989.58,104845.33,104798.42,
39,140.0683308020131,2.4570951,,,,,,,,,,,70644.57,116770.82,56074.7,43240.918,82358.17,86683.18,
29,140.0683450960208,1.2068704,,,,,,,,,,,83690.48,55386.06,56337.805,51280.32,63796.117,38143.996,
585,141.95858272404243,10.325738,,,,33,40,[2M-H2O+H]+,,2,594;585,79.48078,2621305.0,2667574.5,2538805.0,1692146.6,1977538.4,1755625.9,
3,141.95875515751024,0.0340817,,,,0,,,,,,,1.0960369E7,9439540.0,1.1239874E7,1.1490568E7,8401688.0,1.0876501E7,
14,141.9587674084608,0.32016146,,,,6,,,,,,,7848416.5,8782020.0,6559620.0,8587854.0,1.4746755E7,5522232.0,
608,141.9833750781212,10.364079,,,,33,,,,,,,1.024042E7,1.0062343E7,1.0053975E7,1.036238E7,1.0441034E7,1.0472705E7,
10,143.95915672971663,0.32018125,,,,,,,,,,,231294.69,203886.6,186274.14,283899.4,490633.8,840383.1,
2,143.95917611124415,0.033190396,,,,,,,,,,,199526.66,166424.84,234657.97,221170.83,91169.72,248489.75,
616,143.98092300080677,10.365822,,,,33,46,[M-H+2Na]+,,2,613;616,99.00931,1339504.4,1299246.6,1306107.9,1370528.0,1370583.1,1361345.8,
549,144.98222710547643,10.172841,,,,45,,,,,,,8259794.5,1.1022479E7,1.6033038E7,2.1425664E7,7507640.0,1.5264123E7,
667,145.03533269420768,10.926743,,,,59,,,,,,,9869102.0,9792403.0,1.0068779E7,9211714.0,9413920.0,9322635.0,
548,146.98035122066088,10.168903,,,,45,,,,,,,3712136.5,4487767.5,6128657.0,9715590.0,3439236.0,3229767.8,
