"","filter","NEG_D5-Ctrl-a-P-EAMeOH_Run29.mzML","NEG_D5-Ctrl-b-P-EAMeOH_Run32.mzML","NEG_D5-Ctrl-c-P-EAMeOH_Run35.mzML","NEG_D5-211-C1-a_Run92.mzML","NEG_D5-211-C1-b_Run95.mzML","NEG_D5-211-C1-c_Run98.mzML"
"93/156.0666mz/2.06min",2963515.9,1733748.8,1872108.8,2523212.8,3403819,3601795,3878752.5
"94/117.0557mz/2.15min",231981.855,277106.16,316710.8,639036.44,89924.06,107821.266,186857.55
"97/203.0827mz/2.24min",344379.49,467016.78,534114.5,1071897.4,171680.4,123611.22,221742.2
"98/204.0302mz/2.3min",392228.66,351917.34,382279.3,458644.4,398141.88,386315.44,501943.06
"99/175.0611mz/2.43min",61908.4885,401786.5,37551.754,75118.86,35663.77,58738.617,65078.36
"100/175.0611mz/2.51min",1106433.675,962792.25,849976.5,1400721.2,924635.1,1250075.1,1337791.5
"101/158.9785mz/2.6min",40816.651,3703.0503,3427.2007,7671.427,92544.336,176115.94,73961.875
"102/229.0982mz/2.61min",3924686.7,4051459.2,3797914.2,5254959,2972378.5,4054873.2,3480117.2
"103/297.0856mz/2.61min",861388.93,900791.6,844271.56,1131284.8,648792.56,878506.3,753092
"104/230.1015mz/2.7min",256876.95,465087.56,162285.1,378078.5,187122.86,286131.1,227622.8
"105/229.0982mz/2.73min",1870679.75,1895743.1,1845616.4,2537166.5,1455051,1967734.5,1666984.5
"106/297.0856mz/2.73min",439734.315,446782.88,432685.75,596428.06,336525.2,450848.66,375772.38
"107/158.9785mz/2.78min",17253.395,7764.289,3762.651,48623.93,160425.06,23125.457,11381.333
"108/233.103mz/2.8min",569755.25,497641.03,417133.75,884046.94,520377.2,619133.3,781849.06
"109/131.0713mz/2.9min",798897.475,745701.75,852093.2,1970840.2,594301,712948.2,1024760.25
"111/130.0873mz/3.03min",69994.2485,64281.227,59318.617,141443.4,54072.254,78605.77,75707.27
"112/172.098mz/3.04min",768215.15,743560.4,719284.5,1366140.4,620840.2,821937.2,792869.9
"113/165.0557mz/3.09min",608464.05,388517.22,388555.75,796677.8,565591.1,651337,880257.8
"114/217.0423mz/3.52min",2137878.5,1700377.5,1914248.5,2132795,2240172,2142962,2404549
"115/361.1505mz/3.65min",411005.575,392541.62,332334.75,822678.4,343887.12,429469.53,504321.94
"116/449.2029mz/3.85min",919661.925,833547.25,684124.8,1348344.9,795957.94,1005776.6,1150047
"117/295.9539mz/4.68min",423365.205,405551.97,425607.03,410886.97,421123.38,432674.1,456068
"118/229.9644mz/4.69min",1845195.35,1723078.8,1784216.2,1754863.9,1906174.5,1949121.1,2012318.9
"119/297.9518mz/4.69min",411805.375,387331.97,409474,395731.28,414783.88,414136.75,445858.12
"120/227.9666mz/4.69min",1902740.95,1769908.8,1838150.9,1803878.8,1967331,2006223.2,2066591.1
"121/426.9677mz/4.98min",10319492.5,11118694,12548922,14067742,6683212,9520291,8090922.5
"122/494.9552mz/4.98min",546056.81,602897.9,696935.25,771930.44,344958.03,489215.72,416572.88
"124/450.2625mz/5.67min",113554.54,47963.566,51488.184,67519.91,185924.98,159589.17,250291.48
"125/538.3146mz/5.71min",64066.866,21355.622,21355.622,21355.622,106778.11,111436.836,155325.31
"127/450.2626mz/5.77min",551868.445,55889.31,63590.492,69777.09,1306567.1,1033959.8,1698695
"128/538.3147mz/5.81min",934932.06,311644.02,311644.02,311644.02,1763374.1,1558220.1,2403101
"129/478.2932mz/5.81min",20797.182,6932.394,6932.394,6932.394,41519.3,34661.97,63036.5
"130/277.1842mz/5.92min",271081.64,145080.17,1045204.75,196851,345312.28,76955.79,683355.6
"131/271.2278mz/6.0min",39377.332,28029.068,30301.129,42365.805,39121.234,39633.43,95500.016
"132/265.1479mz/6.08min",1173422.05,1104937,1241907.1,1456497.9,1071204.6,1406889.5,839902.6
"133/217.0423mz/6.1min",737534.8,481186.7,845823,555241.9,629246.6,927051.9,1829977.4
"134/277.1842mz/6.13min",53205.0155,46292.902,513862.94,55775.875,50634.156,9258.5804,340976.25
"135/452.2783mz/6.16min",379812.515,59045.008,63510.99,82779.28,941438.06,676845.75,1285284.6
"136/540.3306mz/6.2min",408586.65,136195.55,136195.55,136195.55,852894,680977.75,1231602.5
"137/271.2279mz/6.2min",159721.945,131797.38,126720.76,189121.61,163704.05,155739.84,283888.38
"138/478.2938mz/6.23min",318484,254580.6,265953.34,297923.38,419991.88,339044.62,580686.5
"139/566.3461mz/6.3min",76174.116,25391.372,25391.372,25391.372,191177.75,126956.86,199157.3
