"","Filename","NEG_D5-Ctrl-a-P-EAMeOH_Run29.mzML","NEG_D5-Ctrl-b-P-EAMeOH_Run32.mzML","NEG_D5-Ctrl-c-P-EAMeOH_Run35.mzML","NEG_D5-211-C1-a_Run92.mzML","NEG_D5-211-C1-b_Run95.mzML","NEG_D5-211-C1-c_Run98.mzML"
"1","Class","CTRL","CTRL","CTRL","EXP","EXP","EXP"
"2","93/156.0666mz/2.06min","1733748.8","1872108.8","2523212.8","3403819.0","3601795.0","3878752.5"
"3","94/117.0557mz/2.15min","277106.16","316710.8","639036.44","89924.06","107821.266","186857.55"
"4","97/203.0827mz/2.24min","467016.78","534114.5","1071897.4","171680.4","123611.22","221742.2"
"5","98/204.0302mz/2.3min","351917.34","382279.3","458644.4","398141.88","386315.44","501943.06"
"6","99/175.0611mz/2.43min","401786.5","37551.754","75118.86","35663.77","58738.617","65078.36"
"7","100/175.0611mz/2.51min","962792.25","849976.5","1400721.2","924635.1","1250075.1","1337791.5"
"8","101/158.9785mz/2.6min","3703.0503","3427.2007","7671.427","92544.336","176115.94","73961.875"
"9","102/229.0982mz/2.61min","4051459.2","3797914.2","5254959.0","2972378.5","4054873.2","3480117.2"
"10","103/297.0856mz/2.61min","900791.6","844271.56","1131284.8","648792.56","878506.3","753092.0"
"11","104/230.1015mz/2.7min","465087.56","162285.1","378078.5","187122.86","286131.1","227622.8"
"12","105/229.0982mz/2.73min","1895743.1","1845616.4","2537166.5","1455051.0","1967734.5","1666984.5"
"13","106/297.0856mz/2.73min","446782.88","432685.75","596428.06","336525.2","450848.66","375772.38"
"14","107/158.9785mz/2.78min","7764.289","3762.651","48623.93","160425.06","23125.457","11381.333"
"15","108/233.103mz/2.8min","497641.03","417133.75","884046.94","520377.2","619133.3","781849.06"
"16","109/131.0713mz/2.9min","745701.75","852093.2","1970840.2","594301.0","712948.2","1024760.25"
"17","111/130.0873mz/3.03min","64281.227","59318.617","141443.4","54072.254","78605.77","75707.27"
"18","112/172.098mz/3.04min","743560.4","719284.5","1366140.4","620840.2","821937.2","792869.9"
"19","113/165.0557mz/3.09min","388517.22","388555.75","796677.8","565591.1","651337.0","880257.8"
"20","114/217.0423mz/3.52min","1700377.5","1914248.5","2132795.0","2240172.0","2142962.0","2404549.0"
"21","115/361.1505mz/3.65min","392541.62","332334.75","822678.4","343887.12","429469.53","504321.94"
"22","116/449.2029mz/3.85min","833547.25","684124.8","1348344.9","795957.94","1005776.6","1150047.0"
"23","117/295.9539mz/4.68min","405551.97","425607.03","410886.97","421123.38","432674.1","456068.0"
"24","118/229.9644mz/4.69min","1723078.8","1784216.2","1754863.9","1906174.5","1949121.1","2012318.9"
"25","119/297.9518mz/4.69min","387331.97","409474.0","395731.28","414783.88","414136.75","445858.12"
"26","120/227.9666mz/4.69min","1769908.8","1838150.9","1803878.8","1967331.0","2006223.2","2066591.1"
"27","121/426.9677mz/4.98min","11118694.0","12548922.0","14067742.0","6683212.0","9520291.0","8090922.5"
"28","122/494.9552mz/4.98min","602897.9","696935.25","771930.44","344958.03","489215.72","416572.88"
"29","124/450.2625mz/5.67min","47963.566","51488.184","67519.91","185924.98","159589.17","250291.48"
"30","125/538.3146mz/5.71min","0.0","0.0","0.0","106778.11","111436.836","155325.31"
"31","127/450.2626mz/5.77min","55889.31","63590.492","69777.09","1306567.1","1033959.8","1698695.0"
"32","128/538.3147mz/5.81min","0.0","0.0","0.0","1763374.1","1558220.1","2403101.0"
"33","129/478.2932mz/5.81min","0.0","0.0","0.0","41519.3","34661.97","63036.5"
"34","130/277.1842mz/5.92min","145080.17","1045204.75","196851.0","345312.28","76955.79","683355.6"
"35","131/271.2278mz/6.0min","28029.068","30301.129","42365.805","39121.234","39633.43","95500.016"
"36","132/265.1479mz/6.08min","1104937.0","1241907.1","1456497.9","1071204.6","1406889.5","839902.6"
"37","133/217.0423mz/6.1min","481186.7","845823.0","555241.9","629246.6","927051.9","1829977.4"
"38","134/277.1842mz/6.13min","46292.902","513862.94","55775.875","50634.156","0.0","340976.25"
"39","135/452.2783mz/6.16min","59045.008","63510.99","82779.28","941438.06","676845.75","1285284.6"
"40","136/540.3306mz/6.2min","0.0","0.0","0.0","852894.0","680977.75","1231602.5"
"41","137/271.2279mz/6.2min","131797.38","126720.76","189121.61","163704.05","155739.84","283888.38"
"42","138/478.2938mz/6.23min","254580.6","265953.34","297923.38","419991.88","339044.62","580686.5"
"43","139/566.3461mz/6.3min","0.0","0.0","0.0","191177.75","126956.86","199157.3"
"44","140/277.1842mz/6.27min","63073.477","484446.06","86923.15","93701.45","0.0","306605.56"
"45","141/496.2682mz/6.33min","103032.74","114774.79","98859.836","527526.5","366524.8","653621.25"
"46","142/478.2938mz/6.28min","48826.35","50700.543","261750.27","229155.92","239684.84","333355.6"
"47","143/566.3463mz/6.37min","0.0","0.0","0.0","415101.53","352386.88","604274.56"
"48","144/291.2mz/6.38min","90224.68","989414.9","154414.14","301671.9","66543.836","756895.6"
"49","145/571.289mz/6.48min","0.0","0.0","0.0","4101294.8","2571779.8","4343915.0"
"50","146/572.2925mz/6.53min","170834.39","196787.66","142160.52","1118521.2","823981.75","1345098.2"
"51","147/271.2278mz/6.52min","38811.418","37512.03","66051.22","17551.77","12227.43","48929.15"
"52","148/571.2892mz/6.52min","904295.8","1052554.6","793612.4","3823692.5","2983134.2","5046174.0"
