"","filter","NEG_TJGI2pt1_EV_gpdA_CTRL_1_Run14.mzML","NEG_TJGI2pt1_EV_gpdA_CTRL_2_Run144.mzML","NEG_TJGI2pt1_EV_gpdA_CTRL_3_Run195.mzML","NEG_TJGIp10_1_Run23.mzML","NEG_TJGIp10_2_Run133.mzML","NEG_TJGIp10_3_Run210.mzML"
"69/153.0557mz/2.16min",36658.0115,26660.945,38744.57,53826.625,42279.367,34571.453,31444.818
"70/131.0714mz/2.21min",152027.605,137986.11,166555.34,169418.98,136744.33,159728.98,144326.23
"71/180.0337mz/2.26min",32506.192,25159.244,39853.14,40124.16,23536.688,56124.543,3666.1038
"72/196.0108mz/2.26min",3328008.65,2137854.2,3994986.5,3915618.8,2451173.5,4720568,2740398.5
"73/181.0718mz/2.25min",12117.3912,4039.1304,4039.1304,4039.1304,443238.03,50569.973,20195.652
"74/144.0455mz/2.34min",667233.56,869289.56,680520.56,722656.75,450912.03,653946.56,593915.06
"75/158.0823mz/2.36min",162787.795,143659.61,148174.6,168394.48,175585.28,174939.61,157181.11
"76/188.0353mz/2.4min",723972.975,717033.7,737707.56,786489,707328.94,730912.25,637469.1
"77/139.0401mz/2.45min",964052.275,380847.6,1000188.75,1121717.4,605557.8,1093012.6,927915.8
"79/178.9778mz/2.57min",28992.504,219319.02,28992.504,28992.504,144962.52,28992.504,28992.504
"80/769.2338mz/2.57min",1080696.6,689802.56,981869.2,1100387.2,1264360.4,1261855.9,1061006
"81/815.2395mz/2.57min",843473.75,480706.06,748264.3,877930.06,988416.2,926918.06,809017.44
"82/178.051mz/2.62min",180991.78,150918.5,179995.73,181987.83,201867.73,200624.62,164449.03
"83/158.0823mz/2.72min",591007.45,608420.6,534149.56,567824.4,650578.2,573594.3,623468
"84/444.2003mz/2.73min",32127.16,10987.552,32905.71,31348.61,52139.906,45689.35,24759.545
"86/158.0823mz/2.81min",1147496.15,1320021,1062837.8,1061862.4,1271835.6,1103427.9,1191564.4
"87/131.0714mz/2.81min",4516786.75,3969693.8,5380116.5,4644734,4588748.5,4444825,4282657
"88/315.1562mz/2.85min",551771.825,123505.51,516156.75,472470.75,883859,1004065.8,587386.9
"89/426.1898mz/2.88min",219215.085,120845.28,217184,214696.7,334390.5,329955.2,221246.17
"90/341.1005mz/2.94min",94347.127,12610.019,121747.984,134093.1,59590.004,66946.27,193003.38
"91/186.1136mz/2.95min",1153669,1674071.9,1777681.5,1475168.5,832169.5,393030.47,510955.66
"92/171.1027mz/2.95min",45959.985,257055.6,42814.19,37708.93,98038.336,49105.78,42156.906
"93/426.1899mz/2.97min",1402027.5,823611,1445008.5,1351070.6,2056973.1,2052381.2,1359046.5
"94/192.0666mz/2.97min",554876.92,674453.3,478064.7,520074.75,625900.25,538577.9,571175.94
"95/153.0557mz/2.98min",707647.08,205231.05,700604.56,825801.06,299529.8,858547.75,714689.6
"96/456.2004mz/2.99min",116665.18,69451.23,115060.05,118270.31,138338.36,180995.34,111584.055
