row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,NEG_TJGIp2_2_Run94.mzML Peak area,NEG_TJGI15pt3_EV_alcA-Control_3_Run204.mzML Peak area,NEG_TJGIp2_1_Run38.mzML Peak area,NEG_TJGI15pt3_EV_alcA-Control_2_Run115.mzML Peak area,NEG_TJGIp2_3_Run162.mzML Peak area,NEG_TJGI15pt3_EV_alcA-Control_1_Run32.mzML Peak area,
13,119.05418296357998,0.3707544,,,,,,,,,,,1210211.9,2099755.0,571410.75,990192.5,1431140.9,528868.25,
8,119.9468578847301,0.35051498,,,,58,,,,,,,1643280.5,1809008.1,1757780.1,1439877.9,1627141.6,1617925.6,
120,120.04544879739949,3.0524523,,,,124,,,,,,,485681.4,624624.94,512329.66,548120.7,449961.62,490706.8,
140,121.02949392792115,3.3257036,,,,,,,,,,,96801.414,54215.19,0,158534.05,96860.414,0,
93,121.02950675002317,2.5749776,,,,,,,,,,,997937.56,839435.0,776410.06,818958.6,925385.8,638061.44,
7,121.94396033637277,0.34973648,,,,58,,,,,,,536827.2,607113.2,580647.44,469841.75,534545.0,532485.1,
152,125.09711644370424,3.4496486,,,,128,,,,,,,759849.0,1027148.06,843118.1,917931.3,809364.0,1031570.2,
27,128.03525765118425,0.38491225,,,,58,,,,,,,1065846.9,2599376.5,962081.7,1201806.6,1664557.6,748944.7,
54,128.03527351462878,0.60387915,,,,,,,,,,,4452946.5,3759399.8,1768809.2,1730863.5,3654442.5,2531466.5,
61,130.08727068565958,0.73080397,,,,,,,,,,,2246380.2,2582480.5,627909.2,813108.75,1877992.2,679894.25,
109,130.0873199329125,2.907149,,,,,,,,,,,374564.12,204167.9,180169.22,202936.02,116956.97,166496.08,
90,130.08732009340335,2.5692966,,,,,,,,,,,340982.8,172575.66,41925.414,139935.44,57842.273,38307.04,
100,131.07133941892536,2.7822597,,,,122,,,,,,,3467577.0,4442848.0,3689142.0,3590300.8,3658365.2,4101108.8,
1953,132.90016478973845,10.176433,,,,,,,,,,,332554.34,175478.53,1337728.6,193047.8,280463.4,1659142.5,
1524,132.90017229287605,7.7797723,,,,,,,,,,,66367.22,43801.043,372117.06,148681.83,48706.492,922147.1,
1346,132.9001743657303,7.60009,,,,,,,,,,,31815.086,80660.95,173465.47,155480.11,144554.11,709775.4,
1828,132.92337404953182,8.451512,,,,,,,,,,,669697.25,466099.9,2445950.8,547441.25,558338.1,2931520.0,
1961,132.92338422421932,10.206882,,,,,,,,,,,360113.6,310968.97,275931.8,349965.44,398627.6,353376.7,
1504,132.92339956696264,7.704313,,,,92,,,,,,,1277163.4,1098326.8,813020.94,1345983.0,1533471.4,1296432.1,
1729,132.92340037900857,8.138686,,,,37,7,[2M-H2O+H]+,,2,1713;1729,74.96321,2401045.2,4332090.5,734333.9,2367563.8,2554376.2,2448937.5,
24,133.01417373874108,0.37853873,,,,58,,,,,,,6502236.5,7196151.0,6504293.5,6430014.5,6287740.5,6102830.0,
2004,134.89460366219666,10.259112,,,,109,,,,,,,1662935.5,1548702.1,1001538.8,1826256.2,2036177.9,1619126.9,
1310,134.89461534544645,7.4771113,,,,153,,,,,,,5756927.0,5240063.5,7417767.0,1.343517E7,5094248.5,8929876.0,
1539,134.89461862302971,7.7964873,,,,100,,,,,,,9357212.0,5744300.5,1.0977675E7,8836959.0,9272209.0,1.7753502E7,
1168,134.894621389092,7.3551173,,,,,,,,,,,1931300.6,3709093.0,1705058.6,3573168.0,3244520.5,5436108.5,
1956,134.89462952806977,10.17165,,,,10,,,,,,,7673830.0,3590294.2,2.5543272E7,3922315.0,5570323.0,3.0599218E7,
1342,134.89463054390427,7.6061935,,,,,,,,,,,1.2011711E7,2212423.8,4401799.5,3231938.2,1.1295723E7,6776907.0,
1955,135.9708638595449,10.163684,,,,,,,,,,,505340.5,2867328.8,414023.56,527465.44,2977202.0,377565.28,
121,136.0403391279362,3.0524523,,,,124,,,,,,,127239.46,166903.9,129630.484,139687.1,104682.02,126655.53,
97,136.04035836611965,2.7347648,,,,81,,,,,,,79499.78,167205.69,50290.734,129846.07,112776.55,66161.14,
86,136.04036303490133,2.4097931,,,,141,,,,,,,766984.7,773130.7,808422.4,652536.8,818198.94,818329.06,
1957,136.89165240281827,10.17165,,,,10,,,,,,,2582537.0,1178445.8,9090139.0,1299962.0,1850935.8,1.1358941E7,
1950,137.8916863444656,10.172248,,,,,,,,,,,220544.75,114525.055,945968.3,123576.07,190647.77,1165578.0,
67,138.01962106910062,0.8188856,,,,,,,,,,,89072.93,363340.7,84145.14,117538.37,56838.48,90262.37,
139,138.0196696597168,3.324362,,,,,,,,,,,1594865.6,1958663.0,1800887.4,1728120.8,1854613.4,2092772.8,
88,139.04005549037933,2.4607272,,,,,,,,,,,354401.34,742142.7,230766.81,642751.44,482436.7,592632.4,
196,141.09214983698934,3.839245,,,,98,,,,,,,456897.53,475304.78,520683.88,290028.8,430243.22,427377.22,
206,141.09218958052227,3.9513805,,,,,,,,,,,558809.56,581102.06,620985.3,378023.53,482447.78,500321.72,
84,144.04544932247575,2.4032872,,,,141,,,,,,,862902.9,1455662.1,868065.44,1319045.4,894932.6,1157537.1,
134,144.04546575304664,3.2741067,,,,113,,,,,,,508252.75,606194.4,602549.94,573436.3,509403.34,663514.8,
164,144.04549384436177,3.5816565,,,,,,,,,,,85496.375,0,77687.21,0,78394.234,28406.576,
1969,144.9233257135919,10.198952,,,,,,,,,,,1336081.5,1923006.8,1727048.5,2115201.8,1507385.2,2091170.9,
1825,144.92334646640177,8.456689,,,,,,,,,,,5148832.0,4850394.5,1.6111562E7,1420193.8,1367386.4,961424.0,
1736,144.92337453899827,8.13779,,,,37,8,[2M+H]+,,2,1736;1708,71.95766,1.2334768E7,2.4652282E7,3841778.5,1.9766428E7,2.4676918E7,1.2681614E7,
1506,144.92338255610687,7.7002716,,,,92,,,,,,,7139635.5,2939932.5,5222088.5,1310009.6,1421831.4,6425841.5,
78,145.0506309847109,2.1402748,,,,,,,,,,,1189157.1,1326368.9,1266662.5,1026941.06,1202761.8,1106338.2,
156,145.08695563816482,3.4532182,,,,128,,,,,,,223037.83,255005.42,243221.8,250044.22,244651.33,278626.1,
161,145.087005494279,3.53641,,,,,,,,,,,450495.53,438688.62,500199.3,414957.6,468372.12,457289.84,
23,146.04581643255125,0.37776092,,,,58,,,,,,,3402428.2,2569992.0,1810671.8,2951502.8,2106251.2,2583432.5,
2037,146.96118940172732,10.5892725,,,,,,,,,,,739671.56,890785.8,567527.1,792402.8,1683807.0,611530.4,
9,146.9658775974674,0.35593367,,,,58,,,,,,,1.0773654E7,1.1875348E7,1.1465348E7,9347528.0,9500495.0,1.0238333E7,
62,146.9658927012733,0.8011462,,,,,,,,,,,221727.73,933976.94,277981.2,260643.62,168097.02,90561.984,
69,146.96590462182533,0.92784286,,,,,,,,,,,927227.9,399978.6,1193537.1,1170670.8,647818.2,364778.47,
1951,150.88946028952108,10.149339,,,,,,,,,,,439718.9,188263.12,3772517.5,267327.47,340326.0,4128639.5,
99,151.04003338115697,2.7590847,,,,,,,,,,,382667.66,596941.2,354189.8,478197.75,392649.72,427729.84,
2010,153.8685395905832,10.324415,,,,90,,,,,,,546948.5,872960.7,14155.408,697353.9,1028797.9,72134.57,
2027,153.8685659756516,10.430681,,,,,,,,,,,42663.918,84655.47,191394.83,90569.27,152081.94,39160.58,
10,154.92814878431133,0.36542284,,,,58,,,,,,,947146.06,1002275.9,1019962.2,1182715.1,1149586.8,1078234.4,
176,155.10773812758518,3.6924455,,,,126,,,,,,,4079693.5,4934247.0,4640295.0,4346834.0,4670174.0,4763099.5,
82,158.08222118193177,2.370608,,,,,,,,,,,357171.84,332609.88,302178.62,274345.84,314716.16,233479.2,
104,158.08222623395264,2.8109381,,,,,,,,,,,1009230.25,1284084.1,967254.3,1078931.0,783247.3,827401.56,
96,158.08223990488108,2.726311,,,,81,,,,,,,1042827.56,1315479.2,1002108.0,1053163.0,794972.1,816245.3,
76,158.08225422211305,1.9433517,,,,,,,,,,,1450898.9,1725117.1,1430461.1,1413868.4,1276522.2,1153797.2,
75,159.0662428522375,1.5873442,,,,,,,,,,,116814.65,422931.22,343346.78,207988.22,151003.56,124857.68,
105,159.0662624308482,2.8713,,,,,,,,,,,599474.1,655401.25,658724.2,531884.5,578955.2,627582.8,
94,159.0662660493105,2.605551,,,,,,,,,,,342298.03,393009.72,358789.28,320898.0,340736.3,332953.25,
188,159.10266253254215,3.7892935,,,,,,,,,,,94878.125,98328.49,115843.055,88367.805,95929.555,102183.6,
126,159.1026807512391,3.154287,,,,,,,,,,,40023.117,48960.438,43002.7,37734.777,21340.527,41772.6,
220,159.10270841520395,4.0727916,,,,144,,,,,,,534130.3,329583.47,568368.6,279341.88,651373.7,608523.6,
127,160.04040803389105,3.201011,,,,162,,,,,,,731209.25,724018.2,825204.5,704773.2,764689.94,784631.44,
32,160.06142582522395,0.38819525,,,,58,,,,,,,590874.25,1181506.0,561278.56,604465.2,831568.9,424364.38,
56,160.0614449045736,0.63801193,,,,147,,,,,,,2308811.5,1827518.1,1765643.1,794131.44,1757154.9,1433234.0,
2031,160.84201246051146,10.516911,,,,,,,,,,,321619.3,265900.78,768075.7,271931.03,240150.25,2499101.5,
2032,162.83908414350535,10.509323,,,,,,,,,,,314289.6,259020.42,723103.7,306329.56,225758.02,2233112.2,
137,164.03535456946452,3.2898386,,,,,,,,,,,20769.459,26209.516,28708.31,25461.379,27013.404,43642.35,
122,164.03535769771182,3.0524523,,,,124,,,,,,,2188212.5,2840776.8,2191619.2,2455485.5,2005530.0,2157244.5,
116,165.0556256129739,3.0235167,,,,,,,,,,,1371937.6,1387514.0,1258416.9,1087369.9,1399282.9,1189414.2,
215,165.0557655494151,4.0458055,,,,,,,,,,,269322.3,477008.9,287434.66,428277.0,342827.62,654029.56,
18,168.03349563164798,0.37152386,,,,58,,,,,,,1353130.2,1330354.8,1416829.5,1313230.8,1420429.0,1412586.8,
29,168.06649059523775,0.3785828,,,,58,,,,,,,516450.6,1283638.8,89215.48,353061.94,1000432.7,367647.38,
55,168.06651838398608,0.63168144,,,,,,,,,,,1117395.1,1873668.0,491622.0,522254.0,1354018.9,735273.7,
167,169.08705022405624,3.6135683,,,,,,,,,,,20315.182,23428.133,21575.848,22479.736,20846.186,15935.256,
263,169.08705230355272,4.4055495,,,,151,,,,,,,420267.78,381731.75,595445.8,344044.34,330101.84,311056.72,
242,169.08705716178758,4.176079,,,,,,,,,,,131358.75,113005.31,177826.53,80147.15,97443.56,64847.438,
184,171.10269088857274,3.7585201,,,,75,,,,,,,3451174.5,5039851.5,3672357.2,4289793.0,3695248.0,4903347.0,
112,171.10269117269954,2.9553592,,,,29,,,,,,,377369.1,591816.1,499496.12,507766.84,272356.3,687633.5,
211,171.1027841386956,4.0078206,,,,,,,,,,,374435.7,366447.03,512311.44,331850.25,307901.6,310986.44,
108,172.09794965915026,2.9090145,,,,,,,,,,,1805102.0,1040718.06,1033205.0,1472463.9,1688579.9,1627517.1,
91,172.09798473420878,2.5489123,,,,,,,,,,,41844.31,54200.137,40902.277,38202.93,45386.617,30476.516,
60,173.08179788860517,0.6910779,,,,,,,,,,,116452.5,388901.66,80771.45,95755.75,115794.18,69951.95,
119,173.0818518563071,3.0460377,,,,124,,,,,,,1446166.4,1884898.4,1486798.0,1581946.0,1541396.8,1518530.5,
160,173.08193409353134,3.521643,,,,,,,,,,,25925.889,30011.0,27491.406,27141.674,23832.473,27701.596,
20,174.07705261456888,0.37382486,,,,58,,,,,,,667022.25,2794755.0,530054.5,834724.7,1604486.5,790744.44,
64,174.0771154320524,0.7751023,,,,,,,,,,,70468.34,157757.84,16624.383,3675.0647,61701.63,29686.9,
2034,174.9560369599949,10.58557,,,,26,,,,,,,1.5084273E7,1.6681257E7,1.294295E7,1.6594408E7,1.6300527E7,1.3491348E7,
87,175.0611460971121,2.4342437,,,,,,,,,,,1482920.6,1914304.5,1332304.0,1411843.0,1370636.1,1486586.5,
95,178.05095787254402,2.6246555,,,,,,,,,,,543377.7,712450.5,571457.75,602802.94,538608.5,622003.2,
132,178.05098059093132,3.2480586,,,,64,,,,,,,1457985.4,2263069.8,1425905.8,1932880.5,1416776.0,1665768.4,
1800,179.03821705046562,8.382769,,,,,,,,,,,143272.06,1492969.9,913989.7,158133.22,1703415.6,667643.56,
1836,179.03824131715655,8.471205,,,,131,,,,,,,1649291.6,454195.7,1532555.4,1693720.8,2275317.0,2819944.0,
1786,179.03824357308403,8.305625,,,,,,,,,,,90974.27,863475.8,137788.88,132797.72,270353.8,132846.31,
1856,179.03825205437872,8.65257,,,,156,,,,,,,380393.8,219037.08,316463.75,486426.88,670917.94,681481.4,
26,179.05604155219416,0.37542796,,,,,,,,,,,556610.44,218846.11,467677.22,463403.4,701532.2,384427.3,
201,179.0714512436747,3.919378,,,,159,,,,,,,377014.2,466017.78,416393.0,429643.3,650289.9,716074.1,
