row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,NEG_D5-211-C3-b_Run149.mzML Peak area,NEG_D5-211-C3-c_Run152.mzML Peak area,NEG_D5-211-C3-a_Run146.mzML Peak area,Yeast_HE_D5-Ctrl_b_neg_20190515_Run40.mzML Peak area,Yeast_HE_D5-Ctrl_a_neg_20190515_Run37.mzML Peak area,Yeast_HE_D5-Ctrl_c_neg_20190515_Run43.mzML Peak area,Unnamed: 19
642,80.94785059316084,10.182521000000001,,,,,,,,,,,0.0,0.0,0.0,849612.6,930464.2,815978.7,
345,80.94789550624331,7.77153,,,,26.0,,,,,,,0.0,0.0,0.0,878339.6,608120.56,868997.2,
378,80.94789805124314,7.871624499999999,,,,48.0,,,,,,,0.0,0.0,0.0,766733.0,554205.44,662708.0,
268,80.94791555914603,7.374944,,,,2.0,,,,,,,0.0,0.0,0.0,605250.75,453578.38,696817.56,
754,81.52050967563817,10.492288,,,,44.0,,,,,,,0.0,0.0,0.0,27274882.0,29259034.0,27966768.0,
20,84.9597860900152,0.43599412,,,,,,,,,,,0.0,0.0,0.0,2880147.2,4203904.0,10379863.0,
33,89.05977239449372,2.7459037,,,,,,,,,,,0.0,0.0,0.0,462431.1,1227202.5,361792.6,
686,89.50665340911766,10.333573,,,,22.0,,,,,,,0.0,0.0,0.0,11440640.0,11433834.0,12806039.0,
713,90.50668872766512,10.374984,,,,22.0,,,,,,,0.0,0.0,0.0,4709399.5,4638022.0,4725757.5,
760,90.52588585570723,10.506519,,,,44.0,,,,,,,0.0,0.0,0.0,40922364.0,41356480.0,37602390.0,
716,91.50438987445585,10.376733,,,,22.0,,,,,,,0.0,0.0,0.0,1792999.4,1763337.5,1804893.0,
737,94.04510039170088,10.450604,,,,,,,,,,,0.0,0.0,0.0,4974401.0,4939875.0,4732135.5,
19,96.96004664056065,0.42699090000000006,,,,,,,,,,,1410191.4,1455232.5,1571317.6,0.0,0.0,0.0,
776,96.96006337393742,11.131219,,,,,,,,,,,1586910.5,1621496.2,1648485.6,0.0,0.0,0.0,
685,97.51440243356647,10.333434,,,,22.0,,,,,,,0.0,0.0,0.0,1307722.9,1388868.0,1278102.9,
763,97.99136005878262,10.527814,,,,44.0,,,,,,,0.0,0.0,0.0,9588389.0,9013835.0,9387882.0,
681,98.51203785799707,10.331832,,,,22.0,,,,,,,0.0,0.0,0.0,23580524.0,22551964.0,22928398.0,
554,99.92572319143449,8.950196,,,,40.0,,,,,,,54455680.0,56982612.0,63282332.0,0.0,0.0,0.0,
592,101.98080296027008,8.967687,,,,40.0,,,,,,,2856296.0,2776463.0,3365448.2,0.0,0.0,0.0,
748,102.03386413707943,10.483439,,,,44.0,,,,,,,0.0,0.0,0.0,140281650.0,138539550.0,145151520.0,
749,102.53543267308315,10.485185000000001,,,,44.0,,,,,,,0.0,0.0,0.0,12205041.0,11980027.0,12592613.0,
606,102.95673958432378,8.967687,,,,,,,,,,,707047.6,682011.1,700181.2,0.0,0.0,0.0,
643,102.95679817102376,10.188525,,,,,,,,,,,1576432.2,1587249.5,1560613.4,0.0,0.0,0.0,
753,104.03021741467592,10.491947999999999,,,,44.0,,,,,,,0.0,0.0,0.0,3615046.0,3202513.0,3703096.5,
134,105.03351278378551,5.675162,,,,17.0,,,,,,,0.0,0.0,0.0,2467678.5,1846915.0,2597630.5,
691,109.0224472182475,10.338952,,,,22.0,,,,,,,0.0,0.0,0.0,7381046.5,5669208.0,5644671.0,
730,109.52167766410908,10.41111,,,,22.0,,,,,,,0.0,0.0,0.0,5096003.0,4941068.0,5259094.5,
682,110.02006318968084,10.331832,,,,22.0,,,,,,,0.0,0.0,0.0,90465080.0,89302420.0,91335480.0,
688,110.52174245747969,10.33548,,,,22.0,,,,,,,0.0,0.0,0.0,6168187.0,6615303.0,7821718.5,
717,111.0201782482355,10.376733,,,,22.0,,,,,,,0.0,0.0,0.0,79394250.0,79155110.0,80734264.0,
765,111.03900516687044,10.534823,,,,44.0,,,,,,,0.0,0.0,0.0,12155978.0,10615713.0,11574239.0,
710,111.51890979475269,10.373242,,,,22.0,,,,,,,0.0,0.0,0.0,2008572.1,1924844.1,2014142.6,
711,111.52175033211927,10.373242,,,,22.0,,,,,,,0.0,0.0,0.0,6787262.5,6691522.5,6880642.5,
718,112.0178092994415,10.376733,,,,22.0,,,,,,,0.0,0.0,0.0,31093494.0,30950596.0,31442178.0,
719,112.51954674807035,10.376733,,,,22.0,,,,,,,0.0,0.0,0.0,2206800.8,2166385.2,2212751.0,
650,112.98565037114514,10.213319,,,,4.0,,,,,,,20493804.0,16818834.0,17264364.0,0.0,0.0,0.0,
720,113.01656468116181,10.376733,,,,22.0,,,,,,,0.0,0.0,0.0,4348225.0,4360230.5,4455318.5,
574,113.92620037572851,8.962447000000001,,,,40.0,,,,,,,21316692.0,21147826.0,21334136.0,0.0,0.0,0.0,
687,113.96356150237007,10.333573,,,,22.0,,,,,,,0.0,0.0,0.0,7057517.0,8225338.5,7176085.0,
5,113.96375415370755,0.036781892000000004,,,,0.0,,,,,,,0.0,0.0,0.0,2782697.0,2728314.8,2835497.2,
11,113.9637673008137,0.3232884,,,,3.0,,,,,,,0.0,0.0,0.0,2057201.1,1645683.8,2389126.8,
