"","Filename","GF_MC_RCG_Ctrl_1_pos_20210511_Run67.mzML","GF_MC_RCG_Ctrl_2_pos_20210511_Run146.mzML","GF_MC_RCG_Ctrl_3_pos_20210511_Run158.mzML","GF_CC_MC_RCG_1_pos_20210511_Run75.mzML","GF_CC_MC_RCG_2_pos_20210511_Run111.mzML","GF_CC_MC_RCG_3_pos_20210511_Run176.mzML"
"1","Class","CTRL","CTRL","CTRL","EXP","EXP","EXP"
"84","6591/195.138mz/4.31min","398596.5","331338.8","386512.22","530176.5","537066.75","514550.6"
"85","6593/275.2004mz/4.31min","1086616.2","854541.7","1010206.25","1512490.8","1503185.6","1456302.1"
"86","6598/691.0656mz/4.32min","471161.8","217352.11","198094.31","574767.75","558284.2","632129.75"
"87","6601/406.731mz/4.31min","559200.8","492794.25","607704.44","312262.44","314413.94","345924.34"
"88","6602/1036.5969mz/4.32min","341871.78","315743.12","297139.88","603033.4","517075.5","606735.75"
"89","6603/691.3999mz/4.32min","570325.56","282479.47","607269.5","721896.1","671349.0","796529.94"
"90","6605/149.1325mz/4.32min","182785.64","155336.8","201110.77","340850.28","380093.84","390217.75"
"91","6606/167.1431mz/4.32min","69485.91","50181.035","67675.8","254530.36","323013.38","277418.1"
"92","6608/370.2697mz/4.34min","1613467.5","1308322.6","1685481.8","1198457.2","1103729.1","1123071.5"
"93","6610/390.2384mz/4.35min","362824.97","291185.47","410639.88","340197.47","323404.28","297466.3"
"94","6613/492.2448mz/4.35min","107025.38","59636.086","124997.63","507739.47","364002.12","538877.9"
"95","6614/370.7204mz/4.35min","732031.94","626619.2","656353.8","408205.75","448619.9","351835.88"
"96","6616/244.1906mz/4.36min","403763.97","362573.44","423236.97","483110.62","517023.28","420551.53"
"97","6617/226.1801mz/4.36min","981817.56","859205.75","1002446.4","1134844.1","1184958.6","1059637.9"
"98","6619/766.9212mz/4.36min","632936.3","537531.9","640332.2","917598.75","802043.1","882799.9"
"99","6623/235.1691mz/4.36min","349651.75","358741.5","434997.72","580367.9","749650.56","735864.44"
"100","6626/284.1279mz/4.37min","6478798.5","5006002.0","6905049.0","5617577.0","5479417.0","4605280.5"
