"","filter","GF_MC_RCG_Ctrl_1_pos_20210511_Run67.mzML","GF_MC_RCG_Ctrl_2_pos_20210511_Run146.mzML","GF_MC_RCG_Ctrl_3_pos_20210511_Run158.mzML","GF_CC_MC_RCG_1_pos_20210511_Run75.mzML","GF_CC_MC_RCG_2_pos_20210511_Run111.mzML","GF_CC_MC_RCG_3_pos_20210511_Run176.mzML"
"6409/267.1338mz/4.02min",388123.565,269458.47,184237.81,373225.47,533767.44,403021.66,447187.03
"6413/678.3975mz/4.04min",273007.505,334444.7,139461.48,69428.016,607436.8,506153.7,211570.31
"6417/645.3216mz/4.03min",264512.84,221004.03,220749.34,293806.6,235219.08,376028.25,348421.4
"6418/623.3398mz/4.03min",2938900.5,1911528.1,1343827.4,2560284.5,3886309,3317516.5,3420395.2
"6419/473.2757mz/4.03min",1137957,1533547.4,1229695.8,1464926.2,1046218.2,1019916.7,864144.7
"6420/365.1243mz/4.03min",411202.6595,9810.569,1585.3594,7926.797,997280.5,994793.56,812594.75
"6422/669.3603mz/4.03min",260099.19,243659.22,141970.34,276539.16,337093.6,295517.6,218226.2
"6424/376.1865mz/4.03min",322381.5,320952.7,250352.42,323810.3,335066.12,329323.72,317442.12
"6425/406.1947mz/4.03min",718585.8,733587.6,760191.3,826245.5,703584,691897.8,688785.25
"6426/747.3711mz/4.03min",3752672.75,3361351.5,2614354,3556627.5,4582119,3948718,4366296.5
"6427/384.2127mz/4.04min",6066251.25,5982511.5,4341477,6529141.5,6605500.5,6149991,5762653
"6429/385.2162mz/4.04min",1090932.85,1059820.6,773064.94,1176831.2,1187747.6,1122045.1,996934.9
"6431/557.2969mz/4.04min",211224.2,136834.8,85728.16,203014.62,268787.5,253955.33,219433.78
"6432/430.2002mz/4.04min",1928915.6,1067998.8,713798.7,1578744.2,2886671.5,2279087,2335697.5
"6435/370.2699mz/4.04min",277881.195,440043.62,297971.66,441647.53,257790.73,186936.36,240834.06
"6437/339.7024mz/4.05min",1467009.75,1711862.2,1053147.1,1254787.9,1679231.6,1694564,1163749.8
