"","comp 1","comp 2","comp 3","comp 4","comp 5"
"GF_MC_RCG_Ctrl_1_pos_20210511_Run67.mzML",2.4727,-0.1437,-1.3774,1.6836,-3.5463
"GF_MC_RCG_Ctrl_2_pos_20210511_Run146.mzML",2.6301,2.0469,3.2885,0.49456,1.7895
"GF_MC_RCG_Ctrl_3_pos_20210511_Run158.mzML",2.2693,-2.4223,-1.8471,-2.1739,1.7561
"GF_CC_MC_RCG_1_pos_20210511_Run75.mzML",-2.7789,-2.9337,2.8396,0.11461,-1.0065
"GF_CC_MC_RCG_2_pos_20210511_Run111.mzML",-2.1924,2.9076,-0.6305,-2.3855,-1.4479
"GF_CC_MC_RCG_3_pos_20210511_Run176.mzML",-2.4008,0.54525,-2.2731,2.2667,2.455
